Contest_Date,Contest_Name,Player,Roster.Position,FPTS,X.Drafted
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Blake Griffin,PF,50.25,93.09%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Klay Thompson,SG,36.25,88.38%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Draymond Green,F,34.0,76.48%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Lou Williams,PG,53.5,71.73%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),DeAndre Jordan,UTIL,19.75,57.66%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Lonzo Ball,PG,20.75,46.38%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Brandon Ingram,SF,24.75,45.68%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Omri Casspi,SF,16.0,42.84%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Zach Randolph,C,23.0,34.58%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Kentavious Caldwell-Pope,G,46.0,27.90%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Austin Rivers,SG,39.0,22.79%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Buddy Hield,UTIL,6.75,21.03%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Wesley Johnson,SF,9.25,20.49%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Willie Cauley-Stein,F,43.0,20.39%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Shaun Livingston,PG,14.75,20.37%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Kyle Kuzma,F,22.0,17.06%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Brook Lopez,C,11.75,14.32%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),Julius Randle,F,16.75,9.83%
20171127,$8.00entry_NBA $250K West Coast Special [$50K to 1st] (Night),De'Aaron Fox,PG,20.0,8.96%
