"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,940624202,"jcollins11 (4/10)",0,305.5,"G Rajon Rondo UTIL Damian Lillard F DeMarcus Cousins PF Kenneth Faried C Mason Plumlee SF Will Barton SG Gary Harris PG Jamal Murray",NA,"DeMarcus Cousins","UTIL","82.57%",50
1,940685768,"titotime24",0,305.5,"PG Rajon Rondo G Damian Lillard PF DeMarcus Cousins F Kenneth Faried C Mason Plumlee SF Will Barton UTIL Gary Harris SG Jamal Murray",NA,"Damian Lillard","G","56.11%",50.75
1,940867238,"jroironman (1/4)",0,305.5,"G Rajon Rondo UTIL Damian Lillard F DeMarcus Cousins PF Kenneth Faried C Mason Plumlee SF Will Barton SG Gary Harris PG Jamal Murray",NA,"Brandon Ingram","SF","53.41%",24.5
1,941033139,"wkahler308 (1/5)",0,305.5,"PG Rajon Rondo G Damian Lillard PF DeMarcus Cousins C Kenneth Faried F Mason Plumlee SF Will Barton SG Gary Harris UTIL Jamal Murray",NA,"Will Barton","SG","52.61%",34.5
1,941150921,"captmonk1 (8/20)",0,305.5,"PG Rajon Rondo UTIL Damian Lillard C DeMarcus Cousins PF Kenneth Faried F Mason Plumlee SF Will Barton SG Gary Harris G Jamal Murray",NA,"Kenneth Faried","PF","44.33%",27.25
1,941192073,"RockyMarciano1976 (3/3)",0,305.5,"G Rajon Rondo UTIL Damian Lillard F DeMarcus Cousins PF Kenneth Faried C Mason Plumlee SF Will Barton SG Gary Harris PG Jamal Murray",NA,"Jrue Holiday","PG","43.10%",33.75
1,941223721,"joejets19 (5/6)",0,305.5,"UTIL Rajon Rondo PG Damian Lillard C DeMarcus Cousins PF Kenneth Faried F Mason Plumlee SF Will Barton SG Gary Harris G Jamal Murray",NA,"Julius Randle","F","39.91%",26.5
1,941241708,"sag097 (3/3)",0,305.5,"UTIL Rajon Rondo G Damian Lillard PF DeMarcus Cousins F Kenneth Faried C Mason Plumlee SF Will Barton SG Gary Harris PG Jamal Murray",NA,"C.J. McCollum","SG","39.54%",26.5
1,941284626,"zanelane (8/20)",0,305.5,"G Rajon Rondo UTIL Damian Lillard F DeMarcus Cousins PF Kenneth Faried C Mason Plumlee SF Will Barton SG Gary Harris PG Jamal Murray",NA,"Lonzo Ball","G","37.09%",29.75
1,941406455,"Shatzy1 (5/20)",0,305.5,"PG Rajon Rondo UTIL Damian Lillard C DeMarcus Cousins PF Kenneth Faried F Mason Plumlee SF Will Barton G Gary Harris SG Jamal Murray",NA,"Mason Plumlee","UTIL","36.51%",28
1,941530197,"J1NX1",0,305.5,"UTIL Rajon Rondo PG Damian Lillard PF DeMarcus Cousins C Kenneth Faried F Mason Plumlee SF Will Barton SG Gary Harris G Jamal Murray",NA,"Jusuf Nurkic","C","36.20%",14
1,941557401,"AbeFr0man73 (1/4)",0,305.5,"UTIL Rajon Rondo G Damian Lillard F DeMarcus Cousins PF Kenneth Faried C Mason Plumlee SF Will Barton SG Gary Harris PG Jamal Murray",NA,"Gary Harris","G","34.39%",32
