"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,940505917,"Jah1995",0,304,"G Dennis Schroder SG Devin Booker UTIL DeAndre Jordan F Jayson Tatum PF DeMarre Carroll SF Marcus Morris PG J.J. Barea C Tyson Chandler",NA,"Kyrie Irving","PG","65.38%",30
2,940696800,"danabang2 (2/2)",0,302.25,"SG Devin Booker UTIL DeAndre Jordan PG Spencer Dinwiddie SF T.J. Warren F Jayson Tatum PF DeMarre Carroll C Dirk Nowitzki G J.J. Barea",NA,"Al Horford","F","44.53%",40.75
3,940614554,"TeamStax (6/7)",0,298.5,"SF Devin Booker C DeAndre Jordan SG Spencer Dinwiddie F T.J. Warren UTIL Jaylen Brown G Marcus Smart PF Marcus Morris PG J.J. Barea",NA,"Ersan Ilyasova","PF","43.52%",24.25
4,940656398,"goheels4",0,296.75,"PG Kyrie Irving F Devin Booker UTIL T.J. Warren PF Jayson Tatum SF DeMarre Carroll SG Marcus Smart G J.J. Barea C Tyson Chandler",NA,"Harrison Barnes","PF","42.95%",23.5
5,940578119,"doggone47 (2/4)",0,296.25,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie SF DeMarre Carroll F Marcus Morris G J.J. Barea UTIL Ersan Ilyasova",NA,"DeMarre Carroll","SF","37.41%",28.5
6,940684729,"phenomental (5/6)",0,294,"F Al Horford SG Devin Booker UTIL DeAndre Jordan G Spencer Dinwiddie SF T.J. Warren PF Greg Monroe PG Mike James C Tyson Chandler",NA,"Spencer Dinwiddie","PG","34.97%",42
7,940698294,"MonkeyDYoda (5/6)",0,293.75,"G Dennis Schroder SF Devin Booker UTIL DeAndre Jordan F Harrison Barnes PF Jayson Tatum PG J.J. Barea SG Joe Harris C Tyson Chandler",NA,"Lou Williams","SG","34.88%",27
8,940707654,"zsmittey85 (1/4)",0,293.25,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie SF Marcus Smart F Taurean Prince G Joe Harris UTIL Tyson Chandler",NA,"Austin Rivers","G","33.62%",19.75
9,940612521,"melv1983 (3/4)",0,292,"UTIL Dennis Schroder PG Spencer Dinwiddie F Harrison Barnes PF T.J. Warren SF Jayson Tatum SG Marcus Smart G J.J. Barea C Tyson Chandler",NA,"Devin Booker","SF","31.51%",50.5
10,940498483,"Topher51183 (2/4)",0,289.75,"PG Dennis Schroder PF Al Horford SG Spencer Dinwiddie SF Harrison Barnes F T.J. Warren G J.J. Barea UTIL Tyson Chandler C Dwight Powell",NA,"Dennis Schroder","G","28.61%",38.75
11,940620543,"riouse3310 (1/2)",0,289.5,"PG Kyrie Irving PF Al Horford SG Devin Booker SF DeMarre Carroll UTIL Dirk Nowitzki F Marcus Morris G J.J. Barea C Tyson Chandler",NA,"DeAndre Jordan","C","28.44%",40.25
11,940620593,"riouse3310 (2/2)",0,289.5,"PG Kyrie Irving PF Al Horford SG Devin Booker SF DeMarre Carroll UTIL Dirk Nowitzki F Marcus Morris G J.J. Barea C Tyson Chandler",NA,"Trevor Booker","PF","27.16%",2.25
13,940475587,"TeriLyn",0,289.25,"PG Kyrie Irving PF Al Horford SG Devin Booker F Marcus Smart UTIL Taurean Prince SF Marcus Morris G J.J. Barea C Tyson Chandler",NA,"Marcus Morris","F","24.31%",27
13,940696204,"nickcosta40",0,289.25,"SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie PF Harrison Barnes SF T.J. Warren F DeMarre Carroll G J.J. Barea UTIL Ersan Ilyasova",NA,"T.J. Warren","SF","22.90%",37.25
13,940785154,"salonso318 (1/2)",0,289.25,"PF Al Horford G Devin Booker C DeAndre Jordan SG Jaylen Brown F Jayson Tatum UTIL Dirk Nowitzki SF Marcus Morris PG J.J. Barea",NA,"Kent Bazemore","F","21.08%",22
16,940686414,"goinggreen (1/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Caris LeVert","SG","20.58%",15.25
16,940686422,"goinggreen (2/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Taurean Prince","F","19.25%",24
16,940686437,"goinggreen (3/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Jaylen Brown","SF","18.84%",27
16,940686443,"goinggreen (4/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Greg Monroe","C","17.82%",20
16,940686461,"goinggreen (5/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Dirk Nowitzki","PF","15.75%",27.25
16,940686467,"goinggreen (6/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Marcus Smart","UTIL","15.71%",31.5
16,940686475,"goinggreen (7/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"J.J. Barea","G","15.46%",43
16,940692348,"goinggreen (8/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Marco Belinelli","G","14.95%",18.5
16,940692385,"goinggreen (9/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Jayson Tatum","PF","13.81%",33.5
16,940692396,"goinggreen (10/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Montrezl Harrell","C","13.68%",19
16,940692405,"goinggreen (11/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Wesley Matthews","SG","11.30%",20
16,940692411,"goinggreen (12/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Wesley Johnson","UTIL","8.17%",16.5
16,940692413,"goinggreen (13/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Dwight Powell","C","7.04%",22
16,940692435,"goinggreen (14/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Terry Rozier","UTIL","5.96%",11.75
16,940692439,"goinggreen (15/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Joe Harris","UTIL","5.92%",21.75
16,940692448,"goinggreen (16/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Marquese Chriss","C","5.66%",9.5
16,940692462,"goinggreen (17/20)",0,289,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Jayson Tatum G Caris LeVert SF Ersan Ilyasova UTIL Tyson Chandler",NA,"Mike James","G","5.58%",20.75
