"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Giannis Antetokounmpo",11600,"SAC@MIL 12/02/2017 08:30PM ET",55,"MIL","SAC",54.01,0,65.25
"SF/PF","LeBron James",11400,"MEM@CLE 12/02/2017 07:30PM ET",56.295,"CLE","MEM",57.37,0,55.5
"PF/C","DeMarcus Cousins",10400,"NO@POR 12/02/2017 10:00PM ET",55.048,"NO","POR",59.63,0,50
"PF/C","Anthony Davis",9900,"NO@POR 12/02/2017 10:00PM ET",49.475,"NO","POR",0,0,0
"C","Joel Embiid",9700,"DET@PHI 12/02/2017 07:30PM ET",46.278,"PHI","DET",51.41,0,38
"PG/SF","Ben Simmons",9600,"DET@PHI 12/02/2017 07:30PM ET",46.488,"PHI","DET",49.26,0,28.5
"PG","Damian Lillard",8900,"NO@POR 12/02/2017 10:00PM ET",43.989,"POR","NO",44.75,0,50.75
"C","Andre Drummond",8600,"DET@PHI 12/02/2017 07:30PM ET",43.5,"DET","PHI",48.8,0,49.75
"C","Nikola Jokic",8600,"LAL@DEN 12/02/2017 09:00PM ET",39.881,"DEN","LAL",0,0,0
"C","Marc Gasol",7900,"MEM@CLE 12/02/2017 07:30PM ET",40.225,"MEM","CLE",38.19,0,49.5
"PF/C","Kevin Love",7700,"MEM@CLE 12/02/2017 07:30PM ET",37.818,"CLE","MEM",36.74,0,39.25
"PG/SG","Eric Bledsoe",7100,"SAC@MIL 12/02/2017 08:30PM ET",32.327,"MIL","SAC",31.42,0,30.5
"C","Jusuf Nurkic",7000,"NO@POR 12/02/2017 10:00PM ET",31.33,"POR","NO",34.8,0,14
"SG/SF","Tyreke Evans",6900,"MEM@CLE 12/02/2017 07:30PM ET",32.1,"MEM","CLE",33.83,0,63.25
"SG/SF","Khris Middleton",6900,"SAC@MIL 12/02/2017 08:30PM ET",35.338,"MIL","SAC",31.2,0,30.5
"SG/SF","Will Barton",6800,"LAL@DEN 12/02/2017 09:00PM ET",28.964,"DEN","LAL",38.6,0,34.5
"PG/SG","CJ McCollum",6700,"NO@POR 12/02/2017 10:00PM ET",33.798,"POR","NO",31.72,0,26.5
"PG","Lonzo Ball",6600,"LAL@DEN 12/02/2017 09:00PM ET",33.024,"LAL","DEN",33.44,0,29.75
"PG","Isaiah Thomas",6500,"MEM@CLE 12/02/2017 07:30PM ET",0,"CLE","MEM",0,0,0
"PG","Mike Conley",6400,"MEM@CLE 12/02/2017 07:30PM ET",28.771,"MEM","CLE",0,0,0
"SF/PF","Tobias Harris",6400,"DET@PHI 12/02/2017 07:30PM ET",31.113,"DET","PHI",31.12,0,39.25
"PF/C","Paul Millsap",6400,"LAL@DEN 12/02/2017 09:00PM ET",31.828,"DEN","LAL",0,0,0
"SG/SF","Brandon Ingram",6300,"LAL@DEN 12/02/2017 09:00PM ET",29.536,"LAL","DEN",29.13,0,24.5
"PG","Reggie Jackson",6100,"DET@PHI 12/02/2017 07:30PM ET",29.513,"DET","PHI",28.89,0,33.75
"PG/SG","Jrue Holiday",6000,"NO@POR 12/02/2017 10:00PM ET",32.095,"NO","POR",36.97,0,33.75
