"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Kyrie Irving",9200,"PHO@BOS 12/02/2017 01:00PM ET",38.841,"BOS"
"PF/C","Blake Griffin",8900,"LAC@DAL 12/02/2017 02:00PM ET",43.763,"LAC"
"PG","Dennis Schroder",8500,"ATL@BKN 12/02/2017 03:00PM ET",35.092,"ATL"
"PF/C","Al Horford",8100,"PHO@BOS 12/02/2017 01:00PM ET",34.56,"BOS"
"PG/SG","Lou Williams",7800,"LAC@DAL 12/02/2017 02:00PM ET",30.313,"LAC"
"PG","D'Angelo Russell",7600,"ATL@BKN 12/02/2017 03:00PM ET",36.458,"BKN"
"SG/SF","Devin Booker",7500,"PHO@BOS 12/02/2017 01:00PM ET",36.33,"PHO"
"C","DeAndre Jordan",7300,"LAC@DAL 12/02/2017 02:00PM ET",31.6,"LAC"
"PG/SG","Spencer Dinwiddie",7000,"ATL@BKN 12/02/2017 03:00PM ET",26.679,"BKN"
"SF/PF","Harrison Barnes",6700,"LAC@DAL 12/02/2017 02:00PM ET",32.58,"DAL"
"SF/PF","T.J. Warren",6400,"PHO@BOS 12/02/2017 01:00PM ET",30.38,"PHO"
"SG/SF","Jaylen Brown",6300,"PHO@BOS 12/02/2017 01:00PM ET",27.466,"BOS"
"SF/PF","Rondae Hollis-Jefferson",6300,"ATL@BKN 12/02/2017 03:00PM ET",26.583,"BKN"
"SF/PF","Jayson Tatum",6200,"PHO@BOS 12/02/2017 01:00PM ET",26.207,"BOS"
"PG/SG","Austin Rivers",6100,"LAC@DAL 12/02/2017 02:00PM ET",24.925,"LAC"
"PF/C","John Collins",6000,"ATL@BKN 12/02/2017 03:00PM ET",24.202,"ATL"
"SG/SF","Kent Bazemore",6000,"ATL@BKN 12/02/2017 03:00PM ET",27.286,"ATL"
"SF/PF","Danilo Gallinari",6000,"LAC@DAL 12/02/2017 02:00PM ET",24.806,"LAC"
"SF/PF","DeMarre Carroll",5900,"ATL@BKN 12/02/2017 03:00PM ET",28.737,"BKN"
"PG/SG","Dennis Smith Jr.",5800,"LAC@DAL 12/02/2017 02:00PM ET",27.038,"DAL"
"SG/SF","Marcus Smart",5700,"PHO@BOS 12/02/2017 01:00PM ET",25.893,"BOS"
"SG/SF","Taurean Prince",5600,"ATL@BKN 12/02/2017 03:00PM ET",25.798,"ATL"
"PF/C","Trevor Booker",5500,"ATL@BKN 12/02/2017 03:00PM ET",23.375,"BKN"
"C","Dewayne Dedmon",5400,"ATL@BKN 12/02/2017 03:00PM ET",25.038,"ATL"
"PG/SG","Patrick Beverley",5300,"LAC@DAL 12/02/2017 02:00PM ET",25.977,"LAC"
"SG/SF","Allen Crabbe",5100,"ATL@BKN 12/02/2017 03:00PM ET",22.139,"BKN"
"SG/SF","Caris LeVert",5000,"ATL@BKN 12/02/2017 03:00PM ET",22.893,"BKN"
"PF/C","Dirk Nowitzki",5000,"LAC@DAL 12/02/2017 02:00PM ET",22.898,"DAL"
"SF/PF","Marcus Morris",4900,"PHO@BOS 12/02/2017 01:00PM ET",24.269,"BOS"
"SG/SF","Wesley Matthews",4900,"LAC@DAL 12/02/2017 02:00PM ET",23.057,"DAL"
"SG/SF","Wesley Johnson",4800,"LAC@DAL 12/02/2017 02:00PM ET",18.088,"LAC"
"PF/C","Greg Monroe",4700,"PHO@BOS 12/02/2017 01:00PM ET",20.458,"PHO"
