"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,940664913,"bg13sk8 (9/12)",0,299.75,"PF Al Horford G Devin Booker C DeAndre Jordan PG Spencer Dinwiddie UTIL T.J. Warren SG J.J. Barea SF Joe Harris F Ersan Ilyasova",NA,"Kyrie Irving","PG","64.26%",30
2,940502339,"scuter1275 (2/2)",0,296.25,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie SF DeMarre Carroll F Marcus Morris G J.J. Barea UTIL Ersan Ilyasova",NA,"Ersan Ilyasova","UTIL","45.37%",24.25
3,940697591,"tmocknis (14/20)",0,295.75,"G Dennis Schroder PF Al Horford UTIL Spencer Dinwiddie SF T.J. Warren PG Dennis Smith Jr. F Dirk Nowitzki SG J.J. Barea C Tyson Chandler",NA,"Harrison Barnes","UTIL","44.63%",23.5
4,940608788,"Jrumgrimy (6/6)",0,295.25,"C Al Horford G Devin Booker SG Spencer Dinwiddie SF T.J. Warren F Jayson Tatum UTIL Taurean Prince PG J.J. Barea PF Ersan Ilyasova",NA,"Al Horford","PF","43.34%",40.75
5,940647525,"ddtulli (1/2)",0,295,"C Al Horford PG Lou Williams SG Devin Booker PF T.J. Warren SF Jaylen Brown F Marcus Morris G J.J. Barea UTIL Tyson Chandler",NA,"DeMarre Carroll","SF","36.94%",28.5
6,940430254,"wolverine07 (4/10)",0,293.75,"G Dennis Schroder PF Al Horford SG Spencer Dinwiddie SF Harrison Barnes UTIL T.J. Warren PG J.J. Barea C Tyson Chandler F Luke Babbitt",NA,"Spencer Dinwiddie","UTIL","35.86%",42
7,940575906,"A_BrU1n (19/20)",0,293,"SF Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F T.J. Warren PF DeMarre Carroll G Dennis Smith Jr. UTIL Dirk Nowitzki SG J.J. Barea",NA,"Austin Rivers","PG","34.36%",19.75
8,940524620,"JIrsik",0,292.25,"F Al Horford SG Devin Booker C DeAndre Jordan SF T.J. Warren UTIL Jayson Tatum G Wesley Matthews PF Marcus Morris PG J.J. Barea",NA,"Lou Williams","PG","34.26%",27
9,940679911,"LionKing1957 (8/20)",0,291.75,"PF Al Horford SG Devin Booker C DeAndre Jordan SF T.J. Warren PG Dennis Smith Jr. G Marcus Smart UTIL J.J. Barea F Ersan Ilyasova",NA,"Devin Booker","SF","32.84%",50.5
10,940654031,"bamlkp558",0,291.25,"SF Devin Booker C DeAndre Jordan G Spencer Dinwiddie PF T.J. Warren UTIL Austin Rivers SG Marcus Smart F Marcus Morris PG J.J. Barea",NA,"DeAndre Jordan","C","29.98%",40.25
11,940416765,"cvance2k13",0,291,"PG Kyrie Irving C Al Horford F Devin Booker PF T.J. Warren G Wesley Matthews SF Marcus Morris SG J.J. Barea UTIL Tyson Chandler",NA,"Dennis Schroder","UTIL","28.50%",38.75
12,940575893,"A_BrU1n (6/20)",0,289.25,"PG Dennis Schroder SF Devin Booker C DeAndre Jordan G Spencer Dinwiddie F DeMarre Carroll UTIL Dirk Nowitzki SG J.J. Barea PF Montrezl Harrell",NA,"Trevor Booker","C","27.40%",2.25
12,940575899,"A_BrU1n (12/20)",0,289.25,"SG Lou Williams SF Devin Booker C DeAndre Jordan PG Spencer Dinwiddie PF T.J. Warren UTIL Dirk Nowitzki G J.J. Barea F Dwight Powell",NA,"T.J. Warren","SF","23.95%",37.25
14,940485400,"snipeslife2222",0,288,"PG Kyrie Irving UTIL Al Horford SF Devin Booker G Jaylen Brown F Dirk Nowitzki PF Marcus Morris SG J.J. Barea C Tyson Chandler",NA,"Marcus Morris","F","22.97%",27
14,940625019,"johnnylight707 (1/2)",0,288,"PG Kyrie Irving PF Al Horford SG Devin Booker SF Jaylen Brown C Dirk Nowitzki F Marcus Morris G J.J. Barea UTIL Tyson Chandler",NA,"Caris LeVert","G","20.42%",15.25
16,940564205,"Squirmy70",0,287.75,"G Kyrie Irving F Devin Booker C DeAndre Jordan PG Spencer Dinwiddie SF T.J. Warren SG J.J. Barea PF Montrezl Harrell UTIL Devin Harris",NA,"Jaylen Brown","G","19.36%",27
17,940529406,"dbratley",0,286.5,"G Dennis Schroder C Al Horford SF Devin Booker F Jaylen Brown SG Austin Rivers PG J.J. Barea PF Ersan Ilyasova UTIL Tyson Chandler",NA,"Kent Bazemore","SF","19.10%",22
18,940575900,"A_BrU1n (13/20)",0,286.25,"SG Lou Williams SF Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F T.J. Warren PF Dirk Nowitzki G J.J. Barea UTIL Montrezl Harrell",NA,"Taurean Prince","SG","18.53%",24
19,940570958,"raymond9136 (3/4)",0,285.75,"UTIL Al Horford F Devin Booker PF T.J. Warren G Jaylen Brown SF DeMarre Carroll SG Marcus Smart C Dirk Nowitzki PG J.J. Barea",NA,"Greg Monroe","PF","17.85%",20
