"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01"
"Kyrie Irving_BOS",NA,NA,NA,47,NA
"Blake Griffin_LAC",50.25,NA,NA,0,NA
"Dennis Schroder_ATL",NA,NA,NA,36.5,NA
"Al Horford_BOS",NA,NA,NA,42.5,NA
"Lou Williams_LAC",0,NA,NA,0,NA
"D'Angelo Russell_BKN",NA,NA,0,NA,NA
"Devin Booker_PHO",NA,54,26.5,NA,NA
"DeAndre Jordan_LAC",19.75,NA,NA,31,NA
"Spencer Dinwiddie_BKN",NA,NA,34.25,NA,NA
"Harrison Barnes_DAL",NA,NA,39.5,NA,NA
"TJ Warren_PHO",NA,38.75,11,NA,NA
"Jaylen Brown_BOS",NA,NA,NA,8.75,NA
"Rondae Hollis-Jefferson_BKN",NA,NA,0,NA,NA
"Jayson Tatum_BOS",NA,NA,NA,25.5,NA
"Austin Rivers_LAC",39,NA,NA,36.5,NA
"John Collins_ATL",NA,NA,NA,27.75,NA
"Kent Bazemore_ATL",NA,NA,NA,23,NA
"Danilo Gallinari_LAC",0,NA,NA,0,NA
"DeMarre Carroll_BKN",NA,NA,33.25,NA,NA
"Dennis Smith_DAL",NA,NA,16,NA,NA
"Marcus Smart_BOS",NA,NA,NA,19,NA
"Taurean Prince_ATL",NA,NA,NA,20.5,NA
"Trevor Booker_BKN",NA,NA,31.5,NA,NA
"Dewayne Dedmon_ATL",NA,NA,NA,0,NA
"Patrick Beverley_LAC",0,NA,NA,0,NA
"Allen Crabbe_BKN",NA,NA,0,NA,NA
"Caris LeVert_BKN",NA,NA,31,NA,NA
"Dirk Nowitzki_DAL",NA,NA,21.25,NA,NA
"Marcus Morris_BOS",NA,NA,NA,29.25,NA
"Wesley Matthews_DAL",NA,NA,15.25,NA,NA
"Wesley Johnson_LAC",9.25,NA,NA,21.25,NA
"Greg Monroe_PHO",NA,0,32.75,NA,NA
"Marco Belinelli_ATL",NA,NA,NA,32,NA
"JJ Barea_DAL",NA,NA,0,NA,NA
"Alex Len_PHO",NA,37.5,11.25,NA,NA
"Joe Harris_BKN",NA,NA,19.5,NA,NA
"Ersan Ilyasova_ATL",NA,NA,NA,37.25,NA
"Mike James_PHO",NA,18.25,22,NA,NA
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA
"Tyson Chandler_PHO",NA,12.25,0,NA,NA
"Luke Babbitt_ATL",NA,NA,NA,12,NA
"Terry Rozier_BOS",NA,NA,NA,12.5,NA
"Tyler Ulis_PHO",NA,32.5,23,NA,NA
"Milos Teodosic_LAC",0,NA,NA,0,NA
"Seth Curry_DAL",NA,NA,0,NA,NA
"Marquese Chriss_PHO",NA,12.5,23,NA,NA
"Montrezl Harrell_LAC",0,NA,NA,19.75,NA
"Dwight Powell_DAL",NA,NA,30.75,NA,NA
"Yogi Ferrell_DAL",NA,NA,17.75,NA,NA
"DeAndre' Bembry_ATL",NA,NA,NA,0,NA
"Devin Harris_DAL",NA,NA,21.5,NA,NA
"Daniel Theis_BOS",NA,NA,NA,21.5,NA
"Aron Baynes_BOS",NA,NA,NA,10.5,NA
"Tyler Zeller_BKN",NA,NA,26.25,NA,NA
"Sam Dekker_LAC",17.5,NA,NA,11.75,NA
"Jared Dudley_PHO",NA,0,12.5,NA,NA
"Sean Kilpatrick_BKN",NA,NA,9.25,NA,NA
"Malcolm Delaney_ATL",NA,NA,NA,0,NA
"Jarrett Allen_BKN",NA,NA,15.5,NA,NA
"Isaiah Whitehead_BKN",NA,NA,9.25,NA,NA
