"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Giannis Antetokounmpo",11600,"SAC@MIL 12/02/2017 08:30PM ET",55,"MIL"
"SF/PF","LeBron James",11400,"MEM@CLE 12/02/2017 07:30PM ET",56.295,"CLE"
"PF/C","DeMarcus Cousins",10400,"NO@POR 12/02/2017 10:00PM ET",55.048,"NO"
"PF/C","Anthony Davis",9900,"NO@POR 12/02/2017 10:00PM ET",49.475,"NO"
"C","Joel Embiid",9700,"DET@PHI 12/02/2017 07:30PM ET",46.278,"PHI"
"PG/SF","Ben Simmons",9600,"DET@PHI 12/02/2017 07:30PM ET",46.488,"PHI"
"PG","Damian Lillard",8900,"NO@POR 12/02/2017 10:00PM ET",43.989,"POR"
"C","Andre Drummond",8600,"DET@PHI 12/02/2017 07:30PM ET",43.5,"DET"
"C","Nikola Jokic",8600,"LAL@DEN 12/02/2017 09:00PM ET",39.881,"DEN"
"C","Marc Gasol",7900,"MEM@CLE 12/02/2017 07:30PM ET",40.225,"MEM"
"PF/C","Kevin Love",7700,"MEM@CLE 12/02/2017 07:30PM ET",37.818,"CLE"
"PG/SG","Eric Bledsoe",7100,"SAC@MIL 12/02/2017 08:30PM ET",32.327,"MIL"
"C","Jusuf Nurkic",7000,"NO@POR 12/02/2017 10:00PM ET",31.33,"POR"
"SG/SF","Tyreke Evans",6900,"MEM@CLE 12/02/2017 07:30PM ET",32.1,"MEM"
"SG/SF","Khris Middleton",6900,"SAC@MIL 12/02/2017 08:30PM ET",35.338,"MIL"
"SG/SF","Will Barton",6800,"LAL@DEN 12/02/2017 09:00PM ET",28.964,"DEN"
"PG/SG","C.J. McCollum",6700,"NO@POR 12/02/2017 10:00PM ET",33.798,"POR"
"PG","Lonzo Ball",6600,"LAL@DEN 12/02/2017 09:00PM ET",33.024,"LAL"
"PG","Isaiah Thomas",6500,"MEM@CLE 12/02/2017 07:30PM ET",0,"CLE"
"PG","Mike Conley",6400,"MEM@CLE 12/02/2017 07:30PM ET",28.771,"MEM"
"SF/PF","Tobias Harris",6400,"DET@PHI 12/02/2017 07:30PM ET",31.113,"DET"
"PF/C","Paul Millsap",6400,"LAL@DEN 12/02/2017 09:00PM ET",31.828,"DEN"
"SG/SF","Brandon Ingram",6300,"LAL@DEN 12/02/2017 09:00PM ET",29.536,"LAL"
"PG","Reggie Jackson",6100,"DET@PHI 12/02/2017 07:30PM ET",29.513,"DET"
"PG/SG","Jrue Holiday",6000,"NO@POR 12/02/2017 10:00PM ET",32.095,"NO"
"SF/PF","Robert Covington",5900,"DET@PHI 12/02/2017 07:30PM ET",30.036,"PHI"
"SG","Kentavious Caldwell-Pope",5900,"LAL@DEN 12/02/2017 09:00PM ET",28.618,"LAL"
"SG","Gary Harris",5800,"LAL@DEN 12/02/2017 09:00PM ET",26.842,"DEN"
"PG/SG","Dwyane Wade",5600,"MEM@CLE 12/02/2017 07:30PM ET",24.869,"CLE"
"PG","Mario Chalmers",5600,"MEM@CLE 12/02/2017 07:30PM ET",20.829,"MEM"
"PG/SG","Avery Bradley",5600,"DET@PHI 12/02/2017 07:30PM ET",26.2,"DET"
"SF/PF","Kyle Kuzma",5600,"LAL@DEN 12/02/2017 09:00PM ET",27.95,"LAL"
"SF/PF","Larry Nance Jr.",5500,"LAL@DEN 12/02/2017 09:00PM ET",25.35,"LAL"
"PF/C","Dario Saric",5400,"DET@PHI 12/02/2017 07:30PM ET",23.964,"PHI"
"SG/SF","J.J. Redick",5300,"DET@PHI 12/02/2017 07:30PM ET",26.553,"PHI"
"PF/C","Willie Cauley-Stein",5200,"SAC@MIL 12/02/2017 08:30PM ET",24.619,"SAC"
"PF/C","Julius Randle",5100,"LAL@DEN 12/02/2017 09:00PM ET",24.988,"LAL"
"SF/PF","Jabari Parker",5100,"SAC@MIL 12/02/2017 08:30PM ET",0,"MIL"
"C","Brook Lopez",5000,"LAL@DEN 12/02/2017 09:00PM ET",25.929,"LAL"
"PF/C","Zach Randolph",5000,"SAC@MIL 12/02/2017 08:30PM ET",24.803,"SAC"
"PG/SG","Jamal Murray",4900,"LAL@DEN 12/02/2017 09:00PM ET",21.929,"DEN"
"PG/SG","Jordan Clarkson",4900,"LAL@DEN 12/02/2017 09:00PM ET",24.679,"LAL"
"PG/SG","Malcolm Brogdon",4900,"SAC@MIL 12/02/2017 08:30PM ET",24.566,"MIL"
"PF/C","Kenneth Faried",4800,"LAL@DEN 12/02/2017 09:00PM ET",12.444,"DEN"
"SF/PF","Wilson Chandler",4800,"LAL@DEN 12/02/2017 09:00PM ET",19.792,"DEN"
"C","John Henson",4800,"SAC@MIL 12/02/2017 08:30PM ET",21.434,"MIL"
"SF/PF","JaMychal Green",4700,"MEM@CLE 12/02/2017 07:30PM ET",19.875,"MEM"
"PG","Rajon Rondo",4600,"NO@POR 12/02/2017 10:00PM ET",17.875,"NO"
"PG","T.J. McConnell",4600,"DET@PHI 12/02/2017 07:30PM ET",21.588,"PHI"
"PG","De'Aaron Fox",4500,"SAC@MIL 12/02/2017 08:30PM ET",21.571,"SAC"
"SG/SF","Buddy Hield",4400,"SAC@MIL 12/02/2017 08:30PM ET",21.842,"SAC"
"SF/PF","Al-Farouq Aminu",4300,"NO@POR 12/02/2017 10:00PM ET",22.8,"POR"
"SG/SF","J.R. Smith",4100,"MEM@CLE 12/02/2017 07:30PM ET",17.205,"CLE"
"PF/C","Noah Vonleh",4100,"NO@POR 12/02/2017 10:00PM ET",17.55,"POR"
"PG","Ish Smith",4000,"DET@PHI 12/02/2017 07:30PM ET",19.363,"DET"
"PG/SG","George Hill",4000,"SAC@MIL 12/02/2017 08:30PM ET",18.368,"SAC"
"SG/SF","Evan Turner",3900,"NO@POR 12/02/2017 10:00PM ET",18.284,"POR"
"PG","Emmanuel Mudiay",3900,"LAL@DEN 12/02/2017 09:00PM ET",19.607,"DEN"
"PG/SG","Garrett Temple",3900,"SAC@MIL 12/02/2017 08:30PM ET",16.613,"SAC"
"SF/PF","Jeff Green",3800,"MEM@CLE 12/02/2017 07:30PM ET",18.159,"CLE"
"SF/PF","Jae Crowder",3800,"MEM@CLE 12/02/2017 07:30PM ET",15.92,"CLE"
"SG/SF","Dillon Brooks",3800,"MEM@CLE 12/02/2017 07:30PM ET",17.888,"MEM"
"SG/SF","James Ennis III",3800,"MEM@CLE 12/02/2017 07:30PM ET",15.526,"MEM"
"SF/PF","Chandler Parsons",3800,"MEM@CLE 12/02/2017 07:30PM ET",16.882,"MEM"
"PF/C","Tristan Thompson",3800,"MEM@CLE 12/02/2017 07:30PM ET",13.781,"CLE"
"PG","Derrick Rose",3800,"MEM@CLE 12/02/2017 07:30PM ET",19.786,"CLE"
"PG/SG","Markelle Fultz",3800,"DET@PHI 12/02/2017 07:30PM ET",12.438,"PHI"
"PF/C","Mason Plumlee",3800,"LAL@DEN 12/02/2017 09:00PM ET",16.179,"DEN"
"SG/SF","Tony Snell",3800,"SAC@MIL 12/02/2017 08:30PM ET",17.163,"MIL"
"PF/C","Thon Maker",3800,"SAC@MIL 12/02/2017 08:30PM ET",12.9,"MIL"
"PF/C","Amir Johnson",3700,"DET@PHI 12/02/2017 07:30PM ET",15.921,"PHI"
"PF/C","Richaun Holmes",3700,"DET@PHI 12/02/2017 07:30PM ET",11.056,"PHI"
"SG/SF","Stanley Johnson",3700,"DET@PHI 12/02/2017 07:30PM ET",16.941,"DET"
"SF/PF","Juancho Hernangomez",3700,"LAL@DEN 12/02/2017 09:00PM ET",9.325,"DEN"
"SF/PF","Trey Lyles",3700,"LAL@DEN 12/02/2017 09:00PM ET",9.375,"DEN"
"PG/SG","Frank Mason III",3700,"SAC@MIL 12/02/2017 08:30PM ET",14.661,"SAC"
"SG/SF","Kyle Korver",3600,"MEM@CLE 12/02/2017 07:30PM ET",17.011,"CLE"
"SG/SF","Bogdan Bogdanovic",3600,"SAC@MIL 12/02/2017 08:30PM ET",17.264,"SAC"
"SG/SF","Ben McLemore",3500,"MEM@CLE 12/02/2017 07:30PM ET",11.889,"MEM"
"PG/SG","Iman Shumpert",3500,"MEM@CLE 12/02/2017 07:30PM ET",12.192,"CLE"
"SG/SF","E'Twaun Moore",3500,"NO@POR 12/02/2017 10:00PM ET",19.952,"NO"
"PG/SG","Jameer Nelson",3500,"NO@POR 12/02/2017 10:00PM ET",18.105,"NO"
