"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,940683285,"dirty3rdnerd",0,293,"PF Al Horford SG Devin Booker C DeAndre Jordan SF Harrison Barnes F T.J. Warren G Caris LeVert PG J.J. Barea UTIL Tyson Chandler",NA,"Kyrie Irving","PG","63.34%",30
2,940471391,"Jimbobon",0,290.25,"PF Al Horford C DeAndre Jordan PG Spencer Dinwiddie UTIL T.J. Warren SF DeMarre Carroll SG Marcus Smart F Marcus Morris G J.J. Barea",NA,"Ersan Ilyasova","F","56.52%",24.25
3,940599234,"Bender1 (10/18)",0,287.5,"G Kyrie Irving F Devin Booker UTIL DeAndre Jordan SG Spencer Dinwiddie PF Jayson Tatum PG J.J. Barea SF Luke Babbitt C Miles Plumlee",NA,"Harrison Barnes","UTIL","43.93%",23.5
3,940661868,"sefbos",0,287.5,"PF Al Horford SG Devin Booker UTIL DeAndre Jordan PG Spencer Dinwiddie SF DeMarre Carroll G Taurean Prince C Tyson Chandler F Montrezl Harrell",NA,"Austin Rivers","UTIL","39.84%",19.75
5,940685962,"jchwin33 (8/20)",0,286.25,"F Devin Booker C DeAndre Jordan SG Spencer Dinwiddie SF T.J. Warren UTIL Jaylen Brown G Kent Bazemore PG J.J. Barea PF Ersan Ilyasova",NA,"Lou Williams","G","39.59%",27
6,940730911,"puke05",0,286,"PG Kyrie Irving PF Al Horford G Devin Booker UTIL Spencer Dinwiddie SF Caris LeVert SG J.J. Barea C Tyson Chandler F Dwight Powell",NA,"Al Horford","C","39.16%",40.75
7,940405725,"jarett_young15",0,283.25,"PG Dennis Schroder C Al Horford SG Spencer Dinwiddie F Harrison Barnes SF DeMarre Carroll G J.J. Barea PF Ersan Ilyasova UTIL Tyson Chandler",NA,"Spencer Dinwiddie","SG","38.76%",42
8,940507124,"nickhonda",0,282.75,"PG Kyrie Irving C DeAndre Jordan SG Spencer Dinwiddie PF T.J. Warren SF Jayson Tatum F Marcus Smart UTIL Tyson Chandler G Devin Harris",NA,"DeMarre Carroll","SF","34.49%",28.5
9,940691937,"jchwin33 (14/20)",0,282.5,"SG Lou Williams F Devin Booker UTIL Spencer Dinwiddie PF T.J. Warren G Marcus Smart SF Taurean Prince C Dirk Nowitzki PG J.J. Barea",NA,"DeAndre Jordan","C","32.75%",40.25
10,940705304,"loosecannon8282",0,282.25,"C Al Horford G Devin Booker SF Harrison Barnes UTIL T.J. Warren F DeMarre Carroll SG Marcus Smart PF Dirk Nowitzki PG J.J. Barea",NA,"Dennis Schroder","G","32.45%",38.75
11,940685533,"robcole23 (1/2)",0,281.75,"PG Dennis Schroder UTIL Devin Booker C DeAndre Jordan F T.J. Warren SF DeMarre Carroll PF Marcus Morris G Wesley Johnson SG J.J. Barea",NA,"Devin Booker","SG","29.14%",50.5
12,940652762,"A_TRAIN123",0,281.5,"PG Kyrie Irving SF Devin Booker C DeAndre Jordan SG Austin Rivers PF DeMarre Carroll F Marcus Morris G J.J. Barea UTIL Tyson Chandler",NA,"Trevor Booker","C","25.79%",2.25
13,940590327,"sugesuge55 (1/2)",0,281,"C Al Horford SG Devin Booker UTIL Spencer Dinwiddie SF Harrison Barnes PF T.J. Warren G Allen Crabbe PG J.J. Barea F Ersan Ilyasova",NA,"T.J. Warren","F","23.54%",37.25
14,940723067,"Bigleo86 (2/3)",0,280.25,"G Dennis Schroder F Devin Booker C DeAndre Jordan UTIL Spencer Dinwiddie SG Austin Rivers SF Marcus Morris PG J.J. Barea PF Montrezl Harrell",NA,"Marcus Morris","PF","21.37%",27
15,940577742,"babroncos11 (4/20)",0,279,"F Devin Booker C DeAndre Jordan G Spencer Dinwiddie PF Harrison Barnes UTIL T.J. Warren SF Taurean Prince PG J.J. Barea SG Marco Belinelli",NA,"Taurean Prince","SG","19.43%",24
15,940625245,"mbperalt2012 (2/19)",0,279,"G Kyrie Irving F Devin Booker C DeAndre Jordan PG Spencer Dinwiddie UTIL Dirk Nowitzki SF Marcus Morris SG J.J. Barea PF Montrezl Harrell",NA,"Kent Bazemore","F","19.43%",22
15,940665134,"lewt69",0,279,"SF Devin Booker C DeAndre Jordan PG Spencer Dinwiddie PF Harrison Barnes UTIL Jayson Tatum SG Kent Bazemore G J.J. Barea F Ersan Ilyasova",NA,"Marco Belinelli","SG","17.97%",18.5
18,940434967,"louie9999",0,278.5,"C Al Horford SG Devin Booker UTIL DeAndre Jordan G Austin Rivers SF DeMarre Carroll F Marcus Smart PG J.J. Barea PF Ersan Ilyasova",NA,"Caris LeVert","F","17.92%",15.25
19,940622202,"kriebel13",0,278.25,"PG Kyrie Irving SG Devin Booker G Spencer Dinwiddie UTIL Jayson Tatum F Marcus Smart SF Taurean Prince PF Ersan Ilyasova C Tyson Chandler",NA,"Greg Monroe","C","17.28%",20
19,940703093,"Vargas2015",0,278.25,"UTIL Dennis Schroder SG Lou Williams PG Spencer Dinwiddie SF Harrison Barnes F T.J. Warren G J.J. Barea PF Ersan Ilyasova C Tyson Chandler",NA,"Jaylen Brown","SF","16.10%",27
21,940572575,"jagibbs23",0,278,"PG Dennis Schroder C DeAndre Jordan SG Spencer Dinwiddie F T.J. Warren PF DeMarre Carroll UTIL Taurean Prince G J.J. Barea SF Ersan Ilyasova",NA,"Montrezl Harrell","C","16.10%",19
22,940603909,"wale527 (2/2)",0,277.75,"PG Dennis Schroder PF Al Horford SG Devin Booker F T.J. Warren UTIL Kent Bazemore G Joe Harris SF Ersan Ilyasova C Tyson Chandler",NA,"Marcus Smart","G","13.78%",31.5
22,940659835,"terrybaby (2/2)",0,277.75,"PG Dennis Schroder C Al Horford SG Devin Booker F Kent Bazemore G Marcus Smart PF Marcus Morris UTIL J.J. Barea SF Ersan Ilyasova",NA,"J.J. Barea","PG","13.47%",43
24,940622106,"csmaniac (20/20)",0,277,"C Al Horford UTIL DeAndre Jordan PG Spencer Dinwiddie PF T.J. Warren F Rondae Hollis-Jefferson SG Marcus Smart G J.J. Barea SF Ersan Ilyasova",NA,"Dirk Nowitzki","PF","12.87%",27.25
25,940426161,"smokedog479",0,276.75,"UTIL Devin Booker C DeAndre Jordan PG Spencer Dinwiddie F Harrison Barnes G Kent Bazemore SF DeMarre Carroll PF Marcus Morris SG J.J. Barea",NA,"Jayson Tatum","F","11.63%",33.5
25,940737483,"jrod1000 (4/4)",0,276.75,"F Devin Booker C DeAndre Jordan G Spencer Dinwiddie SF Harrison Barnes UTIL Jayson Tatum SG Austin Rivers PG J.J. Barea PF Ersan Ilyasova",NA,"Wesley Matthews","G","8.88%",20
27,940474774,"datrashman13 (3/13)",0,276.5,"PG Dennis Schroder SF Devin Booker C DeAndre Jordan G Spencer Dinwiddie PF T.J. Warren F Marcus Morris UTIL Montrezl Harrell SG DeAndre' Bembry",NA,"Wesley Johnson","G","7.54%",16.5
27,940482919,"rscott322009 (2/2)",0,276.5,"PG Kyrie Irving PF Al Horford SG Lou Williams SF Devin Booker G J.J. Barea UTIL Mike James C Tyson Chandler F Dwight Powell",NA,"Dwight Powell","UTIL","6.46%",22
