"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,940567189,"123...Infinity (10/20)",0,305.5,"G Rajon Rondo UTIL Damian Lillard C DeMarcus Cousins F Kenneth Faried PF Mason Plumlee SF Will Barton SG Gary Harris PG Jamal Murray",NA,"DeMarcus Cousins","C","86.80%",50
1,941034169,"jonathanghebrial (1/2)",0,305.5,"PG Rajon Rondo G Damian Lillard PF DeMarcus Cousins F Kenneth Faried C Mason Plumlee SF Will Barton UTIL Gary Harris SG Jamal Murray",NA,"Damian Lillard","UTIL","58.79%",50.75
1,941203439,"matt_27 (9/20)",0,305.5,"UTIL Rajon Rondo G Damian Lillard C DeMarcus Cousins PF Kenneth Faried F Mason Plumlee SF Will Barton SG Gary Harris PG Jamal Murray",NA,"Will Barton","SG","52.65%",34.5
4,941478278,"SadSoxFan (8/20)",0,302.75,"G Rajon Rondo F E'Twaun Moore SG Jrue Holiday UTIL Damian Lillard PF DeMarcus Cousins C Mason Plumlee SF Will Barton PG Jamal Murray",NA,"Mason Plumlee","F","49.03%",28
5,941203438,"matt_27 (8/20)",0,302,"UTIL Rajon Rondo F E'Twaun Moore SG Jrue Holiday G Damian Lillard C DeMarcus Cousins PF Kenneth Faried SF Will Barton PG Jamal Murray",NA,"Jrue Holiday","SG","48.44%",33.75
5,941389386,"Natiboy63",0,302,"UTIL Rajon Rondo F E'Twaun Moore SG Jrue Holiday G Damian Lillard C DeMarcus Cousins PF Kenneth Faried SF Will Barton PG Jamal Murray",NA,"Brandon Ingram","SF","45.92%",24.5
7,940383315,"Nycsourdiesel",0,296.5,"PG Rajon Rondo SG Jrue Holiday G Damian Lillard PF DeMarcus Cousins C Mason Plumlee F Julius Randle SF Brandon Ingram UTIL Jamal Murray",NA,"Kenneth Faried","F","45.75%",27.25
7,941025197,"Miller421 (10/20)",0,296.5,"G Rajon Rondo SG Jrue Holiday UTIL Damian Lillard C DeMarcus Cousins PF Mason Plumlee F Julius Randle SF Brandon Ingram PG Jamal Murray",NA,"Jusuf Nurkic","C","39.44%",14
7,941332854,"jrmush (2/2)",0,296.5,"PG Rajon Rondo SG Jrue Holiday G Damian Lillard PF DeMarcus Cousins F Mason Plumlee C Julius Randle SF Brandon Ingram UTIL Jamal Murray",NA,"Gary Harris","SG","38.27%",32
7,941478271,"SadSoxFan (1/20)",0,296.5,"UTIL Rajon Rondo SG Jrue Holiday PG Damian Lillard PF DeMarcus Cousins F Mason Plumlee C Julius Randle SF Brandon Ingram G Jamal Murray",NA,"C.J. McCollum","PG","37.68%",26.5
