"DeMarcus Cousins_NO","Anthony Davis_NO","Damian Lillard_POR","Nikola Jokic_DEN","Jusuf Nurkic_POR","Will Barton_DEN","CJ McCollum_POR","Lonzo Ball_LAL","Paul Millsap_DEN","Brandon Ingram_LAL","Jrue Holiday_NO","Kentavious Caldwell-Pope_LAL","Gary Harris_DEN","Kyle Kuzma_LAL","Larry Nance_LAL","Julius Randle_LAL","Brook Lopez_LAL","Jordan Clarkson_LAL","Jamal Murray_DEN","Wilson Chandler_DEN","Kenneth Faried_DEN","Rajon Rondo_NO","Al-Farouq Aminu_POR","Noah Vonleh_POR","Evan Turner_POR","Emmanuel Mudiay_DEN","Mason Plumlee_DEN","Trey Lyles_DEN","Juancho Hernangomez_DEN","Jameer Nelson_NO","E'Twaun Moore_NO","Shabazz Napier_POR","Caleb Swanigan_POR","Darius Miller_NO","Pat Connaughton_POR","Maurice Harkless_POR","Ivica Zubac_LAL","Dante Cunningham_NO","Ed Davis_POR","Ian Clark_NO","Meyers Leonard_POR","Tony Allen_NO","Cheick Diallo_NO","Alexis Ajinca_NO","Omer Asik_NO","Solomon Hill_NO","CJ Wilcox_POR","Jalen Jones_NO","Charles Cooke_NO","Jake Layman_POR","Wade Baldwin IV_POR","Frank Jackson_NO","Zach Collins_POR","Richard Jefferson_DEN","Luol Deng_LAL","Andrew Bogut_LAL","Corey Brewer_LAL","Darrell Arthur_DEN","Vander Blue_LAL","Torrey Craig_DEN","Alex Caruso_LAL","Monte Morris_DEN","Josh Hart_LAL","Tyler Ennis_LAL","Malik Beasley_DEN","Tyler Lydon_DEN","Thomas Bryant_LAL"
22.78125,58.21875,0,0,0,0,0,0,0,0,-61.59375,0,0,0,0,0,0,0,0,0,0,83.53125,0,0,0,0,0,0,0,-8.4375,64.96875,0,0,20.25,0,0,0,-19.40625,0,-11.8125,0,-36.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.21875,148.78125,0,0,0,0,0,0,0,0,-157.40625,0,0,0,0,0,0,0,0,0,0,213.46875,0,0,0,0,0,0,0,-21.5625,166.03125,0,0,51.75,0,0,0,-49.59375,0,-30.1875,0,-92.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32,0,-148,0,0,0,0,0,0,-52,0,0,0,0,0,17,0,-51,0,0,0,0,-9,-63,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,34,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-148,0,684.5,0,0,0,0,0,0,240.5,0,0,0,0,0,-78.625,0,235.875,0,0,0,0,41.625,291.375,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5,0,0,0,0,0,0,0,0,0,0,-157.25,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,124.03125,0,200.8125,0,-112.21875,0,-173.25,-51.1875,100.40625,0,55.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,-78.75,0,0,0,0,0,-11.8125,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,200.8125,0,325.125,0,-181.6875,0,-280.5,-82.875,162.5625,0,89.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,-127.5,0,0,0,0,0,-19.125,0,0,0,0
