"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01"
"DeMarcus Cousins_NO",NA,NA,42.5,NA,49.25
"Anthony Davis_NO",NA,NA,22.25,NA,39.5
"Damian Lillard_POR",NA,NA,NA,35.75,NA
"Nikola Jokic_DEN",NA,27,NA,19,NA
"Jusuf Nurkic_POR",NA,NA,NA,46.75,NA
"Will Barton_DEN",NA,14.5,NA,51.5,NA
"CJ McCollum_POR",NA,NA,NA,31.5,NA
"Lonzo Ball_LAL",20.75,NA,36.5,NA,NA
"Paul Millsap_DEN",NA,0,NA,0,NA
"Brandon Ingram_LAL",24.75,NA,50.25,NA,NA
"Jrue Holiday_NO",NA,NA,42.75,NA,24.5
"Kentavious Caldwell-Pope_LAL",46,NA,31.75,NA,NA
"Gary Harris_DEN",NA,26.25,NA,39.25,NA
"Kyle Kuzma_LAL",22,NA,0,NA,NA
"Larry Nance_LAL",29,NA,22.5,NA,NA
"Julius Randle_LAL",16.75,NA,29.5,NA,NA
"Brook Lopez_LAL",11.75,NA,11.75,NA,NA
"Jordan Clarkson_LAL",34,NA,41,NA,NA
"Jamal Murray_DEN",NA,14.75,NA,10.5,NA
"Wilson Chandler_DEN",NA,0,NA,0,NA
"Kenneth Faried_DEN",NA,20,NA,32.75,NA
"Rajon Rondo_NO",NA,NA,15.75,NA,40.5
"Al-Farouq Aminu_POR",NA,NA,NA,11.75,NA
"Noah Vonleh_POR",NA,NA,NA,11,NA
"Evan Turner_POR",NA,NA,NA,19.25,NA
"Emmanuel Mudiay_DEN",NA,15.75,NA,18,NA
"Mason Plumlee_DEN",NA,4,NA,19.75,NA
"Trey Lyles_DEN",NA,10,NA,22,NA
"Juancho Hernangomez_DEN",NA,0,NA,0,NA
"Jameer Nelson_NO",NA,NA,16.75,NA,14.25
"E'Twaun Moore_NO",NA,NA,11,NA,30.25
"Shabazz Napier_POR",NA,NA,NA,10.25,NA
"Caleb Swanigan_POR",NA,NA,NA,0,NA
"Darius Miller_NO",NA,NA,17,NA,23
"Pat Connaughton_POR",NA,NA,NA,7.25,NA
"Maurice Harkless_POR",NA,NA,NA,5.5,NA
"Ivica Zubac_LAL",0,NA,0,NA,NA
"Dante Cunningham_NO",NA,NA,10.5,NA,4.75
"Ed Davis_POR",NA,NA,NA,3.25,NA
"Ian Clark_NO",NA,NA,3.5,NA,0
"Meyers Leonard_POR",NA,NA,NA,5.75,NA
"Tony Allen_NO",NA,NA,13.25,NA,2.5
"Cheick Diallo_NO",NA,NA,0,NA,0
"Alexis Ajinca_NO",NA,NA,0,NA,0
"Omer Asik_NO",NA,NA,0,NA,0
"Solomon Hill_NO",NA,NA,0,NA,0
"CJ Wilcox_POR",NA,NA,NA,0,NA
"Jalen Jones_NO",NA,NA,0,NA,0
"Charles Cooke_NO",NA,NA,0,NA,0
"Jake Layman_POR",NA,NA,NA,0,NA
"Wade Baldwin IV_POR",NA,NA,NA,0,NA
"Frank Jackson_NO",NA,NA,0,NA,0
"Zach Collins_POR",NA,NA,NA,0,NA
"Richard Jefferson_DEN",NA,0,NA,5,NA
"Luol Deng_LAL",0,NA,0,NA,NA
"Andrew Bogut_LAL",0,NA,6,NA,NA
"Corey Brewer_LAL",13.5,NA,3.5,NA,NA
"Darrell Arthur_DEN",NA,0,NA,0,NA
"Vander Blue_LAL",0,NA,0,NA,NA
"Torrey Craig_DEN",NA,0,NA,0,NA
"Alex Caruso_LAL",0,NA,0,NA,NA
"Monte Morris_DEN",NA,0,NA,0,NA
"Josh Hart_LAL",10.75,NA,9.25,NA,NA
"Tyler Ennis_LAL",0,NA,0,NA,NA
"Malik Beasley_DEN",NA,8.5,NA,0,NA
"Tyler Lydon_DEN",NA,0,NA,0,NA
"Thomas Bryant_LAL",0,NA,0,NA,NA
