"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,941433924,"JMason925 (3/5)",0,347.5,"F DeMarcus Cousins C Andre Drummond SG Tyreke Evans SF Robert Covington G Jamal Murray UTIL John Henson PG Rajon Rondo PF Mason Plumlee",NA,"Mason Plumlee","F","72.77%",28
2,940874058,"mazwa (12/50)",0,337.75,"PG Damian Lillard UTIL Andre Drummond C Marc Gasol SF Robert Covington F Dario Saric SG Jamal Murray G Rajon Rondo PF Mason Plumlee",NA,"DeMarcus Cousins","UTIL","67.34%",50
3,940807525,"RexGrossman (54/150)",0,337.25,"UTIL DeMarcus Cousins C Marc Gasol SF Tyreke Evans PG Lonzo Ball PF Robert Covington SG Jamal Murray F Mason Plumlee G E'Twaun Moore",NA,"Jrue Holiday","PG","38.00%",33.75
4,941568815,"crip_trippin",0,336.5,"C DeMarcus Cousins G Damian Lillard F Tyreke Evans SG Jrue Holiday UTIL Robert Covington PG Rajon Rondo PF Mason Plumlee SF E'Twaun Moore",NA,"Rajon Rondo","PG","34.74%",38.5
5,940571262,"GreyPoupon (4/25)",0,335,"F DeMarcus Cousins C Andre Drummond SF Tyreke Evans SG Jrue Holiday G Jamal Murray UTIL Kenneth Faried PG Rajon Rondo PF Mason Plumlee",NA,"Andre Drummond","UTIL","34.09%",49.75
5,940637214,"pianoclub (5/150)",0,335,"UTIL DeMarcus Cousins C Andre Drummond SF Tyreke Evans SG Jrue Holiday PG Jamal Murray F Kenneth Faried G Rajon Rondo PF Mason Plumlee",NA,"Gary Harris","G","31.79%",32
5,941084686,"moklovin (109/150)",0,335,"UTIL DeMarcus Cousins C Andre Drummond SF Tyreke Evans G Jrue Holiday SG Jamal Murray PF Kenneth Faried PG Rajon Rondo F Mason Plumlee",NA,"Will Barton","SF","29.64%",34.5
5,941297051,"racks31 (2/3)",0,335,"PF DeMarcus Cousins C Andre Drummond SF Tyreke Evans PG Jrue Holiday SG Jamal Murray F Kenneth Faried G Rajon Rondo UTIL Mason Plumlee",NA,"Ben Simmons","UTIL","29.30%",28.5
9,940637223,"pianoclub (14/150)",0,334.5,"G Damian Lillard C Andre Drummond UTIL Marc Gasol SF Tyreke Evans SG Gary Harris PG Rajon Rondo PF Mason Plumlee F E'Twaun Moore",NA,"Lonzo Ball","PG","28.60%",29.75
10,940637285,"pianoclub (76/150)",0,334.25,"PF DeMarcus Cousins G Damian Lillard SG Tyreke Evans F Will Barton UTIL Jamal Murray PG Rajon Rondo C Mason Plumlee SF Trey Lyles",NA,"Kenneth Faried","F","27.32%",27.25
11,940571264,"GreyPoupon (6/25)",0,331.75,"F DeMarcus Cousins C Andre Drummond SF Tyreke Evans SG Jrue Holiday G Jamal Murray UTIL John Henson PG Rajon Rondo PF Mason Plumlee",NA,"E'Twaun Moore","SG","26.75%",22.75
11,940643614,"Sox2014",0,331.75,"F DeMarcus Cousins C Andre Drummond SF Tyreke Evans SG Jrue Holiday G Jamal Murray UTIL John Henson PG Rajon Rondo PF Mason Plumlee",NA,"Jamal Murray","SG","24.43%",44.5
13,941176240,"darcmaniluk (138/150)",0,331.5,"F DeMarcus Cousins C Marc Gasol SF Tyreke Evans PG Jrue Holiday SG Jamal Murray UTIL John Henson G Rajon Rondo PF Mason Plumlee",NA,"Joel Embiid","C","21.83%",38
