"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,940635852,"ravens09 (1/2)",0,302.5,"PG Dennis Schroder SG Devin Booker C DeAndre Jordan SF Jaylen Brown PF Jayson Tatum F Marcus Morris G J.J. Barea UTIL Tyson Chandler",NA,"Ersan Ilyasova","F","61.26%",24.25
2,940446323,"Vcdean",0,300,"PG Dennis Schroder SG Devin Booker C DeAndre Jordan SF Harrison Barnes PF T.J. Warren G J.J. Barea F Ersan Ilyasova UTIL Tyson Chandler",NA,"Kyrie Irving","PG","57.63%",30
3,940792494,"KRISMICHIGAN",0,295.75,"G Dennis Schroder F Al Horford SF T.J. Warren UTIL Jayson Tatum PF DeMarre Carroll SG Marcus Smart PG J.J. Barea C Tyson Chandler",NA,"Harrison Barnes","UTIL","48.46%",23.5
4,940411174,"cmac2333",0,294.5,"PG Kyrie Irving PF Al Horford SG Devin Booker SF Jayson Tatum F Dirk Nowitzki UTIL Marcus Morris G J.J. Barea C Tyson Chandler",NA,"Lou Williams","G","47.91%",27
5,940756937,"stm35 (2/2)",0,292.75,"PF Al Horford SG Devin Booker C DeAndre Jordan PG Spencer Dinwiddie SF DeMarre Carroll F Marcus Morris G J.J. Barea UTIL Mike James",NA,"Spencer Dinwiddie","SG","40.31%",42
6,940554408,"hashes1306 (7/39)",0,291.5,"F Devin Booker C DeAndre Jordan SG Spencer Dinwiddie SF T.J. Warren PG Austin Rivers G Marcus Smart PF Dirk Nowitzki UTIL J.J. Barea",NA,"Austin Rivers","PG","37.35%",19.75
7,940675324,"micangl67 (8/21)",0,290.75,"C Al Horford SG Devin Booker SF Harrison Barnes PF T.J. Warren F Jayson Tatum G Austin Rivers PG J.J. Barea UTIL Tyson Chandler",NA,"DeMarre Carroll","PF","35.67%",28.5
8,940546687,"bosanders28",0,289.75,"PG Kyrie Irving PF Al Horford C DeAndre Jordan SG Spencer Dinwiddie SF Marcus Morris G J.J. Barea F Ersan Ilyasova UTIL Tyson Chandler",NA,"Dennis Schroder","PG","35.18%",38.75
9,940756851,"bees77 (3/4)",0,289.25,"PG Kyrie Irving PF Al Horford SG Devin Booker SF T.J. Warren F Jayson Tatum G J.J. Barea C Tyson Chandler UTIL Dragan Bender",NA,"DeAndre Jordan","C","34.16%",40.25
9,940761761,"richkorzo",0,289.25,"PG Kyrie Irving F Al Horford SF Devin Booker SG Marcus Smart G Taurean Prince PF Marcus Morris UTIL J.J. Barea C Tyson Chandler",NA,"Al Horford","C","33.87%",40.75
9,940788171,"salonso318 (1/2)",0,289.25,"PF Al Horford G Devin Booker C DeAndre Jordan SG Jaylen Brown F Jayson Tatum UTIL Dirk Nowitzki SF Marcus Morris PG J.J. Barea",NA,"Devin Booker","SG","27.79%",50.5
12,940800720,"cheddarjill",0,289,"PG Dennis Schroder C DeAndre Jordan SG Spencer Dinwiddie SF T.J. Warren PF Jayson Tatum F Dirk Nowitzki UTIL Marcus Morris G J.J. Barea",NA,"T.J. Warren","F","23.32%",37.25
13,940662300,"glennferrere",0,288.25,"G Kyrie Irving UTIL Al Horford SG Devin Booker SF T.J. Warren F Wesley Matthews PG J.J. Barea PF Ersan Ilyasova C Tyson Chandler",NA,"Trevor Booker","PF","21.71%",2.25
13,940718929,"gramfishburne (1/2)",0,288.25,"C Al Horford G Devin Booker SG Spencer Dinwiddie PF Harrison Barnes SF T.J. Warren UTIL Marcus Morris PG J.J. Barea F Ersan Ilyasova",NA,"Marcus Morris","UTIL","19.87%",27
13,940736291,"DREEM (1/4)",0,288.25,"UTIL Dennis Schroder F Al Horford SG Spencer Dinwiddie PF T.J. Warren PG Austin Rivers G J.J. Barea SF Ersan Ilyasova C Tyson Chandler",NA,"Greg Monroe","PF","19.08%",20
16,940713950,"MuddyJones (4/7)",0,287.75,"PG Kyrie Irving PF Al Horford SG Devin Booker SF T.J. Warren F Dirk Nowitzki UTIL Wesley Johnson G J.J. Barea C Tyson Chandler",NA,"Kent Bazemore","SG","18.91%",22
17,940797361,"jonbock",0,287.25,"PG Kyrie Irving PF Al Horford SG Devin Booker SF Jayson Tatum G Wesley Matthews F Marcus Morris UTIL J.J. Barea C Tyson Chandler",NA,"Montrezl Harrell","F","17.87%",19
18,940569513,"mile13.1 (3/14)",0,286.5,"C Al Horford F Devin Booker SF Harrison Barnes PF T.J. Warren G Jaylen Brown SG Kent Bazemore PG J.J. Barea UTIL Tyson Chandler",NA,"Taurean Prince","SF","17.01%",24
19,940612995,"bowensml22 (7/9)",0,285.75,"F Al Horford UTIL Devin Booker C DeAndre Jordan G Spencer Dinwiddie SF DeMarre Carroll SG J.J. Barea PF Greg Monroe PG Mike James",NA,"Caris LeVert","G","15.63%",15.25
20,940775168,"flanny2323 (49/52)",0,284.75,"C Al Horford SG Devin Booker SF T.J. Warren PF Jayson Tatum PG Dennis Smith Jr. F Marcus Smart UTIL Taurean Prince G J.J. Barea",NA,"Marco Belinelli","G","15.59%",18.5
21,940572373,"jadsan127",0,284,"PG Lou Williams SG Devin Booker G Spencer Dinwiddie SF T.J. Warren F Jaylen Brown UTIL Jayson Tatum PF Ersan Ilyasova C Tyson Chandler",NA,"Marcus Smart","UTIL","14.64%",31.5
22,940802712,"KingHarley (87/150)",0,283.25,"C Al Horford UTIL DeAndre Jordan PG Spencer Dinwiddie PF T.J. Warren F DeMarre Carroll SF Marcus Smart SG Wesley Matthews G J.J. Barea",NA,"Jaylen Brown","F","12.98%",27
23,940720128,"merlin578 (9/10)",0,283,"UTIL Kyrie Irving C Al Horford SG Devin Booker F T.J. Warren SF Marcus Smart G J.J. Barea PF Ersan Ilyasova PG Devin Harris",NA,"J.J. Barea","G","12.84%",43
24,940740860,"BT1987",0,282.75,"C Al Horford UTIL DeAndre Jordan G Spencer Dinwiddie F T.J. Warren SF DeMarre Carroll SG Taurean Prince PF Marcus Morris PG J.J. Barea",NA,"Wesley Matthews","F","12.53%",20
25,940539861,"Awesemo (86/150)",0,282.5,"G Lou Williams SG Devin Booker C DeAndre Jordan UTIL Spencer Dinwiddie PF DeMarre Carroll SF Marcus Morris PG J.J. Barea F Ersan Ilyasova",NA,"Dirk Nowitzki","C","12.41%",27.25
25,940620271,"colechill28 (3/3)",0,282.5,"G Lou Williams SG Devin Booker UTIL Spencer Dinwiddie PF Harrison Barnes SF Jaylen Brown F Marcus Morris PG J.J. Barea C Tyson Chandler",NA,"Wesley Johnson","G","8.41%",16.5
27,940661411,"Biggbabe100 (7/9)",0,282,"PF Al Horford G Devin Booker UTIL DeAndre Jordan SG Jaylen Brown SF Jayson Tatum F Marcus Morris PG J.J. Barea C Greg Monroe",NA,"Jayson Tatum","F","8.07%",33.5
27,940664994,"dtllerkillers (1/2)",0,282,"PF Al Horford PG Lou Williams SG Devin Booker C DeAndre Jordan SF Marcus Smart F Marcus Morris G J.J. Barea UTIL Dwight Powell",NA,"Rondae Hollis-Jefferson","F","7.83%",18
29,940797020,"caguinaga (24/49)",0,281.75,"G Dennis Schroder SG Devin Booker C DeAndre Jordan SF T.J. Warren F Jayson Tatum PG J.J. Barea UTIL Marco Belinelli PF Greg Monroe",NA,"Dennis Smith Jr.","G","6.32%",24.25
30,940405021,"JNKILLA",0,281.5,"PG Dennis Schroder C Al Horford SF Devin Booker SG Spencer Dinwiddie PF T.J. Warren F Ersan Ilyasova UTIL Tyson Chandler G Isaiah Whitehead",NA,"Dwight Powell","F","5.88%",22
31,940758204,"colaguy32 (1/6)",0,281.25,"F Devin Booker C DeAndre Jordan PG Spencer Dinwiddie SF T.J. Warren UTIL Austin Rivers PF DeMarre Carroll SG Wesley Matthews G J.J. Barea",NA,"Terry Rozier","PG","5.80%",11.75
32,940718318,"jperuski",0,281,"PG Dennis Schroder C Al Horford SG Devin Booker SF T.J. Warren PF DeMarre Carroll G Marco Belinelli F Ersan Ilyasova UTIL Tyson Chandler",NA,"Allen Crabbe","F","5.77%",19.75
32,940742723,"rocyaice (2/3)",0,281,"G Kyrie Irving PG Dennis Schroder SG Devin Booker SF T.J. Warren UTIL J.J. Barea PF Greg Monroe C Tyson Chandler F Montrezl Harrell",NA,"Tyson Chandler","C","4.97%",42.5
34,940472942,"child-please1980",0,280.75,"PF Al Horford SG Devin Booker C DeAndre Jordan UTIL T.J. Warren G Kent Bazemore F Wesley Matthews SF Marcus Morris PG J.J. Barea",NA,"Maxi Kleber","F","4.91%",14
34,940731593,"Dejackson-1123 (4/4)",0,280.75,"PG Kyrie Irving G Dennis Schroder UTIL Spencer Dinwiddie SF T.J. Warren F Dirk Nowitzki SG J.J. Barea PF Greg Monroe C Tyson Chandler",NA,"Tyler Ulis","PG","4.62%",10
34,940731917,"NILKNARF (131/150)",0,280.75,"G Lou Williams SG Devin Booker C DeAndre Jordan UTIL Spencer Dinwiddie PF T.J. Warren SF Wesley Johnson PG J.J. Barea F Ersan Ilyasova",NA,"Tyler Zeller","C","4.26%",16.25
