"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG","Kyrie Irving",9200,"PHO@BOS 12/02/2017 01:00PM ET",38.841,"BOS","PHO",47.66,0,30
"PF/C","Blake Griffin",8900,"LAC@DAL 12/02/2017 02:00PM ET",43.763,"LAC","DAL",0,0,0
"PG","Dennis Schroder",8500,"ATL@BKN 12/02/2017 03:00PM ET",35.092,"ATL","BKN",41.34,0,38.75
"PF/C","Al Horford",8100,"PHO@BOS 12/02/2017 01:00PM ET",34.56,"BOS","PHO",35.03,0,40.75
"PG/SG","Lou Williams",7800,"LAC@DAL 12/02/2017 02:00PM ET",30.313,"LAC","DAL",40.65,0,0
"PG","D'Angelo Russell",7600,"ATL@BKN 12/02/2017 03:00PM ET",36.458,"BKN","ATL",0,0,0
"SG/SF","Devin Booker",7500,"PHO@BOS 12/02/2017 01:00PM ET",36.33,"PHO","BOS",32.11,0,50.5
"C","DeAndre Jordan",7300,"LAC@DAL 12/02/2017 02:00PM ET",31.6,"LAC","DAL",35.77,0,40.25
"PG/SG","Spencer Dinwiddie",7000,"ATL@BKN 12/02/2017 03:00PM ET",26.679,"BKN","ATL",36.94,0,42
"SF/PF","Harrison Barnes",6700,"LAC@DAL 12/02/2017 02:00PM ET",32.58,"DAL","LAC",31.27,0,23.5
"SF/PF","TJ Warren",6400,"PHO@BOS 12/02/2017 01:00PM ET",30.38,"PHO","BOS",31.22,0,37.25
"SG/SF","Jaylen Brown",6300,"PHO@BOS 12/02/2017 01:00PM ET",27.466,"BOS","PHO",27.12,0,27
"SF/PF","Rondae Hollis-Jefferson",6300,"ATL@BKN 12/02/2017 03:00PM ET",26.583,"BKN","ATL",30.88,0,18
"SF/PF","Jayson Tatum",6200,"PHO@BOS 12/02/2017 01:00PM ET",26.207,"BOS","PHO",24.97,0,33.5
"PG/SG","Austin Rivers",6100,"LAC@DAL 12/02/2017 02:00PM ET",24.925,"LAC","DAL",36.21,0,19.75
"PF/C","John Collins",6000,"ATL@BKN 12/02/2017 03:00PM ET",24.202,"ATL","BKN",0,0,0
"SG/SF","Kent Bazemore",6000,"ATL@BKN 12/02/2017 03:00PM ET",27.286,"ATL","BKN",35.04,0,22
"SF/PF","Danilo Gallinari",6000,"LAC@DAL 12/02/2017 02:00PM ET",24.806,"LAC","DAL",0,0,0
"SF/PF","DeMarre Carroll",5900,"ATL@BKN 12/02/2017 03:00PM ET",28.737,"BKN","ATL",24.69,0,28.5
"PG/SG","Dennis Smith",5800,"LAC@DAL 12/02/2017 02:00PM ET",27.038,"DAL","LAC",25.42,0,24.25
"SG/SF","Marcus Smart",5700,"PHO@BOS 12/02/2017 01:00PM ET",25.893,"BOS","PHO",25.7,0,31.5
"SG/SF","Taurean Prince",5600,"ATL@BKN 12/02/2017 03:00PM ET",25.798,"ATL","BKN",28.47,0,24
"PF/C","Trevor Booker",5500,"ATL@BKN 12/02/2017 03:00PM ET",23.375,"BKN","ATL",22.82,0,2.25
"C","Dewayne Dedmon",5400,"ATL@BKN 12/02/2017 03:00PM ET",25.038,"ATL","BKN",0,0,0
"PG/SG","Patrick Beverley",5300,"LAC@DAL 12/02/2017 02:00PM ET",25.977,"LAC","DAL",0,0,0
"SG/SF","Allen Crabbe",5100,"ATL@BKN 12/02/2017 03:00PM ET",22.139,"BKN","ATL",26.92,0,19.75
"SG/SF","Caris LeVert",5000,"ATL@BKN 12/02/2017 03:00PM ET",22.893,"BKN","ATL",25.53,0,15.25
"PF/C","Dirk Nowitzki",5000,"LAC@DAL 12/02/2017 02:00PM ET",22.898,"DAL","LAC",22.31,0,27.25
"SF/PF","Marcus Morris",4900,"PHO@BOS 12/02/2017 01:00PM ET",24.269,"BOS","PHO",20.18,0,27
"SG/SF","Wesley Matthews",4900,"LAC@DAL 12/02/2017 02:00PM ET",23.057,"DAL","LAC",24.57,0,20
"SG/SF","Wesley Johnson",4800,"LAC@DAL 12/02/2017 02:00PM ET",18.088,"LAC","DAL",26.34,0,16.5
"PF/C","Greg Monroe",4700,"PHO@BOS 12/02/2017 01:00PM ET",20.458,"PHO","BOS",25.32,0,20
"SG","Marco Belinelli",4700,"ATL@BKN 12/02/2017 03:00PM ET",22.155,"ATL","BKN",22.17,0,18.5
"PG/SG","JJ Barea",4700,"LAC@DAL 12/02/2017 02:00PM ET",24.341,"DAL","LAC",21.4,0,0
"PF/C","Alex Len",4600,"PHO@BOS 12/02/2017 01:00PM ET",24.088,"PHO","BOS",0,0,0
"SG/SF","Joe Harris",4500,"ATL@BKN 12/02/2017 03:00PM ET",18.163,"BKN","ATL",16.53,0,21.75
"SF/PF","Ersan Ilyasova",4500,"ATL@BKN 12/02/2017 03:00PM ET",15.975,"ATL","BKN",28.39,0,24.25
"PG","Mike James",4400,"PHO@BOS 12/02/2017 01:00PM ET",22.848,"PHO","BOS",19.64,0,20.75
