"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,944881219,"jeremyshow (6/6)",0,341.75,"UTIL Kevin Love SF Devin Booker C Al Horford PF Draymond Green SG Jimmy Butler G J.J. Barea PG Alec Burks F Doug McDermott",NA,"Michael Beasley","SF","79.42%",14.25
2,944976394,"Williamsj18",0,334.75,"PF DeMarcus Cousins F Devin Booker PG Kemba Walker UTIL Jimmy Butler G Rajon Rondo C Mason Plumlee SG Alec Burks SF Michael Beasley",NA,"Mason Plumlee","PF","49.45%",18.75
3,944851062,"gmwilson (2/2)",0,334,"PF DeMarcus Cousins SF Kevin Durant C Draymond Green SG Jrue Holiday G Rajon Rondo PG Alec Burks UTIL E'Twaun Moore F Michael Beasley",NA,"Enes Kanter","C","47.23%",16
3,944932542,"stlcardinals84 (4/7)",0,334,"C DeMarcus Cousins SF Kevin Durant PF Draymond Green SG Jrue Holiday PG Rajon Rondo UTIL Alec Burks G E'Twaun Moore F Michael Beasley",NA,"DeMarcus Cousins","UTIL","41.11%",58.75
5,944683202,"tobyborcoman (1/2)",0,327.75,"UTIL Ben Simmons PF Kevin Love C Draymond Green SG Jrue Holiday PG Darren Collison F Kenneth Faried G Alec Burks SF Michael Beasley",NA,"Rajon Rondo","UTIL","25.80%",38.75
6,944678406,"ThatStunna (6/8)",0,326.75,"F DeMarcus Cousins PG Ben Simmons PF Draymond Green G Jrue Holiday C Mason Plumlee UTIL Alec Burks SG E'Twaun Moore SF Michael Beasley",NA,"Joel Embiid","C","24.54%",49.5
7,944787437,"Staneetanator",0,325,"PF DeMarcus Cousins UTIL Marc Gasol SF Devin Booker SG Jrue Holiday PG Rajon Rondo C Mason Plumlee G Alec Burks F Michael Beasley",NA,"Alec Burks","G","24.10%",41.25
8,944623020,"ChipotleAddict (4/74)",0,322.25,"C Joel Embiid PG Kemba Walker SG Jimmy Butler UTIL Myles Turner SF Rondae Hollis-Jefferson PF Pau Gasol F Rudy Gay G E'Twaun Moore",NA,"Marc Gasol","C","23.25%",38.75
8,944623085,"ChipotleAddict (69/74)",0,322.25,"UTIL DeMarcus Cousins C Joel Embiid PG Kemba Walker PF Rondae Hollis-Jefferson F Mason Plumlee G Alec Burks SF Michael Kidd-Gilchrist SG E'Twaun Moore",NA,"Kemba Walker","PG","23.21%",50.5
10,944678404,"ThatStunna (4/8)",0,321.5,"UTIL DeMarcus Cousins G Stephen Curry PF Draymond Green PG Jrue Holiday C Mason Plumlee SG Alec Burks F Michael Kidd-Gilchrist SF Michael Beasley",NA,"Kevin Durant","SF","19.89%",38.25
11,944963111,"lightsoutaqb",0,320.5,"PF Giannis Antetokounmpo F Ben Simmons PG Kemba Walker UTIL Jrue Holiday C Mason Plumlee G Alec Burks SG E'Twaun Moore SF Michael Beasley",NA,"Jrue Holiday","SG","19.68%",50
12,944678405,"ThatStunna (5/8)",0,319.75,"F DeMarcus Cousins C Marc Gasol PF Draymond Green PG Jrue Holiday UTIL Rudy Gay G J.J. Barea SG Alec Burks SF Michael Beasley",NA,"Jimmy Butler","UTIL","18.59%",48
12,944865466,"brianlefevre (14/30)",0,319.75,"G Ben Simmons C Joel Embiid SF Harrison Barnes PG Jrue Holiday PF Pau Gasol UTIL Rudy Gay SG E'Twaun Moore F Michael Beasley",NA,"E'Twaun Moore","SG","18.47%",39.5
14,944623064,"ChipotleAddict (48/74)",0,316,"F DeMarcus Cousins C Joel Embiid PG Jrue Holiday PF Rondae Hollis-Jefferson UTIL Pau Gasol SG Bojan Bogdanovic G E'Twaun Moore SF Michael Beasley",NA,"Myles Turner","UTIL","18.35%",22.25
15,944487139,"getoffme2312 (1/5)",0,314.25,"F DeMarcus Cousins PF Draymond Green UTIL Tyreke Evans C Enes Kanter SG Evan Fournier SF Rudy Gay PG Alec Burks G E'Twaun Moore",NA,"Ben Simmons","PG","17.29%",51
15,944543998,"cmg1028",0,314.25,"PF LeBron James G Devin Booker PG Kemba Walker SG Jrue Holiday C Kenneth Faried UTIL Alec Burks SF Michael Beasley F Doug McDermott",NA,"Elfrid Payton","PG","16.69%",27.5
17,944623058,"ChipotleAddict (42/74)",0,314,"C Joel Embiid UTIL Marc Gasol PG Kemba Walker F Harrison Barnes PF Pau Gasol SF Ersan Ilyasova G Alec Burks SG E'Twaun Moore",NA,"Robert Covington","SF","16.52%",28.5
18,944678402,"ThatStunna (2/8)",0,313.75,"F DeMarcus Cousins C Marc Gasol PF Draymond Green G Jrue Holiday PG Rajon Rondo UTIL Mason Plumlee SG Alec Burks SF Michael Beasley",NA,"Giannis Antetokounmpo","F","13.41%",55.25
19,944952859,"Gatorwade",0,313.5,"UTIL Joel Embiid F Devin Booker PF T.J. Warren SG Jrue Holiday C Enes Kanter PG Dwyane Wade G Alec Burks SF Michael Beasley",NA,"Nicolas Batum","SG","13.08%",36.25
