"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02"
"LeBron James_CLE",NA,58,NA,59,NA,55.5
"DeMarcus Cousins_NO",NA,NA,42.5,NA,49.25,50
"Giannis Antetokounmpo_MIL",NA,57.25,NA,50.75,NA,65.25
"Anthony Davis_NO",NA,NA,22.25,NA,39.5,0
"Ben Simmons_PHI",NA,NA,66,40.5,NA,28.5
"Joel Embiid_PHI",NA,NA,58.5,0,NA,38
"Stephen Curry_GS",0,NA,43.75,NA,52.5,NA
"Kevin Durant_GS",0,NA,47.75,NA,45.5,NA
"Andre Drummond_DET",NA,NA,35.25,NA,55.75,49.75
"Victor Oladipo_IND",NA,NA,43.75,NA,65.75,NA
"Kyrie Irving_BOS",NA,NA,NA,47,NA,30
"John Wall_WAS",NA,0,0,NA,0,NA
"Nikola Jokic_DEN",NA,27,NA,19,NA,0
"Kristaps Porzingis_NY",NA,NA,0,NA,NA,NA
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA
"LaMarcus Aldridge_SA",NA,NA,53,NA,32,NA
"Kevin Love_CLE",NA,56.75,NA,49,NA,39.25
"Marc Gasol_MEM",NA,NA,27,NA,45.25,49.5
"Dennis Schroder_ATL",NA,NA,NA,36.5,NA,38.75
"Kawhi Leonard_SA",NA,NA,0,NA,0,NA
"Aaron Gordon_ORL",NA,NA,78.75,NA,46.25,NA
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5
"Dwight Howard_CHA",NA,NA,42,NA,18.75,NA
"Al Horford_BOS",NA,NA,NA,42.5,NA,40.75
"Rudy Gobert_UTA",NA,0,NA,0,0,NA
"Kemba Walker_CHA",NA,NA,0,NA,0,NA
"Bradley Beal_WAS",NA,21,31.5,NA,18,NA
"Draymond Green_GS",34,NA,50.25,NA,41.25,NA
"Tyreke Evans_MEM",NA,NA,32.75,NA,14.25,63.25
"D'Angelo Russell_BKN",NA,NA,0,NA,NA,0
"Nikola Vucevic_ORL",NA,NA,34.25,NA,17.75,NA
"Spencer Dinwiddie_BKN",NA,NA,34.25,NA,NA,42
"Klay Thompson_GS",36.25,NA,28.75,NA,39.75,NA
"Donovan Mitchell_UTA",NA,26.75,NA,36.5,53.5,NA
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA
"Will Barton_DEN",NA,14.5,NA,51.5,NA,34.5
"Tim Hardaway_NY",NA,NA,0,NA,NA,NA
"Eric Bledsoe_MIL",NA,42.25,NA,37.75,NA,30.5
"Derrick Favors_UTA",NA,50.25,NA,35.5,43.75,NA
"TJ Warren_PHO",NA,38.75,11,NA,NA,37.25
"Otto Porter_WAS",NA,33.5,21,NA,38.25,NA
"Harrison Barnes_DAL",NA,NA,39.5,NA,NA,23.5
"Isaiah Thomas_CLE",NA,0,NA,0,NA,0
"Andrew Wiggins_MIN",NA,23.5,48,NA,33.75,NA
"Jeff Teague_MIN",NA,0,0,NA,31.25,NA
"Mike Conley_MEM",NA,NA,0,NA,0,0
"Paul Millsap_DEN",NA,0,NA,0,NA,0
"Tobias Harris_DET",NA,NA,31.25,NA,20,39.25
"Khris Middleton_MIL",NA,22,NA,43.75,NA,30.5
"Jrue Holiday_NO",NA,NA,42.75,NA,24.5,33.75
"Enes Kanter_NY",NA,NA,0,NA,NA,NA
"Robert Covington_PHI",NA,NA,28.5,20.25,NA,49.5
"Kris Dunn_CHI",NA,48.5,NA,34.75,26,NA
"Lauri Markkanen_CHI",NA,27,NA,33.25,22.75,NA
"Myles Turner_IND",NA,NA,36.5,NA,28.5,NA
"Jayson Tatum_BOS",NA,NA,NA,25.5,NA,33.5
"Jaylen Brown_BOS",NA,NA,NA,8.75,NA,27
"Elfrid Payton_ORL",NA,NA,43.25,NA,33.5,NA
"DeMarre Carroll_BKN",NA,NA,33.25,NA,NA,28.5
"Taj Gibson_MIN",NA,32.25,31,NA,16,NA
"Reggie Jackson_DET",NA,NA,34.75,NA,16.5,33.75
"Gary Harris_DEN",NA,26.25,NA,39.25,NA,32
"Jeremy Lamb_CHA",NA,NA,30.75,NA,24.5,NA
