"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,944868822,"WCHPrime (19/20)",0,340.5,"G Ben Simmons UTIL Joel Embiid SG Devin Booker PF T.J. Warren C Tyson Chandler PG Alec Burks F E'Twaun Moore SF Michael Beasley",NA,"Michael Beasley","PF","68.21%",14.25
2,944851793,"gmwilson (1/2)",0,334,"PF DeMarcus Cousins SF Kevin Durant C Draymond Green SG Jrue Holiday G Rajon Rondo PG Alec Burks UTIL E'Twaun Moore F Michael Beasley",NA,"Enes Kanter","UTIL","46.76%",16
3,945089925,"Spankinator (3/4)",0,331.25,"C DeMarcus Cousins G Ben Simmons SF Devin Booker PG Jrue Holiday SG Alec Burks UTIL Jarrett Jack F E'Twaun Moore PF Michael Beasley",NA,"Mason Plumlee","F","46.45%",18.75
4,945280598,"Stackmandu (2/3)",0,331,"C DeMarcus Cousins SF Giannis Antetokounmpo G Devin Booker UTIL Rajon Rondo PF Mason Plumlee PG Alec Burks SG E'Twaun Moore F Michael Beasley",NA,"DeMarcus Cousins","UTIL","35.05%",58.75
5,945222800,"WPalmer2014 (2/2)",0,330.5,"PG Victor Oladipo SG Devin Booker F Tyreke Evans PF T.J. Warren SF Robert Covington G Rajon Rondo C Tyson Chandler UTIL Alec Burks",NA,"Alec Burks","SG","23.77%",41.25
6,945362379,"RipCity7",0,329.5,"C Joel Embiid UTIL Devin Booker F Tyreke Evans SG Jimmy Butler PG Jrue Holiday PF Mason Plumlee G Alec Burks SF Michael Beasley",NA,"Joel Embiid","C","22.94%",49.5
7,945349313,"meekmill (2/2)",0,328.25,"PF DeMarcus Cousins UTIL Devin Booker SG Jimmy Butler SF Will Barton C Enes Kanter PG Alec Burks G E'Twaun Moore F Michael Beasley",NA,"Ben Simmons","PG","21.98%",51
8,945316378,"HoustonHottie (9/11)",0,327.75,"SF Ben Simmons C Joel Embiid SG Devin Booker PG Kemba Walker G Alec Burks UTIL Marvin Williams F E'Twaun Moore PF Michael Beasley",NA,"Elfrid Payton","PG","20.41%",27.5
8,945358508,"The_Gageman (2/2)",0,327.75,"C Joel Embiid G Devin Booker PF Draymond Green SG Jimmy Butler PG Darren Collison F Marcus Morris UTIL Alec Burks SF Michael Beasley",NA,"Rajon Rondo","PG","19.33%",38.75
10,945316374,"HoustonHottie (5/11)",0,327.5,"SF Ben Simmons SG Devin Booker C Dwight Howard PG Kemba Walker PF Rudy Gay UTIL Dirk Nowitzki G Alec Burks F E'Twaun Moore",NA,"Kemba Walker","PG","19.18%",50.5
11,944986912,"Tnvols1972 (3/4)",0,326.5,"PG Stephen Curry SF Kevin Durant PF Draymond Green SG Jrue Holiday UTIL Nicolas Batum G Rajon Rondo F E'Twaun Moore C Miles Plumlee",NA,"Giannis Antetokounmpo","SF","17.46%",55.25
12,945033622,"513yoshi (15/20)",0,323.5,"PG Stephen Curry C Marc Gasol SG Devin Booker G Kemba Walker PF Pau Gasol UTIL Mason Plumlee SF E'Twaun Moore F Michael Beasley",NA,"Kevin Durant","F","17.28%",38.25
13,944725458,"eaglesftbll7 (1/7)",0,322.25,"SG Devin Booker F Tyreke Evans UTIL Jimmy Butler SF Harrison Barnes G Jrue Holiday C Enes Kanter PF Mason Plumlee PG Alec Burks",NA,"E'Twaun Moore","SF","16.07%",39.5
14,944827844,"losmafiosos (18/20)",0,321,"PF DeMarcus Cousins C Joel Embiid SF T.J. Warren SG Nicolas Batum UTIL Pau Gasol PG Alec Burks G E'Twaun Moore F Michael Beasley",NA,"Jrue Holiday","G","15.77%",50
14,945300822,"nhl2005 (14/15)",0,321,"UTIL DeMarcus Cousins C Joel Embiid SF T.J. Warren SG Nicolas Batum PF Pau Gasol PG Alec Burks G E'Twaun Moore F Michael Beasley",NA,"J.J. Redick","SG","15.72%",30.25
16,945227219,"novica07 (2/20)",0,319.75,"UTIL DeMarcus Cousins PG Ben Simmons SG Stephen Curry PF Mason Plumlee C Tyson Chandler G Alec Burks F E'Twaun Moore SF Michael Beasley",NA,"Jimmy Butler","SG","15.09%",48
17,945226596,"bglife1216 (7/20)",0,319.25,"PF DeMarcus Cousins F Ben Simmons SG Jimmy Butler G Jrue Holiday C Mason Plumlee UTIL Alec Burks PG Jarrett Jack SF E'Twaun Moore",NA,"Victor Oladipo","G","13.85%",33.75
18,944868821,"WCHPrime (18/20)",0,318,"PG Ben Simmons UTIL Joel Embiid SG Devin Booker PF T.J. Warren F Mason Plumlee C Tyson Chandler G E'Twaun Moore SF Michael Beasley",NA,"Marc Gasol","C","13.55%",38.75
18,945033616,"513yoshi (9/20)",0,318,"UTIL Joel Embiid C Andre Drummond SG Devin Booker G Jrue Holiday PF Pau Gasol F Mason Plumlee PG Alec Burks SF Michael Beasley",NA,"Ersan Ilyasova","PF","13.45%",15.5
18,945259832,"JimmyMorgan",0,318,"SF Ben Simmons C Joel Embiid F Devin Booker UTIL Jrue Holiday PG Rajon Rondo G Alec Burks SG David Nwaba PF Michael Beasley",NA,"Robert Covington","PF","12.82%",28.5
21,945033621,"513yoshi (14/20)",0,317.5,"SF Giannis Antetokounmpo G Stephen Curry SG Devin Booker PF Pau Gasol PG Jamal Murray C Mason Plumlee UTIL E'Twaun Moore F Michael Beasley",NA,"Courtney Lee","F","10.93%",8
22,945033615,"513yoshi (8/20)",0,316.25,"C Joel Embiid SG Devin Booker G Kemba Walker PG Jrue Holiday PF Pau Gasol SF J.J. Redick F Mason Plumlee UTIL Michael Beasley",NA,"J.J. Barea","UTIL","10.02%",27
