"LeBron James_CLE","DeMarcus Cousins_NO","Giannis Antetokounmpo_MIL","Anthony Davis_NO","Ben Simmons_PHI","Joel Embiid_PHI","Stephen Curry_GS","Kevin Durant_GS","Andre Drummond_DET","Victor Oladipo_IND","Kyrie Irving_BOS","John Wall_WAS","Nikola Jokic_DEN","Kristaps Porzingis_NY","Karl-Anthony Towns_MIN","LaMarcus Aldridge_SA","Kevin Love_CLE","Marc Gasol_MEM","Dennis Schroder_ATL","Kawhi Leonard_SA","Aaron Gordon_ORL","Devin Booker_PHO","Dwight Howard_CHA","Al Horford_BOS","Rudy Gobert_UTA","Kemba Walker_CHA","Bradley Beal_WAS","Draymond Green_GS","Tyreke Evans_MEM","D'Angelo Russell_BKN","Nikola Vucevic_ORL","Spencer Dinwiddie_BKN","Klay Thompson_GS","Donovan Mitchell_UTA","Jimmy Butler_MIN","Will Barton_DEN","Tim Hardaway_NY","Eric Bledsoe_MIL","Derrick Favors_UTA","TJ Warren_PHO","Otto Porter_WAS","Harrison Barnes_DAL","Isaiah Thomas_CLE","Andrew Wiggins_MIN","Jeff Teague_MIN","Mike Conley_MEM","Paul Millsap_DEN","Tobias Harris_DET","Khris Middleton_MIL","Jrue Holiday_NO","Enes Kanter_NY","Robert Covington_PHI","Kris Dunn_CHI","Lauri Markkanen_CHI","Myles Turner_IND","Jayson Tatum_BOS","Jaylen Brown_BOS","Elfrid Payton_ORL","DeMarre Carroll_BKN","Taj Gibson_MIN","Reggie Jackson_DET","Gary Harris_DEN","Jeremy Lamb_CHA","Kent Bazemore_ATL","Rondae Hollis-Jefferson_BKN","John Collins_ATL","Rodney Hood_UTA","Darren Collison_IND","Nicolas Batum_CHA","Justin Holiday_CHI","Dwyane Wade_CLE","Thaddeus Young_IND","Dennis Smith_DAL","Dario Saric_PHI","Ricky Rubio_UTA","Evan Fournier_ORL","Pau Gasol_SA","Marcus Smart_BOS","Denzel Valentine_CHI","Avery Bradley_DET","Taurean Prince_ATL","Robin Lopez_CHI","Mario Chalmers_MEM","JJ Redick_PHI","Dewayne Dedmon_ATL","Jabari Parker_MIL","Marcin Gortat_WAS","Courtney Lee_NY","Kyle Anderson_SA","Joe Ingles_UTA","Kelly Oubre_WAS","Domantas Sabonis_IND","Jamal Murray_DEN","Trevor Booker_BKN","Jonathon Simmons_ORL","Rajon Rondo_NO","Caris LeVert_BKN","Marcus Morris_BOS","Nikola Mirotic_CHI","Ersan Ilyasova_ATL","Malcolm Brogdon_MIL","Bobby Portis_CHI","Kenneth Faried_DEN","Rudy Gay_SA","Allen Crabbe_BKN","Zach LaVine_CHI","Markieff Morris_WAS","JaMychal Green_MEM","Dirk Nowitzki_DAL","Wilson Chandler_DEN","Greg Monroe_PHO","John Henson_MIL","Jerian Grant_CHI","JJ Barea_DAL","Bojan Bogdanovic_IND","Lance Stephenson_IND","Wesley Matthews_DAL","Michael Carter-Williams_CHA","Alex Len_PHO","Marco Belinelli_ATL","TJ McConnell_PHI","Danny Green_SA","Mason Plumlee_DEN","Tyson Chandler_PHO","Mike James_PHO","Kyle O'Quinn_NY","Josh Jackson_PHO","Joe Harris_BKN","Terry Rozier_BOS","JR Smith_CLE","Tim Frazier_WAS","Tomas Satoransky_WAS","Seth Curry_DAL","Tyler Ulis_PHO","Darius Miller_NO","Luke Babbitt_ATL","Alec Burks_UTA","Michael Kidd-Gilchrist_CHA","Ish Smith_DET","DeAndre' Bembry_ATL","Jarrett Jack_NY","Dwight Powell_DAL","Devin Harris_DAL","Malik Monk_CHA","Marquese Chriss_PHO","Patty Mills_SA","Tony Snell_MIL","Jeff Green_CLE","David Nwaba_CHI","Derrick Rose_CLE","Tristan Thompson_CLE","Jonas Jerebko_UTA","Glenn Robinson III_IND","Dillon Brooks_MEM","Tyus Jones_MIN","Chandler Parsons_MEM","Emmanuel Mudiay_DEN","Yogi Ferrell_DAL","Frank Kaminsky_CHA","DJ Augustin_ORL","Markelle Fultz_PHI","Thon Maker_MIL","Daniel Theis_BOS","Jae Crowder_CLE","Kyle Korver_CLE","Thabo Sefolosha_UTA","James Ennis III_MEM","Trey Lyles_DEN","Juancho Hernangomez_DEN","Marvin Williams_CHA","Terrence Ross_ORL","Amir Johnson_PHI","Richaun Holmes_PHI","Andre Iguodala_GS","E'Twaun Moore_NO","Stanley Johnson_DET","Tony Parker_SA","Malcolm Delaney_ATL","Aron Baynes_BOS","Gorgui Dieng_MIN","Cody Zeller_CHA","Jared Dudley_PHO","Shaun Livingston_GS","Manu Ginobili_SA","Bryn Forbes_SA","Sean Kilpatrick_BKN","Mike Muscala_ATL","DeAndre Liggins_MIL","Paul Zipser_CHI","Iman Shumpert_CLE","Jodie Meeks_WAS","Joe Johnson_UTA","Cory Joseph_IND","Frank Ntilikina_NY","Michael Beasley_NY","Jamal Crawford_MIN","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Ben McLemore_MEM","Jonathan Isaac_ORL","David West_GS","Dejounte Murray_SA","Brandon Paul_SA","Tyler Zeller_BKN","Jarrett Allen_BKN","Miles Plumlee_ATL","Channing Frye_CLE","Ian Mahinmi_WAS","Jason Smith_WAS","Guillermo Hernangomez_NY","Al Jefferson_IND","Jarell Martin_MEM","Andrew Harrison_MEM","Arron Afflalo_ORL","Dragan Bender_PHO","Jerryd Bayless_PHI","Jameer Nelson_NO","Omri Casspi_GS","Patrick McCaw_GS","Anthony Tolliver_DET","Luke Kennard_DET","Quincy Acy_BKN","Isaiah Taylor_ATL","Tyler Cavanaugh_ATL","Isaiah Whitehead_BKN","Doug McDermott_NY","Joakim Noah_NY","Brandan Wright_MEM","Bismack Biyombo_ORL","Dwayne Bacon_CHA","Mario Hezonja_ORL","Troy Daniels_PHO","Zaza Pachulia_GS","Dante Cunningham_NO","Jordan Bell_GS","Timofey Mozgov_BKN","Matthew Dellavedova_MIL","Mirza Teletovic_MIL","Semi Ojeleye_BOS","Shane Larkin_BOS","Ante Zizic_CLE","Mike Scott_WAS","Raul Neto_UTA","Lance Thomas_NY","Damyean Dotson_NY","Deyonta Davis_MEM","Nerlens Noel_DAL","Maxi Kleber_DAL","Shelvin Mack_ORL","Timothe Luwawu-Cabarrot_PHI","Alan Williams_PHO","Nick Young_GS","Ian Clark_NO","Antonio Blakeney_CHI","Ramon Sessions_NY","Salah Mejri_DAL","Marreese Speights_ORL","Tony Allen_NO","Cheick Diallo_NO","Langston Galloway_DET","Jeremy Lin_BKN","Josh Magette_ATL","Tyler Dorsey_ATL","Nicolas Brussino_ATL","Jacob Wiley_BKN","Yakuba Ouattara_BKN","Gary Payton II_MIL","Rashad Vaughn_MIL","Jason Terry_MIL","DJ Wilson_MIL","Abdel Nader_BOS","Guerschon Yabusele_BOS","Sterling Brown_MIL","Joel Bolomboy_MIL","Gordon Hayward_BOS","Jabari Bird_BOS","Kadeem Allen_BOS","Cristiano Felicio_CHI","Kay Felder_CHI","Jose Calderon_CLE","Quincy Pondexter_CHI","Cedi Osman_CLE","Ryan Arcidiacono_CHI","John Holland_CLE","London Perrantes_CLE","Cameron Payne_CHI","Ekpe Udoh_UTA","Royce O'Neale_UTA","Chris McCullough_WAS","Tony Bradley_UTA","Nate Wolters_UTA","Sheldon Mac_WAS","Mike Young_WAS","Dante Exum_UTA","Devin Robinson_WAS","Eric Griffin_UTA","TJ Leaf_IND","Joe Young_IND","Damien Wilkins_IND","Ron Baker_NY","Alex Poythress_IND","Ike Anigbogu_IND","Luke Kornet_NY","Edmond Sumner_IND","Isaiah Hicks_NY","Aaron Brooks_MIN","Wayne Selden_MEM","Kobi Simmons_MEM","Ivan Rabb_MEM","Vince Hunter_MEM","Marcus Georges-Hunt_MIN","Cole Aldrich_MIN","Justin Patton_MIN","Anthony Brown_MIN","Malik Beasley_DEN","Jeff Withey_DAL","Richard Jefferson_DEN","Dorian Finney-Smith_DAL","Antonius Cleveland_DAL","Darrell Arthur_DEN","Johnathan Motley_DAL","Torrey Craig_DEN","Tyler Lydon_DEN","Monte Morris_DEN","Josh McRoberts_DAL","Treveon Graham_CHA","Johnny O'Bryant III_CHA","Julyan Stone_CHA","Wes Iwundu_ORL","Khem Birch_ORL","Mangok Mathiang_CHA","Jamel Artis_ORL","Marcus Paige_CHA","Adreian Payne_ORL","Justin Anderson_PHI","Jahlil Okafor_PHI","Nik Stauskas_PHI","Furkan Korkmaz_PHI","Derrick Jones_PHO","Alec Peters_PHO","Jacob Pullen_PHI","James Michael McAdoo_PHI","Davon Reed_PHO","Brandon Knight_PHO","JaVale McGee_GS","Kevon Looney_GS","Quinn Cook_GS","Omer Asik_NO","Jalen Jones_NO","Charles Cooke_NO","Damian Jones_GS","Alexis Ajinca_NO","Chris Boucher_GS","Frank Jackson_NO","Solomon Hill_NO","Eric Moreland_DET","Jon Leuer_DET","Joffrey Lauvergne_SA","Henry Ellenson_DET","Reggie Bullock_DET","Davis Bertans_SA","Boban Marjanovic_DET","Derrick White_SA","Matt Costello_SA","Darrun Hilliard_SA","Luis Montero_DET","Dwight Buycks_DET"
3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.125,-9.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,10.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,17.0625,0,-13.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8125,0,0,0,0,-13.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,52.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.3125,0,0,0,0,0,0,0,0,0,0,-44.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5625,0,0,0,0,0,0,0,0,0,0,-18.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,16.3125,-1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-13.34375,0,392.145833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79.9895833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1458333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-213.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.25,0,0,0,0,-78.5208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-115.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,366.75,300.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-154.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0625,0,0,0,0,0,0,0,0,0,-184.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.125,-39.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,300.75,881.083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.2291666666667,0,0,0,0,0,0,0,0,0,-234.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-166.041666666667,-285.479166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-148.041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,791.145833333333,743.020833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.802083333333,0,0,0,0,-8.02083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-215.46875,0,0,0,0,0,0,0,0,-143.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-206.354166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57.6041666666667,-459.375,0,0,0,0,0,0,0,0,0,0,0,0,0,153.489583333333,0,189.947916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.5520833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-160.416666666667,68.5416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,743.020833333333,725.895833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.677083333333,0,0,0,0,-37.2708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-165.84375,0,0,0,0,0,0,0,0,-132.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-239.479166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-108.104166666667,-494,0,0,0,0,0,0,0,0,0,0,0,0,0,147.364583333333,0,147.822916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.9270833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.416666666667,90.5416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,111.083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.3541666666667,0,0,0,0,0,0,0,0,0,0,0,0,-82.0208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.54166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.75,-93.1458333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107.25,0,0,-46.6666666666667,0,0,14.9375,0,0,0,0,0
0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,145.75,0,0,0,-41.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
