"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04"
"Russell Westbrook_OKC",NA,NA,69.75,NA,49.25,NA,NA
"Damian Lillard_POR",NA,NA,NA,35.75,NA,50.75,NA
"Kyle Lowry_TOR",NA,NA,55.75,NA,31.75,NA,NA
"John Wall_WAS",NA,0,0,NA,0,NA,0
"DeMar DeRozan_TOR",NA,NA,43.5,NA,44.75,NA,NA
"Paul George_OKC",NA,NA,37.75,NA,62,NA,NA
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5,64.5
"Bradley Beal_WAS",NA,21,31.5,NA,18,NA,13.25
"Rudy Gobert_UTA",NA,0,NA,0,0,NA,26
"Jusuf Nurkic_POR",NA,NA,NA,46.75,NA,14,NA
"Donovan Mitchell_UTA",NA,26.75,NA,36.5,53.5,NA,27.75
"CJ McCollum_POR",NA,NA,NA,31.5,NA,26.5,NA
"Otto Porter_WAS",NA,33.5,21,NA,38.25,NA,24
"Derrick Favors_UTA",NA,50.25,NA,35.5,43.75,NA,23.5
"Carmelo Anthony_OKC",NA,NA,30.75,NA,18,NA,NA
"TJ Warren_PHO",NA,38.75,11,NA,NA,37.25,43
"Steven Adams_OKC",NA,NA,20,NA,38,NA,NA
"Rodney Hood_UTA",NA,0,NA,0,0,NA,0
"Ricky Rubio_UTA",NA,30,NA,31.25,16.75,NA,18.75
"Marcin Gortat_WAS",NA,19.25,12,NA,40.5,NA,20.25
"Serge Ibaka_TOR",NA,NA,22.5,NA,29.5,NA,NA
"Kelly Oubre_WAS",NA,29.5,39.75,NA,19.75,NA,11.25
"Joe Ingles_UTA",NA,18,NA,24,32.25,NA,18.5
"Jonas Valanciunas_TOR",NA,NA,20.25,NA,24.75,NA,NA
"Markieff Morris_WAS",NA,7,9.5,NA,41.25,NA,15.75
"Alec Burks_UTA",NA,22.5,NA,53.25,35.75,NA,41.25
"Greg Monroe_PHO",NA,0,32.75,NA,NA,20,0
"Alex Len_PHO",NA,37.5,11.25,NA,NA,0,10.75
"Tyson Chandler_PHO",NA,12.25,0,NA,NA,42.5,37.5
"Al-Farouq Aminu_POR",NA,NA,NA,11.75,NA,13.25,NA
"Mike James_PHO",NA,18.25,22,NA,NA,20.75,8.25
"Tomas Satoransky_WAS",NA,24.75,26.5,NA,31,NA,13.5
"Noah Vonleh_POR",NA,NA,NA,11,NA,17.75,NA
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75,13.75
"Norman Powell_TOR",NA,NA,15.5,NA,22.25,NA,NA
"Tim Frazier_WAS",NA,9.25,10.75,NA,24.75,NA,8
"Evan Turner_POR",NA,NA,NA,19.25,NA,8,NA
"Pascal Siakam_TOR",NA,NA,15,NA,10.75,NA,NA
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10,32.75
"Marquese Chriss_PHO",NA,12.5,23,NA,NA,9.5,17.5
"Jonas Jerebko_UTA",NA,31.5,NA,21.5,20.5,NA,15.25
"CJ Miles_TOR",NA,NA,11,NA,17.25,NA,NA
"Jerami Grant_OKC",NA,NA,19.25,NA,20.75,NA,NA
"Thabo Sefolosha_UTA",NA,11.25,NA,20.5,14,NA,14.75
"Shabazz Napier_POR",NA,NA,NA,10.25,NA,32.75,NA
"Pat Connaughton_POR",NA,NA,NA,7.25,NA,21,NA
"Jared Dudley_PHO",NA,0,12.5,NA,NA,8.75,0
"Joe Johnson_UTA",NA,0,NA,0,0,NA,0
"Andre Roberson_OKC",NA,NA,24.75,NA,19.5,NA,NA
"Delon Wright_TOR",NA,NA,0,NA,0,NA,NA
"OG Anunoby_TOR",NA,NA,5.25,NA,9.25,NA,NA
"Caleb Swanigan_POR",NA,NA,NA,0,NA,0,NA
"Jodie Meeks_WAS",NA,14,31,NA,7.75,NA,7.5
"Maurice Harkless_POR",NA,NA,NA,5.5,NA,0,NA
"Jakob Poeltl_TOR",NA,NA,10,NA,31.5,NA,NA
"Fred VanVleet_TOR",NA,NA,23.75,NA,27.5,NA,NA
"Lucas Nogueira_TOR",NA,NA,6.75,NA,0,NA,NA
"Dragan Bender_PHO",NA,8,10.5,NA,NA,11.75,14.25
"Jason Smith_WAS",NA,0,0,NA,0,NA,4.5
"Ian Mahinmi_WAS",NA,17.5,15.5,NA,14.25,NA,4.75
"Ed Davis_POR",NA,NA,NA,3.25,NA,11,NA
"Raymond Felton_OKC",NA,NA,12.5,NA,6.25,NA,NA
"Alex Abrines_OKC",NA,NA,0,NA,0,NA,NA
"Dakari Johnson_OKC",NA,NA,3.25,NA,0,NA,NA
"Troy Daniels_PHO",NA,13.25,3,NA,NA,5,6.75
"Meyers Leonard_POR",NA,NA,NA,5.75,NA,27,NA
"Raul Neto_UTA",NA,0,NA,0,0,NA,0
"Alan Williams_PHO",NA,0,0,NA,NA,0,0
"Mike Scott_WAS",NA,25.25,2.75,NA,10.25,NA,4.75
"Patrick Patterson_OKC",NA,NA,0,NA,9.25,NA,NA
"Sheldon Mac_WAS",NA,0,0,NA,0,NA,0
"Mike Young_WAS",NA,0,0,NA,0,NA,0
"Devin Robinson_WAS",NA,0,0,NA,0,NA,0
"Chris McCullough_WAS",NA,0,12.5,NA,0,NA,9.25
"CJ Wilcox_POR",NA,NA,NA,0,NA,0,NA
"Jake Layman_POR",NA,NA,NA,0,NA,0,NA
"Wade Baldwin IV_POR",NA,NA,NA,0,NA,0,NA
"Zach Collins_POR",NA,NA,NA,0,NA,0,NA
"Dante Exum_UTA",NA,0,NA,0,0,NA,0
"Tony Bradley_UTA",NA,0,NA,0,0,NA,0
"Ekpe Udoh_UTA",NA,10,NA,12,12.5,NA,8
"Nate Wolters_UTA",NA,0,NA,0,0,NA,0
"Eric Griffin_UTA",NA,0,NA,0,0,NA,0
"Royce O'Neale_UTA",NA,14.75,NA,21.75,3.5,NA,33.75
"Kyle Singler_OKC",NA,NA,0,NA,0,NA,NA
"Nick Collison_OKC",NA,NA,0,NA,4.25,NA,NA
"Josh Huestis_OKC",NA,NA,0,NA,4.75,NA,NA
"Terrance Ferguson_OKC",NA,NA,0,NA,0,NA,NA
"PJ Dozier_OKC",NA,NA,0,NA,0,NA,NA
"Daniel Hamilton_OKC",NA,NA,0,NA,0,NA,NA
"Malcolm Miller_TOR",NA,NA,0,NA,0,NA,NA
"Alfonzo McKinnie_TOR",NA,NA,0,NA,0,NA,NA
"Lorenzo Brown_TOR",NA,NA,0,NA,0,NA,NA
"Bruno Caboclo_TOR",NA,NA,0,NA,0,NA,NA
"Alec Peters_PHO",NA,0,0,NA,NA,0,0
"Brandon Knight_PHO",NA,0,0,NA,NA,0,0
"Derrick Jones_PHO",NA,0,0,NA,NA,0,0
"Davon Reed_PHO",NA,0,0,NA,NA,0,0
