"Russell Westbrook_OKC","Damian Lillard_POR","John Wall_WAS","Paul George_OKC","Bradley Beal_WAS","Rudy Gobert_UTA","Jusuf Nurkic_POR","Donovan Mitchell_UTA","CJ McCollum_POR","Otto Porter_WAS","Derrick Favors_UTA","Carmelo Anthony_OKC","Steven Adams_OKC","Rodney Hood_UTA","Ricky Rubio_UTA","Marcin Gortat_WAS","Kelly Oubre_WAS","Joe Ingles_UTA","Markieff Morris_WAS","Alec Burks_UTA","Al-Farouq Aminu_POR","Tomas Satoransky_WAS","Noah Vonleh_POR","Evan Turner_POR","Tim Frazier_WAS","Jonas Jerebko_UTA","Thabo Sefolosha_UTA","Jerami Grant_OKC","Shabazz Napier_POR","Pat Connaughton_POR","Joe Johnson_UTA","Andre Roberson_OKC","Jodie Meeks_WAS","Maurice Harkless_POR","Caleb Swanigan_POR","Jason Smith_WAS","Ian Mahinmi_WAS","Ed Davis_POR","Raymond Felton_OKC","Alex Abrines_OKC","Dakari Johnson_OKC","Meyers Leonard_POR","Raul Neto_UTA","Mike Scott_WAS","Patrick Patterson_OKC","CJ Wilcox_POR","Sheldon Mac_WAS","Jake Layman_POR","Mike Young_WAS","Devin Robinson_WAS","Wade Baldwin IV_POR","Chris McCullough_WAS","Zach Collins_POR","Nick Collison_OKC","Ekpe Udoh_UTA","Kyle Singler_OKC","Nate Wolters_UTA","Josh Huestis_OKC","Eric Griffin_UTA","Royce O'Neale_UTA","Dante Exum_UTA","Daniel Hamilton_OKC","PJ Dozier_OKC","Tony Bradley_UTA","Terrance Ferguson_OKC"
210.125,0,0,-248.5625,0,0,0,0,0,0,0,130.6875,-184.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.375,0,0,0,53.8125,0,0,0,0,0,0,64.0625,0,33.3125,0,0,0,-94.8125,0,0,0,0,0,0,0,0,-43.5625,0,0,0,-48.6875,0,0,0,0,0,0,0
0,112.5,0,0,0,0,-245.625,0,-37.5,0,0,0,0,0,0,0,0,0,0,0,11.25,0,50.625,-84.375,0,0,0,0,168.75,103.125,0,0,0,-41.25,0,0,0,58.125,0,0,0,159.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-248.5625,0,0,294.03125,0,0,0,0,0,0,0,-154.59375,218.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1875,0,0,0,-63.65625,0,0,0,0,0,0,-75.78125,0,-39.40625,0,0,0,112.15625,0,0,0,0,0,0,0,0,51.53125,0,0,0,57.59375,0,0,0,0,0,0,0
0,0,0,0,59.765625,0,0,0,0,-24.3177083333333,0,0,0,0,0,-48.8958333333333,92.4010416666667,0,-47.15625,0,0,28.8697916666667,0,0,-6.69270833333333,0,0,0,0,0,0,0,82.6302083333333,0,0,-11.53125,28.8125,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,20.3072916666667,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,169,0,-72.5833333333333,0,0,-127.833333333333,0,0,0,-47.125,0,0,-40.625,0,26.5416666666667,0,0,0,0,0,-60.125,-3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.75,0,0,0,0,132.708333333333,0,0,0,0,0
0,-245.625,0,0,0,0,536.28125,0,81.875,0,0,0,0,0,0,0,0,0,0,0,-24.5625,0,-110.53125,184.21875,0,0,0,0,-368.4375,-225.15625,0,0,0,90.0625,0,0,0,-126.90625,0,0,0,-347.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-72.5833333333333,0,153.354166666667,0,0,35.1875,0,0,0,-45.1770833333333,0,0,81.8854166666667,0,28.2395833333333,0,0,0,0,0,-19.59375,7.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3125,0,0,0,0,-117.322916666667,0,0,0,0,0
0,-37.5,0,0,0,0,81.875,0,12.5,0,0,0,0,0,0,0,0,0,0,0,-3.75,0,-16.875,28.125,0,0,0,0,-56.25,-34.375,0,0,0,13.75,0,0,0,-19.375,0,0,0,-53.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-24.3177083333333,0,0,0,0,64.890625,0,0,0,0,0,82.25,-25.8697916666667,0,81.5104166666667,0,0,33.5572916666667,0,0,44.890625,0,0,0,0,0,0,0,-54.0364583333333,0,0,-7.78125,17.6875,0,0,0,0,0,0,51.5416666666667,0,0,0,0,0,0,0,-50.109375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-127.833333333333,0,35.1875,0,0,133.125,0,0,0,29.875,0,0,18.1666666666667,0,-96.0833333333333,0,0,0,0,0,68.8958333333333,-20.6458333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5833333333333,0,0,0,0,-120.458333333333,0,0,0,0,0
130.6875,0,0,-154.59375,0,0,0,0,0,0,0,81.28125,-114.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.5625,0,0,0,33.46875,0,0,0,0,0,0,39.84375,0,20.71875,0,0,0,-58.96875,0,0,0,0,0,0,0,0,-27.09375,0,0,0,-30.28125,0,0,0,0,0,0,0
-184.5,0,0,218.25,0,0,0,0,0,0,0,-114.75,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0,-47.25,0,0,0,0,0,0,-56.25,0,-29.25,0,0,0,83.25,0,0,0,0,0,0,0,0,38.25,0,0,0,42.75,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-47.125,0,-45.1770833333333,0,0,29.875,0,0,0,56.1822916666667,0,0,-22.109375,0,5.55729166666667,0,0,0,0,0,33.1822916666667,8.61458333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13541666666667,0,0,0,0,9.93229166666667,0,0,0,0,0
0,0,0,0,-48.8958333333333,0,0,0,0,82.25,0,0,0,0,0,149.625,-77.7291666666667,0,182.604166666667,0,0,40.3541666666667,0,0,86.0625,0,0,0,0,0,0,0,-92.8333333333333,0,0,-4.125,0.0625,0,0,0,0,0,0,13.7916666666667,0,0,0,0,0,0,0,-54.3125,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,92.4010416666667,0,0,0,0,-25.8697916666667,0,0,0,0,0,-77.7291666666667,151.473958333333,0,-88.6979166666667,0,0,49.296875,0,0,-14.3489583333333,0,0,0,0,0,0,0,124.223958333333,0,0,-20.71875,54.6666666666667,0,0,0,0,0,0,10.7916666666667,0,0,0,0,0,0,0,18.609375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-40.625,0,81.8854166666667,0,0,18.1666666666667,0,0,0,-22.109375,0,0,43.890625,0,19.0572916666667,0,0,0,0,0,-10.546875,5.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21875,0,0,0,0,-61.7760416666667,0,0,0,0,0
0,0,0,0,-47.15625,0,0,0,0,81.5104166666667,0,0,0,0,0,182.604166666667,-88.6979166666667,0,246.104166666667,0,0,52.3229166666667,0,0,114.84375,0,0,0,0,0,0,0,-92.2604166666667,0,0,-3.9375,-7.70833333333333,0,0,0,0,0,0,-29.875,0,0,0,0,0,0,0,-45.0729166666667,0,0,0,0,0,0,0,0,0,0,0,0,0
