"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,945698551,"DrNickIsIn (7/20)",0,324.5,"C Marcin Gortat SF Al-Farouq Aminu SG Bradley Beal PF Carmelo Anthony F Thabo Sefolosha PG Russell Westbrook UTIL Alec Burks G Donovan Mitchell",NA,"Alec Burks","SG","56.27%",21
2,946137477,"shivabomb (5/20)",0,323.75,"PF Al-Farouq Aminu UTIL Bradley Beal F Kelly Oubre Jr. SG Thabo Sefolosha PG Russell Westbrook C Derrick Favors SF Joe Ingles G Donovan Mitchell",NA,"Russell Westbrook","PG","54.30%",77.25
3,946215792,"holten27",0,322.75,"SF Al-Farouq Aminu SG Bradley Beal C Jusuf Nurkic UTIL Kelly Oubre Jr. PF Carmelo Anthony F Thabo Sefolosha PG Russell Westbrook G Joe Ingles",NA,"Damian Lillard","G","46.48%",53
4,945832817,"NotoriousAD (12/16)",0,319,"PF Al-Farouq Aminu F Markieff Morris G Bradley Beal SF Kelly Oubre Jr. PG Russell Westbrook SG Alec Burks C Steven Adams UTIL Donovan Mitchell",NA,"Steven Adams","C","43.82%",33.75
4,946031745,"LBoogy21 (2/5)",0,319,"PF Al-Farouq Aminu F Markieff Morris SG Bradley Beal SF Kelly Oubre Jr. PG Russell Westbrook G Alec Burks C Steven Adams UTIL Donovan Mitchell",NA,"Paul George","SF","42.77%",28.25
4,946144059,"mrcse13 (7/20)",0,319,"PF Al-Farouq Aminu F Markieff Morris G Bradley Beal SF Kelly Oubre Jr. UTIL Russell Westbrook PG Alec Burks C Steven Adams SG Donovan Mitchell",NA,"Carmelo Anthony","F","40.44%",31.5
4,946210749,"Sinhister (1/2)",0,319,"PF Al-Farouq Aminu SF Markieff Morris SG Bradley Beal PG Russell Westbrook UTIL Alec Burks F Joe Ingles C Steven Adams G Donovan Mitchell",NA,"C.J. McCollum","SG","38.30%",28
8,946099967,"734parsonsn (3/20)",0,318.75,"PF Al-Farouq Aminu UTIL C.J. McCollum G Bradley Beal F Kelly Oubre Jr. SF Thabo Sefolosha PG Russell Westbrook SG Joe Ingles C Steven Adams",NA,"Al-Farouq Aminu","PF","36.94%",27
9,945714342,"Deshawn15",0,318,"C Marcin Gortat F Mike Scott PF Al-Farouq Aminu G Damian Lillard SG Bradley Beal PG Russell Westbrook UTIL Alec Burks SF Joe Ingles",NA,"Otto Porter","PF","33.85%",22
10,945688542,"perilous (8/20)",0,317.75,"C Marcin Gortat PF Al-Farouq Aminu G Damian Lillard SG Bradley Beal SF Thabo Sefolosha PG Russell Westbrook UTIL Ricky Rubio F Andre Roberson",NA,"Derrick Favors","UTIL","33.67%",18.5
