"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG","Russell Westbrook",11000,"UTA@OKC 12/05/2017 08:00PM ET",52.636,"OKC","UTA",54.98,53.7,77.25
"PG","Damian Lillard",9400,"WAS@POR 12/05/2017 10:00PM ET",44.283,"POR","WAS",43.21,44.3,53
"PG","Kyle Lowry",8700,"PHO@TOR 12/05/2017 07:30PM ET",37.69,"TOR","PHO",39.35,41.5,48.5
"PG","John Wall",8500,"WAS@POR 12/05/2017 10:00PM ET",42.313,"WAS","POR",0,0,0
"SG/SF","DeMar DeRozan",8500,"PHO@TOR 12/05/2017 07:30PM ET",37.893,"TOR","PHO",39.17,41.4,46.75
"SF","Paul George",8400,"UTA@OKC 12/05/2017 08:00PM ET",39.773,"OKC","UTA",38.69,39.2,28.25
"SG/SF","Devin Booker",8000,"PHO@TOR 12/05/2017 07:30PM ET",36.946,"PHO","TOR",35.78,37,43.25
"SG","Bradley Beal",7600,"WAS@POR 12/05/2017 10:00PM ET",36.5,"WAS","POR",37.55,35.3,59.25
"C","Rudy Gobert",7300,"UTA@OKC 12/05/2017 08:00PM ET",35.042,"UTA","OKC",25.3,26.1,16
"C","Jusuf Nurkic",7200,"WAS@POR 12/05/2017 10:00PM ET",30.576,"POR","WAS",34.89,34.3,34.25
"PG/SG","Donovan Mitchell",7100,"UTA@OKC 12/05/2017 08:00PM ET",28.783,"UTA","OKC",32.51,32.2,48.25
"PG/SG","CJ McCollum",7000,"WAS@POR 12/05/2017 10:00PM ET",33.466,"POR","WAS",31.21,32.7,28
"SF/PF","Otto Porter",6900,"WAS@POR 12/05/2017 10:00PM ET",32.548,"WAS","POR",29.31,29.7,22
"PF/C","Derrick Favors",6600,"UTA@OKC 12/05/2017 08:00PM ET",27.609,"UTA","OKC",31.15,28.1,18.5
"SF/PF","Carmelo Anthony",6500,"UTA@OKC 12/05/2017 08:00PM ET",32.333,"OKC","UTA",28.86,30.7,31.5
"SF/PF","TJ Warren",6400,"PHO@TOR 12/05/2017 07:30PM ET",30.667,"PHO","TOR",32.79,31.4,10.75
"C","Steven Adams",5900,"UTA@OKC 12/05/2017 08:00PM ET",29.237,"OKC","UTA",27.34,27.7,33.75
"SG/SF","Rodney Hood",5700,"UTA@OKC 12/05/2017 08:00PM ET",25.986,"UTA","OKC",0,0,0
"PG","Ricky Rubio",5400,"UTA@OKC 12/05/2017 08:00PM ET",27.534,"UTA","OKC",24.08,24.1,22
"C","Marcin Gortat",5200,"WAS@POR 12/05/2017 10:00PM ET",25.943,"WAS","POR",20.74,21.2,26.75
"PF/C","Serge Ibaka",5000,"PHO@TOR 12/05/2017 07:30PM ET",23.184,"TOR","PHO",24.92,24.7,37
"SG/SF","Kelly Oubre",4900,"WAS@POR 12/05/2017 10:00PM ET",23.136,"WAS","POR",23.27,21.4,30
"SG/SF","Joe Ingles",4900,"UTA@OKC 12/05/2017 08:00PM ET",24.696,"UTA","OKC",24.85,22.8,30
"C","Jonas Valanciunas",4800,"PHO@TOR 12/05/2017 07:30PM ET",21.426,"TOR","PHO",23.87,23.1,17
"SF/PF","Markieff Morris",4700,"WAS@POR 12/05/2017 10:00PM ET",19.3,"WAS","POR",20.66,20.7,22.5
"PG/SG","Alec Burks",4500,"UTA@OKC 12/05/2017 08:00PM ET",16.659,"UTA","OKC",23.61,24.7,21
"PF/C","Greg Monroe",4500,"PHO@TOR 12/05/2017 07:30PM ET",20.423,"PHO","TOR",26.89,28.5,34
"PF/C","Alex Len",4400,"PHO@TOR 12/05/2017 07:30PM ET",24.088,"PHO","TOR",22.11,17.6,25.25
"C","Tyson Chandler",4300,"PHO@TOR 12/05/2017 07:30PM ET",22.361,"PHO","TOR",0,0,0
"SF/PF","Al-Farouq Aminu",4200,"WAS@POR 12/05/2017 10:00PM ET",21.932,"POR","WAS",20.45,22.2,27
"PG","Mike James",4200,"PHO@TOR 12/05/2017 07:30PM ET",22.76,"PHO","TOR",15.38,18.3,15.5
"PG/SG","Tomas Satoransky",4100,"WAS@POR 12/05/2017 10:00PM ET",12.173,"WAS","POR",0,18.2,17
"PF/C","Noah Vonleh",4000,"WAS@POR 12/05/2017 10:00PM ET",17.563,"POR","WAS",12.31,12.7,9.5
"SG/SF","Josh Jackson",4000,"PHO@TOR 12/05/2017 07:30PM ET",17.625,"PHO","TOR",16.64,15,16.25
"SG/SF","Norman Powell",4000,"PHO@TOR 12/05/2017 07:30PM ET",18.294,"TOR","PHO",16.51,16.1,6.75
"PG","Tim Frazier",3900,"WAS@POR 12/05/2017 10:00PM ET",14.034,"WAS","POR",18.89,17.1,21.75
"SG/SF","Evan Turner",3900,"WAS@POR 12/05/2017 10:00PM ET",17.837,"POR","WAS",14.67,16.2,5.75
"PF","Pascal Siakam",3900,"PHO@TOR 12/05/2017 07:30PM ET",18.225,"TOR","PHO",21.1,21.7,19.5
"PG","Tyler Ulis",3900,"PHO@TOR 12/05/2017 07:30PM ET",17.446,"PHO","TOR",20.33,20,11.75
"PF/C","Marquese Chriss",3900,"PHO@TOR 12/05/2017 07:30PM ET",17.052,"PHO","TOR",16.62,17.7,9
"SF/PF","Jonas Jerebko",3800,"UTA@OKC 12/05/2017 08:00PM ET",13.708,"UTA","OKC",9.32,16.2,13
"SG/SF","CJ Miles",3800,"PHO@TOR 12/05/2017 07:30PM ET",16.958,"TOR","PHO",16.23,17.4,19.25
"SF/PF","Jerami Grant",3700,"UTA@OKC 12/05/2017 08:00PM ET",18.193,"OKC","UTA",15.57,15.5,8.25
