"Russell Westbrook_OKC","Damian Lillard_POR","Kyle Lowry_TOR","John Wall_WAS","DeMar DeRozan_TOR","Paul George_OKC","Devin Booker_PHO","Bradley Beal_WAS","Rudy Gobert_UTA","Jusuf Nurkic_POR","Donovan Mitchell_UTA","CJ McCollum_POR","Otto Porter_WAS","Derrick Favors_UTA","Carmelo Anthony_OKC","TJ Warren_PHO","Steven Adams_OKC","Rodney Hood_UTA","Ricky Rubio_UTA","Marcin Gortat_WAS","Serge Ibaka_TOR","Kelly Oubre_WAS","Joe Ingles_UTA","Jonas Valanciunas_TOR","Markieff Morris_WAS","Alec Burks_UTA","Greg Monroe_PHO","Alex Len_PHO","Tyson Chandler_PHO","Al-Farouq Aminu_POR","Mike James_PHO","Tomas Satoransky_WAS","Noah Vonleh_POR","Josh Jackson_PHO","Norman Powell_TOR","Tim Frazier_WAS","Evan Turner_POR","Pascal Siakam_TOR","Tyler Ulis_PHO","Marquese Chriss_PHO","Jonas Jerebko_UTA","CJ Miles_TOR","Jerami Grant_OKC","Thabo Sefolosha_UTA","Shabazz Napier_POR","Pat Connaughton_POR","Jared Dudley_PHO","Joe Johnson_UTA","Andre Roberson_OKC","Delon Wright_TOR","OG Anunoby_TOR","Caleb Swanigan_POR","Jodie Meeks_WAS","Maurice Harkless_POR","Jakob Poeltl_TOR","Fred VanVleet_TOR","Lucas Nogueira_TOR","Dragan Bender_PHO","Jason Smith_WAS","Ian Mahinmi_WAS","Ed Davis_POR","Raymond Felton_OKC","Alex Abrines_OKC","Dakari Johnson_OKC","Troy Daniels_PHO","Meyers Leonard_POR","Raul Neto_UTA","Alan Williams_PHO","Mike Scott_WAS","Patrick Patterson_OKC","Sheldon Mac_WAS","Mike Young_WAS","Devin Robinson_WAS","Chris McCullough_WAS","CJ Wilcox_POR","Jake Layman_POR","Wade Baldwin IV_POR","Zach Collins_POR","Dante Exum_UTA","Tony Bradley_UTA","Ekpe Udoh_UTA","Nate Wolters_UTA","Eric Griffin_UTA","Royce O'Neale_UTA","Kyle Singler_OKC","Nick Collison_OKC","Josh Huestis_OKC","Terrance Ferguson_OKC","PJ Dozier_OKC","Daniel Hamilton_OKC","Malcolm Miller_TOR","Alfonzo McKinnie_TOR","Lorenzo Brown_TOR","Bruno Caboclo_TOR","Alec Peters_PHO","Brandon Knight_PHO","Derrick Jones_PHO","Davon Reed_PHO"
210.125,0,0,0,0,-248.5625,0,0,0,0,0,0,0,0,130.6875,0,-184.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.375,0,0,0,0,0,53.8125,0,0,0,0,0,0,0,0,0,0,0,0,64.0625,0,33.3125,0,0,0,0,0,-94.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.5625,-48.6875,0,0,0,0,0,0,0,0,0,0,0
0,112.5,0,0,0,0,0,0,0,-245.625,0,-37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,50.625,0,0,0,-84.375,0,0,0,0,0,0,0,168.75,103.125,0,0,0,0,0,0,0,-41.25,0,0,0,0,0,0,58.125,0,0,0,0,159.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,288,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,-54,0,0,0,0,0,0,0,0,0,0,-81,0,0,51,0,0,0,-75,0,0,0,0,0,0,0,0,-48,0,0,0,-258,-45,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-15,0,0.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375,0,0,2.8125,0,0,0,0,0,0,0,0,0,0,4.21875,0,0,-2.65625,0,0,0,3.90625,0,0,0,0,0,0,0,0,2.5,0,0,0,13.4375,2.34375,-4.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-248.5625,0,0,0,0,294.03125,0,0,0,0,0,0,0,0,-154.59375,0,218.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1875,0,0,0,0,0,-63.65625,0,0,0,0,0,0,0,0,0,0,0,0,-75.78125,0,-39.40625,0,0,0,0,0,112.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.53125,57.59375,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,257.895833333333,0,0,0,0,0,0,0,0,228.291666666667,0,0,0,0,0,0,0,0,0,0,-233.427083333333,36.1458333333333,239.260416666667,0,-78.6979166666667,0,0,-184.958333333333,0,0,0,0,59.96875,-53.8958333333333,0,0,0,0,0,0,-88.4895833333333,0,0,0,0,0,0,0,0,0,0,15.9375,0,0,0,0,0,0,38.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,59.765625,0,0,0,0,-24.3177083333333,0,0,0,0,0,0,-48.8958333333333,0,92.4010416666667,0,0,-47.15625,0,0,0,0,0,0,28.8697916666667,0,0,0,-6.69270833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.6302083333333,0,0,0,0,0,-11.53125,28.8125,0,0,0,0,0,0,0,0,-12,0,0,0,0,20.3072916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,169,0,-72.5833333333333,0,0,-127.833333333333,0,0,0,0,-47.125,0,0,0,-40.625,0,0,26.5416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.125,0,0,-3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.75,0,0,132.708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-245.625,0,0,0,0,0,0,0,536.28125,0,81.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.5625,0,0,-110.53125,0,0,0,184.21875,0,0,0,0,0,0,0,-368.4375,-225.15625,0,0,0,0,0,0,0,90.0625,0,0,0,0,0,0,-126.90625,0,0,0,0,-347.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-72.5833333333333,0,153.354166666667,0,0,35.1875,0,0,0,0,-45.1770833333333,0,0,0,81.8854166666667,0,0,28.2395833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.59375,0,0,7.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3125,0,0,-117.322916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-37.5,0,0,0,0,0,0,0,81.875,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.75,0,0,-16.875,0,0,0,28.125,0,0,0,0,0,0,0,-56.25,-34.375,0,0,0,0,0,0,0,13.75,0,0,0,0,0,0,-19.375,0,0,0,0,-53.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-24.3177083333333,0,0,0,0,64.890625,0,0,0,0,0,0,82.25,0,-25.8697916666667,0,0,81.5104166666667,0,0,0,0,0,0,33.5572916666667,0,0,0,44.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54.0364583333333,0,0,0,0,0,-7.78125,17.6875,0,0,0,0,0,0,0,0,51.5416666666667,0,0,0,0,-50.109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-127.833333333333,0,35.1875,0,0,133.125,0,0,0,0,29.875,0,0,0,18.1666666666667,0,0,-96.0833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.8958333333333,0,0,-20.6458333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5833333333333,0,0,-120.458333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
