"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04"
"Russell Westbrook_OKC",NA,NA,69.75,NA,49.25,NA,NA
"Damian Lillard_POR",NA,NA,NA,35.75,NA,50.75,NA
"John Wall_WAS",NA,0,0,NA,0,NA,0
"Paul George_OKC",NA,NA,37.75,NA,62,NA,NA
"Bradley Beal_WAS",NA,21,31.5,NA,18,NA,13.25
"Rudy Gobert_UTA",NA,0,NA,0,0,NA,26
"Jusuf Nurkic_POR",NA,NA,NA,46.75,NA,14,NA
"Donovan Mitchell_UTA",NA,26.75,NA,36.5,53.5,NA,27.75
"CJ McCollum_POR",NA,NA,NA,31.5,NA,26.5,NA
"Otto Porter_WAS",NA,33.5,21,NA,38.25,NA,24
"Derrick Favors_UTA",NA,50.25,NA,35.5,43.75,NA,23.5
"Carmelo Anthony_OKC",NA,NA,30.75,NA,18,NA,NA
"Steven Adams_OKC",NA,NA,20,NA,38,NA,NA
"Rodney Hood_UTA",NA,0,NA,0,0,NA,0
"Ricky Rubio_UTA",NA,30,NA,31.25,16.75,NA,18.75
"Marcin Gortat_WAS",NA,19.25,12,NA,40.5,NA,20.25
"Kelly Oubre_WAS",NA,29.5,39.75,NA,19.75,NA,11.25
"Joe Ingles_UTA",NA,18,NA,24,32.25,NA,18.5
"Markieff Morris_WAS",NA,7,9.5,NA,41.25,NA,15.75
"Alec Burks_UTA",NA,22.5,NA,53.25,35.75,NA,41.25
"Al-Farouq Aminu_POR",NA,NA,NA,11.75,NA,13.25,NA
"Tomas Satoransky_WAS",NA,24.75,26.5,NA,31,NA,13.5
"Noah Vonleh_POR",NA,NA,NA,11,NA,17.75,NA
"Evan Turner_POR",NA,NA,NA,19.25,NA,8,NA
"Tim Frazier_WAS",NA,9.25,10.75,NA,24.75,NA,8
"Jonas Jerebko_UTA",NA,31.5,NA,21.5,20.5,NA,15.25
"Thabo Sefolosha_UTA",NA,11.25,NA,20.5,14,NA,14.75
"Jerami Grant_OKC",NA,NA,19.25,NA,20.75,NA,NA
"Shabazz Napier_POR",NA,NA,NA,10.25,NA,32.75,NA
"Pat Connaughton_POR",NA,NA,NA,7.25,NA,21,NA
"Joe Johnson_UTA",NA,0,NA,0,0,NA,0
"Andre Roberson_OKC",NA,NA,24.75,NA,19.5,NA,NA
"Jodie Meeks_WAS",NA,14,31,NA,7.75,NA,7.5
"Maurice Harkless_POR",NA,NA,NA,5.5,NA,0,NA
"Caleb Swanigan_POR",NA,NA,NA,0,NA,0,NA
"Jason Smith_WAS",NA,0,0,NA,0,NA,4.5
"Ian Mahinmi_WAS",NA,17.5,15.5,NA,14.25,NA,4.75
"Ed Davis_POR",NA,NA,NA,3.25,NA,11,NA
"Raymond Felton_OKC",NA,NA,12.5,NA,6.25,NA,NA
"Alex Abrines_OKC",NA,NA,0,NA,0,NA,NA
"Dakari Johnson_OKC",NA,NA,3.25,NA,0,NA,NA
"Meyers Leonard_POR",NA,NA,NA,5.75,NA,27,NA
"Raul Neto_UTA",NA,0,NA,0,0,NA,0
"Mike Scott_WAS",NA,25.25,2.75,NA,10.25,NA,4.75
"Patrick Patterson_OKC",NA,NA,0,NA,9.25,NA,NA
"CJ Wilcox_POR",NA,NA,NA,0,NA,0,NA
"Sheldon Mac_WAS",NA,0,0,NA,0,NA,0
"Jake Layman_POR",NA,NA,NA,0,NA,0,NA
"Mike Young_WAS",NA,0,0,NA,0,NA,0
"Devin Robinson_WAS",NA,0,0,NA,0,NA,0
"Wade Baldwin IV_POR",NA,NA,NA,0,NA,0,NA
"Chris McCullough_WAS",NA,0,12.5,NA,0,NA,9.25
"Zach Collins_POR",NA,NA,NA,0,NA,0,NA
"Nick Collison_OKC",NA,NA,0,NA,4.25,NA,NA
"Ekpe Udoh_UTA",NA,10,NA,12,12.5,NA,8
"Kyle Singler_OKC",NA,NA,0,NA,0,NA,NA
"Nate Wolters_UTA",NA,0,NA,0,0,NA,0
"Josh Huestis_OKC",NA,NA,0,NA,4.75,NA,NA
"Eric Griffin_UTA",NA,0,NA,0,0,NA,0
"Royce O'Neale_UTA",NA,14.75,NA,21.75,3.5,NA,33.75
"Dante Exum_UTA",NA,0,NA,0,0,NA,0
"Daniel Hamilton_OKC",NA,NA,0,NA,0,NA,NA
"PJ Dozier_OKC",NA,NA,0,NA,0,NA,NA
"Tony Bradley_UTA",NA,0,NA,0,0,NA,0
"Terrance Ferguson_OKC",NA,NA,0,NA,0,NA,NA
