"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",11000,"UTA@OKC 12/05/2017 08:00PM ET",52.636,"OKC"
"PG","Damian Lillard",9400,"WAS@POR 12/05/2017 10:00PM ET",44.283,"POR"
"PG","Kyle Lowry",8700,"PHO@TOR 12/05/2017 07:30PM ET",37.69,"TOR"
"PG","John Wall",8500,"WAS@POR 12/05/2017 10:00PM ET",42.313,"WAS"
"SG/SF","DeMar DeRozan",8500,"PHO@TOR 12/05/2017 07:30PM ET",37.893,"TOR"
"SF","Paul George",8400,"UTA@OKC 12/05/2017 08:00PM ET",39.773,"OKC"
"SG/SF","Devin Booker",8000,"PHO@TOR 12/05/2017 07:30PM ET",36.946,"PHO"
"SG","Bradley Beal",7600,"WAS@POR 12/05/2017 10:00PM ET",36.5,"WAS"
"C","Rudy Gobert",7300,"UTA@OKC 12/05/2017 08:00PM ET",35.042,"UTA"
"C","Jusuf Nurkic",7200,"WAS@POR 12/05/2017 10:00PM ET",30.576,"POR"
"PG/SG","Donovan Mitchell",7100,"UTA@OKC 12/05/2017 08:00PM ET",28.783,"UTA"
"PG/SG","C.J. McCollum",7000,"WAS@POR 12/05/2017 10:00PM ET",33.466,"POR"
"SF/PF","Otto Porter",6900,"WAS@POR 12/05/2017 10:00PM ET",32.548,"WAS"
"PF/C","Derrick Favors",6600,"UTA@OKC 12/05/2017 08:00PM ET",27.609,"UTA"
"SF/PF","Carmelo Anthony",6500,"UTA@OKC 12/05/2017 08:00PM ET",32.333,"OKC"
"SF/PF","T.J. Warren",6400,"PHO@TOR 12/05/2017 07:30PM ET",30.667,"PHO"
"C","Steven Adams",5900,"UTA@OKC 12/05/2017 08:00PM ET",29.237,"OKC"
"SG/SF","Rodney Hood",5700,"UTA@OKC 12/05/2017 08:00PM ET",25.986,"UTA"
"PG","Ricky Rubio",5400,"UTA@OKC 12/05/2017 08:00PM ET",27.534,"UTA"
"C","Marcin Gortat",5200,"WAS@POR 12/05/2017 10:00PM ET",25.943,"WAS"
"PF/C","Serge Ibaka",5000,"PHO@TOR 12/05/2017 07:30PM ET",23.184,"TOR"
