"Karl-Anthony Towns_MIN","LaMarcus Aldridge_SA","Blake Griffin_LAC","Kawhi Leonard_SA","Jimmy Butler_MIN","Hassan Whiteside_MIA","Lou Williams_LAC","DeAndre Jordan_LAC","Andrew Wiggins_MIN","Jeff Teague_MIN","Taj Gibson_MIN","Goran Dragic_MIA","Austin Rivers_LAC","Pau Gasol_SA","Dion Waiters_MIA","Danilo Gallinari_LAC","James Johnson_MIA","Rudy Gay_SA","Kyle Anderson_SA","Kelly Olynyk_MIA","Danny Green_SA","Josh Richardson_MIA","Wesley Johnson_LAC","Patty Mills_SA","Bam Adebayo_MIA","Tyler Johnson_MIA","Justise Winslow_MIA","Gorgui Dieng_MIN","Milos Teodosic_LAC","Montrezl Harrell_LAC","Tyus Jones_MIN","Manu Ginobili_SA","Tony Parker_SA","Wayne Ellington_MIA","Jamal Crawford_MIN","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Bryn Forbes_SA","Dejounte Murray_SA","Sam Dekker_LAC","Brandon Paul_SA","Jamil Wilson_LAC","Sindarius Thornwell_LAC","Aaron Brooks_MIN","Patrick Beverley_LAC","Cole Aldrich_MIN","CJ Williams_LAC","Willie Reed_LAC","Anthony Brown_MIN","Marcus Georges-Hunt_MIN","Brice Johnson_LAC","Jawun Evans_LAC","Justin Patton_MIN","Udonis Haslem_MIA","Rodney McGruder_MIA","Okaro White_MIA","Davis Bertans_SA","Darrun Hilliard_SA","AJ Hammons_MIA","Matt Williams_MIA","Matt Costello_SA","Joffrey Lauvergne_SA","Derrick Walton_MIA","Jordan Mickey_MIA","Derrick White_SA"
71.640625,0,0,0,32.1979166666667,0,0,0,-38.9270833333333,19.40625,-14.7291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98.7864583333333,0,0,-17.4895833333333,0,0,0,7.52083333333333,0,2.296875,0,0,0,0,0,0,-6.52083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,118.583333333333,0,0,0,0,0,0,0,0,0,0,0,-61.2083333333333,0,0,0,-58,102.125,0,-15.3125,0,0,0,0,0,0,0,0,0,0,-114.25,32.0625,0,0,0,0,-9.85416666666667,-3.45833333333333,0,-11.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.7083333333333,0,0,0,0,-20.9791666666667,0,0,0
0,0,841.6875,0,0,0,0,-265.90625,0,0,0,0,182.15625,0,0,0,0,0,0,0,0,0,-161.21875,0,0,0,0,0,0,-324.53125,0,0,0,0,0,0,0,0,0,171.6875,0,-173.78125,-31.40625,0,0,0,14.65625,-106.78125,0,0,-56.53125,-60.71875,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.1979166666667,0,0,0,67.0208333333333,0,0,0,-92.75,62.4166666666667,-20.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95.1145833333333,0,0,-105.5625,0,0,0,-21.7916666666667,0,0.78125,0,0,0,0,0,0,-26.8958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,420.083333333333,0,0,0,0,0,29.5833333333333,0,0,62.125,0,59.1666666666667,0,0,-202.645833333333,0,-93.1875,0,0,156.791666666667,-164.1875,-100.583333333333,0,0,0,0,0,0,-78.3958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4583333333333,-26.625,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-265.90625,0,0,0,0,105.395833333333,0,0,0,0,-96.28125,0,0,0,0,0,0,0,0,0,39.9479166666667,0,0,0,0,0,0,100.791666666667,0,0,0,0,0,0,0,0,0,-75.0520833333333,0,67.0416666666667,30.15625,0,0,0,-0.583333333333333,0.78125,0,0,33.46875,5.88541666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
-38.9270833333333,0,0,0,-92.75,0,0,0,148.770833333333,-30.6041666666667,-2.77083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.510416666667,0,0,101.645833333333,0,0,0,43.6666666666667,0,-2.03125,0,0,0,0,0,0,30.7916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.40625,0,0,0,62.4166666666667,0,0,0,-30.6041666666667,222.854166666667,-106.895833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.40625,0,0,-241.354166666667,0,0,0,9.83333333333333,0,-2.90625,0,0,0,0,0,0,-46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
