"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,946578687,"jesmith87",0,336.75,"SF Kevin Durant UTIL Jimmy Butler C Nikola Vucevic SG Jrue Holiday PG Rajon Rondo PF Zach Randolph F Andre Iguodala G Quinn Cook",NA,"DeMarcus Cousins","C","75.20%",81
2,947068964,"MoMoneyMoProblems1",0,336.25,"PF DeMarcus Cousins UTIL Nikola Vucevic SG Jrue Holiday PG Rajon Rondo C Zach Randolph G Jamal Murray F Dirk Nowitzki SF E'Twaun Moore",NA,"Jordan Bell","PF","64.11%",18.25
3,946946781,"Kermy",0,335,"C DeMarcus Cousins SF Kevin Durant SG Jrue Holiday PG Rajon Rondo PF Zach Randolph F Andre Iguodala G Cory Joseph UTIL Doug McDermott",NA,"Rajon Rondo","PG","61.94%",28.5
3,947354480,"chefazn",0,335,"C DeMarcus Cousins UTIL Andre Drummond G Jimmy Butler PF Zach Randolph SG Courtney Lee SF Rudy Gay F Jordan Bell PG Quinn Cook",NA,"Jrue Holiday","PG","61.66%",40.25
5,946548213,"vnperk",0,334.75,"PF DeMarcus Cousins SF Kevin Durant G Jimmy Butler C Zach Randolph UTIL Rudy Gay SG E'Twaun Moore F Jordan Bell PG Quinn Cook",NA,"Zach Randolph","UTIL","55.41%",48
6,946747630,"MarcusK80 (1/2)",0,334,"UTIL DeMarcus Cousins PF Kevin Durant SG Jrue Holiday G Rajon Rondo C Zach Randolph SF Andre Iguodala F Jordan Bell PG Quinn Cook",NA,"E'Twaun Moore","SG","48.99%",22.75
6,946751249,"MarcusK80 (2/2)",0,334,"UTIL DeMarcus Cousins PF Kevin Durant SG Jrue Holiday G Rajon Rondo C Zach Randolph SF Andre Iguodala F Jordan Bell PG Quinn Cook",NA,"Jimmy Butler","UTIL","45.08%",40.5
8,947355053,"jt22 (1/2)",0,332.75,"PF DeMarcus Cousins SF Kevin Durant C Karl-Anthony Towns G Jrue Holiday SG E'Twaun Moore F Jordan Bell UTIL Jakarr Sampson PG Quinn Cook",NA,"Kevin Durant","SF","44.26%",72.25
9,946675382,"rjeff88",0,332,"F DeMarcus Cousins SF Kevin Durant C Karl-Anthony Towns PF Zach Randolph G E'Twaun Moore UTIL Andre Iguodala SG Dillon Brooks PG Quinn Cook",NA,"Marcus Smart","SG","43.45%",7.25
10,946524511,"bpl21 (2/2)",0,331.75,"C DeMarcus Cousins SF Kevin Durant SG Jrue Holiday PG Rajon Rondo PF Zach Randolph UTIL Ersan Ilyasova F Jordan Bell G Quinn Cook",NA,"Rudy Gay","F","36.27%",35.25
10,946716435,"Pitnlala21",0,331.75,"C DeMarcus Cousins SF Kevin Durant SG Jrue Holiday PG Rajon Rondo PF Zach Randolph UTIL Ersan Ilyasova F Jordan Bell G Quinn Cook",NA,"Mason Plumlee","UTIL","25.01%",13.75
10,946748823,"kurtbranagan",0,331.75,"C DeMarcus Cousins SF Kevin Durant SG Jrue Holiday PG Rajon Rondo PF Zach Randolph UTIL Ersan Ilyasova F Jordan Bell G Quinn Cook",NA,"Quinn Cook","PG","21.37%",16.75
10,947258263,"METALFEETDOOM",0,331.75,"C DeMarcus Cousins SF Kevin Durant SG Jrue Holiday PG Rajon Rondo PF Zach Randolph UTIL Ersan Ilyasova F Jordan Bell G Quinn Cook",NA,"Elfrid Payton","G","16.91%",25.25
10,947396772,"LonzoBalls",0,331.75,"SF Kevin Durant UTIL Andre Drummond G Jimmy Butler SG Gary Harris C Zach Randolph F Rudy Gay PF Jordan Bell PG Quinn Cook",NA,"Gary Harris","SG","14.03%",38.75
