"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05"
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA
"LaMarcus Aldridge_SA",NA,NA,53,NA,32,NA,37.5,NA
"Blake Griffin_LAC",50.25,NA,NA,0,NA,0,NA,NA
"Kawhi Leonard_SA",NA,NA,0,NA,0,NA,0,NA
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA
"Hassan Whiteside_MIA",NA,35.5,0,NA,0,NA,NA,NA
"Lou Williams_LAC",0,NA,NA,0,NA,0,NA,NA
"DeAndre Jordan_LAC",19.75,NA,NA,31,NA,40.25,NA,NA
"Andrew Wiggins_MIN",NA,23.5,48,NA,33.75,NA,21.25,NA
"Jeff Teague_MIN",NA,0,0,NA,31.25,NA,15.25,NA
"Taj Gibson_MIN",NA,32.25,31,NA,16,NA,27.75,NA
"Goran Dragic_MIA",NA,17.5,13,NA,17,NA,NA,NA
"Austin Rivers_LAC",39,NA,NA,36.5,NA,19.75,NA,NA
"Pau Gasol_SA",NA,NA,19,NA,25.5,NA,38.5,NA
"Dion Waiters_MIA",NA,32.25,27.25,NA,26.75,NA,NA,NA
"Danilo Gallinari_LAC",0,NA,NA,0,NA,0,NA,NA
"James Johnson_MIA",NA,25.75,17.5,NA,24,NA,NA,NA
"Rudy Gay_SA",NA,NA,20.25,NA,27.25,NA,36.5,NA
"Kyle Anderson_SA",NA,NA,25.5,NA,12,NA,0,NA
"Kelly Olynyk_MIA",NA,8.75,28.75,NA,23,NA,NA,NA
"Danny Green_SA",NA,NA,17,NA,15.75,NA,29.5,NA
"Josh Richardson_MIA",NA,23,26.25,NA,35.5,NA,NA,NA
"Wesley Johnson_LAC",9.25,NA,NA,21.25,NA,16.5,NA,NA
"Patty Mills_SA",NA,NA,0,NA,0,NA,0,NA
"Bam Adebayo_MIA",NA,31.5,18.75,NA,17.75,NA,NA,NA
"Tyler Johnson_MIA",NA,6.25,24.25,NA,16,NA,NA,NA
"Justise Winslow_MIA",NA,12.5,16.75,NA,25.25,NA,NA,NA
"Gorgui Dieng_MIN",NA,10.25,41.5,NA,15.75,NA,23.25,NA
"Milos Teodosic_LAC",0,NA,NA,0,NA,0,NA,NA
"Montrezl Harrell_LAC",0,NA,NA,19.75,NA,19,NA,NA
"Tyus Jones_MIN",NA,30.5,38.5,NA,2.5,NA,8,NA
"Manu Ginobili_SA",NA,NA,10.25,NA,32.25,NA,20.5,NA
"Tony Parker_SA",NA,NA,19.5,NA,13.75,NA,15.5,NA
"Wayne Ellington_MIA",NA,11,8.75,NA,26.5,NA,NA,NA
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA,8.25,NA
"Nemanja Bjelica_MIN",NA,0,0,NA,0,NA,0,NA
"Shabazz Muhammad_MIN",NA,0.75,0,NA,0,NA,0,NA
"Bryn Forbes_SA",NA,NA,10.75,NA,16,NA,2.75,NA
"Dejounte Murray_SA",NA,NA,3,NA,3.5,NA,3.75,NA
"Sam Dekker_LAC",17.5,NA,NA,11.75,NA,2.75,NA,NA
"Brandon Paul_SA",NA,NA,0,NA,2,NA,1.5,NA
"Jamil Wilson_LAC",0,NA,NA,7.75,NA,13,NA,NA
"Sindarius Thornwell_LAC",6.75,NA,NA,4.25,NA,13,NA,NA
"Aaron Brooks_MIN",NA,4.25,7.75,NA,0,NA,0,NA
"Patrick Beverley_LAC",0,NA,NA,0,NA,0,NA,NA
"Cole Aldrich_MIN",NA,0,0,NA,0,NA,0,NA
"CJ Williams_LAC",11.75,NA,NA,10,NA,11.75,NA,NA
"Willie Reed_LAC",2.75,NA,NA,16.25,NA,2,NA,NA
"Anthony Brown_MIN",NA,0,0,NA,0,NA,0,NA
"Marcus Georges-Hunt_MIN",NA,0,0,NA,0,NA,0,NA
"Brice Johnson_LAC",0,NA,NA,0,NA,6.75,NA,NA
"Jawun Evans_LAC",8.5,NA,NA,15,NA,9.25,NA,NA
"Justin Patton_MIN",NA,0,0,NA,0,NA,0,NA
"Udonis Haslem_MIA",NA,0,0,NA,0,NA,NA,NA
"Rodney McGruder_MIA",NA,0,0,NA,0,NA,NA,NA
"Okaro White_MIA",NA,0,0,NA,0,NA,NA,NA
"Davis Bertans_SA",NA,NA,0,NA,1.5,NA,19.25,NA
"Darrun Hilliard_SA",NA,NA,0,NA,0,NA,0,NA
"AJ Hammons_MIA",NA,0,0,NA,0,NA,NA,NA
"Matt Williams_MIA",NA,0,0,NA,0,NA,NA,NA
"Matt Costello_SA",NA,NA,0,NA,0,NA,0,NA
"Joffrey Lauvergne_SA",NA,NA,0,NA,4.75,NA,0,NA
"Derrick Walton_MIA",NA,3.25,0,NA,0,NA,NA,NA
"Jordan Mickey_MIA",NA,0,4.5,NA,0,NA,NA,NA
"Derrick White_SA",NA,NA,0,NA,0,NA,0,NA
