"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05"
"LeBron James_CLE",NA,58,NA,59,NA,55.5,44.75,NA
"DeMarcus Cousins_NO",NA,NA,42.5,NA,49.25,50,58.75,NA
"Giannis Antetokounmpo_MIL",NA,57.25,NA,50.75,NA,65.25,55.25,NA
"Anthony Davis_NO",NA,NA,22.25,NA,39.5,0,0,NA
"Kevin Durant_GS",0,NA,47.75,NA,45.5,NA,38.25,NA
"Stephen Curry_GS",0,NA,43.75,NA,52.5,NA,58.75,NA
"Andre Drummond_DET",NA,NA,35.25,NA,55.75,49.75,41.25,NA
"Victor Oladipo_IND",NA,NA,43.75,NA,65.75,NA,33.75,NA
"Kyrie Irving_BOS",NA,NA,NA,47,NA,30,42,NA
"Kevin Love_CLE",NA,56.75,NA,49,NA,39.25,45.25,NA
"Nikola Jokic_DEN",NA,27,NA,19,NA,0,0,NA
"Dennis Schroder_ATL",NA,NA,NA,36.5,NA,38.75,31.25,NA
"Aaron Gordon_ORL",NA,NA,78.75,NA,46.25,NA,30,NA
"Kristaps Porzingis_NY",NA,NA,0,NA,NA,NA,0,NA
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA
"LaMarcus Aldridge_SA",NA,NA,53,NA,32,NA,37.5,NA
"Marc Gasol_MEM",NA,NA,27,NA,45.25,49.5,38.75,NA
"Blake Griffin_LAC",50.25,NA,NA,0,NA,0,NA,NA
"Draymond Green_GS",34,NA,50.25,NA,41.25,NA,53.25,NA
"Kemba Walker_CHA",NA,NA,0,NA,0,NA,50.5,NA
"Kawhi Leonard_SA",NA,NA,0,NA,0,NA,0,NA
"Tyreke Evans_MEM",NA,NA,32.75,NA,14.25,63.25,43.25,NA
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA
"Nikola Vucevic_ORL",NA,NA,34.25,NA,17.75,NA,34.5,NA
"Hassan Whiteside_MIA",NA,35.5,0,NA,0,NA,NA,NA
"Al Horford_BOS",NA,NA,NA,42.5,NA,40.75,44.75,NA
"Klay Thompson_GS",36.25,NA,28.75,NA,39.75,NA,31.25,NA
"Dwight Howard_CHA",NA,NA,42,NA,18.75,NA,24.25,NA
"Lou Williams_LAC",0,NA,NA,0,NA,0,NA,NA
"DeAndre Jordan_LAC",19.75,NA,NA,31,NA,40.25,NA,NA
"Will Barton_DEN",NA,14.5,NA,51.5,NA,34.5,46,NA
"Tim Hardaway_NY",NA,NA,0,NA,NA,NA,0,NA
"Andrew Wiggins_MIN",NA,23.5,48,NA,33.75,NA,21.25,NA
"Khris Middleton_MIL",NA,22,NA,43.75,NA,30.5,42.5,NA
"Jeff Teague_MIN",NA,0,0,NA,31.25,NA,15.25,NA
"Eric Bledsoe_MIL",NA,42.25,NA,37.75,NA,30.5,28.75,NA
"Jrue Holiday_NO",NA,NA,42.75,NA,24.5,33.75,50,NA
"Isaiah Thomas_CLE",NA,0,NA,0,NA,0,0,NA
"Elfrid Payton_ORL",NA,NA,43.25,NA,33.5,NA,27.5,NA
"Mike Conley_MEM",NA,NA,0,NA,0,0,0,NA
"Enes Kanter_NY",NA,NA,0,NA,NA,NA,0,NA
"Paul Millsap_DEN",NA,0,NA,0,NA,0,0,NA
"Harrison Barnes_DAL",NA,NA,39.5,NA,NA,23.5,40.5,NA
"Myles Turner_IND",NA,NA,36.5,NA,28.5,NA,22.25,NA
"Taj Gibson_MIN",NA,32.25,31,NA,16,NA,27.75,NA
"Tobias Harris_DET",NA,NA,31.25,NA,20,39.25,26.25,NA
"Goran Dragic_MIA",NA,17.5,13,NA,17,NA,NA,NA
"Kris Dunn_CHI",NA,48.5,NA,34.75,26,NA,31.5,NA
"Darren Collison_IND",NA,NA,21.5,NA,34.75,NA,41.5,NA
"Evan Fournier_ORL",NA,NA,23.75,NA,33.75,NA,25.75,NA
"Austin Rivers_LAC",39,NA,NA,36.5,NA,19.75,NA,NA
"Reggie Jackson_DET",NA,NA,34.75,NA,16.5,33.75,38,NA
"Gary Harris_DEN",NA,26.25,NA,39.25,NA,32,37.75,NA
"Thaddeus Young_IND",NA,NA,30.5,NA,26.75,NA,33,NA
"Jayson Tatum_BOS",NA,NA,NA,25.5,NA,33.5,26,NA
"Lauri Markkanen_CHI",NA,27,NA,33.25,22.75,NA,28.75,NA
"Justin Holiday_CHI",NA,49.25,NA,26.25,27.5,NA,31.5,NA
"Dwyane Wade_CLE",NA,32.75,NA,38.5,NA,29.5,35,NA
"Jaylen Brown_BOS",NA,NA,NA,8.75,NA,27,19.25,NA
"John Collins_ATL",NA,NA,NA,27.75,NA,0,0,NA
"Nicolas Batum_CHA",NA,NA,19.75,NA,25.75,NA,36.25,NA
"Pau Gasol_SA",NA,NA,19,NA,25.5,NA,38.5,NA
"Robin Lopez_CHI",NA,24.25,NA,29,28.25,NA,27.25,NA
"Dion Waiters_MIA",NA,32.25,27.25,NA,26.75,NA,NA,NA
"Jeremy Lamb_CHA",NA,NA,30.75,NA,24.5,NA,17.5,NA
"Danilo Gallinari_LAC",0,NA,NA,0,NA,0,NA,NA
"Rajon Rondo_NO",NA,NA,15.75,NA,40.5,38.5,38.75,NA
"James Johnson_MIA",NA,25.75,17.5,NA,24,NA,NA,NA
"Kent Bazemore_ATL",NA,NA,NA,23,NA,22,21.25,NA
"Taurean Prince_ATL",NA,NA,NA,20.5,NA,24,19,NA
"Dennis Smith_DAL",NA,NA,16,NA,NA,24.25,30.25,NA
"Zach Randolph_SAC",23,18.75,NA,NA,48.75,33.25,NA,NA
"JaMychal Green_MEM",NA,NA,23.5,NA,9.75,29.75,29.75,NA
"Marcus Smart_BOS",NA,NA,NA,19,NA,31.5,24,NA
"Denzel Valentine_CHI",NA,24.5,NA,23.75,17,NA,13.75,NA
"Domantas Sabonis_IND",NA,NA,14.25,NA,17,NA,29,NA
"Willie Cauley-Stein_SAC",43,23.5,NA,NA,28.75,5,NA,NA
"Dewayne Dedmon_ATL",NA,NA,NA,0,NA,0,0,NA
"Jonathon Simmons_ORL",NA,NA,8,NA,27.25,NA,24.5,NA
"Courtney Lee_NY",NA,NA,0,NA,NA,NA,0,NA
"Jabari Parker_MIL",NA,0,NA,0,NA,0,0,NA
"Kyle Anderson_SA",NA,NA,25.5,NA,12,NA,0,NA
"Rudy Gay_SA",NA,NA,20.25,NA,27.25,NA,36.5,NA
"Avery Bradley_DET",NA,NA,26,NA,25.5,10.5,9.25,NA
"Jamal Murray_DEN",NA,14.75,NA,10.5,NA,44.5,28,NA
"Kenneth Faried_DEN",NA,20,NA,32.75,NA,27.25,31.25,NA
"Nikola Mirotic_CHI",NA,0,NA,0,0,NA,0,NA
"Mario Chalmers_MEM",NA,NA,0,NA,10.5,11.5,10,NA
"Bojan Bogdanovic_IND",NA,NA,19.25,NA,15.25,NA,28,NA
"Ersan Ilyasova_ATL",NA,NA,NA,37.25,NA,24.25,15.5,NA
"Marcus Morris_BOS",NA,NA,NA,29.25,NA,27,15.5,NA
"Bobby Portis_CHI",NA,17.25,NA,15.5,0,NA,26.75,NA
"Zach LaVine_CHI",NA,0,NA,0,0,NA,0,NA
"Buddy Hield_SAC",6.75,17.5,NA,NA,1.5,36,NA,NA
"Malcolm Brogdon_MIL",NA,25.5,NA,16.75,NA,21.75,17.5,NA
"Mason Plumlee_DEN",NA,4,NA,19.75,NA,28,18.75,NA
"Kelly Olynyk_MIA",NA,8.75,28.75,NA,23,NA,NA,NA
"De'Aaron Fox_SAC",20,7.25,NA,NA,24.25,27.5,NA,NA
"John Henson_MIL",NA,22.25,NA,29.5,NA,24,6.75,NA
"Danny Green_SA",NA,NA,17,NA,15.75,NA,29.5,NA
"JJ Barea_DAL",NA,NA,0,NA,NA,0,0,NA
"Wilson Chandler_DEN",NA,0,NA,0,NA,0,16.75,NA
"Josh Richardson_MIA",NA,23,26.25,NA,35.5,NA,NA,NA
