"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11500,"LAC@HOU 12/22/2017 08:00PM ET",57.075,"HOU"
"PG","Russell Westbrook",11400,"ATL@OKC 12/22/2017 08:00PM ET",54.766,"OKC"
"SF/PF","Giannis Antetokounmpo",11300,"CHA@MIL 12/22/2017 08:00PM ET",56.036,"MIL"
"PG/SG","Chris Paul",9200,"LAC@HOU 12/22/2017 08:00PM ET",42.953,"HOU"
"C","DeAndre Jordan",7800,"LAC@HOU 12/22/2017 08:00PM ET",34.85,"LAC"
"C","Dwight Howard",7600,"CHA@MIL 12/22/2017 08:00PM ET",36.097,"CHA"
"PF/C","Blake Griffin",7400,"LAC@HOU 12/22/2017 08:00PM ET",43.763,"LAC"
"SG/SF","Khris Middleton",7400,"CHA@MIL 12/22/2017 08:00PM ET",36.422,"MIL"
"PG/SG","Lou Williams",7200,"LAC@HOU 12/22/2017 08:00PM ET",32.207,"LAC"
"SF","Paul George",7100,"ATL@OKC 12/22/2017 08:00PM ET",37.983,"OKC"
"C","Clint Capela",7100,"LAC@HOU 12/22/2017 08:00PM ET",35.134,"HOU"
"C","Hassan Whiteside",6900,"DAL@MIA 12/22/2017 08:00PM ET",36.95,"MIA"
"PG","Kemba Walker",6800,"CHA@MIL 12/22/2017 08:00PM ET",37.267,"CHA"
"PG/SG","Eric Bledsoe",6700,"CHA@MIL 12/22/2017 08:00PM ET",32.591,"MIL"
"PG","Dennis Schroder",6600,"ATL@OKC 12/22/2017 08:00PM ET",34.819,"ATL"
"C","Steven Adams",6500,"ATL@OKC 12/22/2017 08:00PM ET",29.894,"OKC"
"SF/PF","Harrison Barnes",6400,"DAL@MIA 12/22/2017 08:00PM ET",32.266,"DAL"
"SG/SF","Kent Bazemore",6100,"ATL@OKC 12/22/2017 08:00PM ET",28.637,"ATL"
"SF/PF","James Johnson",6100,"DAL@MIA 12/22/2017 08:00PM ET",26.455,"MIA"
"SG/SF","Josh Richardson",6100,"DAL@MIA 12/22/2017 08:00PM ET",22.548,"MIA"
"SG/SF","Dion Waiters",6000,"DAL@MIA 12/22/2017 08:00PM ET",25.448,"MIA"
"PG","Goran Dragic",5900,"DAL@MIA 12/22/2017 08:00PM ET",29.862,"MIA"
"SG","Eric Gordon",5900,"LAC@HOU 12/22/2017 08:00PM ET",27.375,"HOU"
"SG/SF","Taurean Prince",5800,"ATL@OKC 12/22/2017 08:00PM ET",26.653,"ATL"
"SF/PF","Carmelo Anthony",5600,"ATL@OKC 12/22/2017 08:00PM ET",30.783,"OKC"
"PF/C","Kelly Olynyk",5600,"DAL@MIA 12/22/2017 08:00PM ET",22.032,"MIA"
"SF/PF","Danilo Gallinari",5600,"LAC@HOU 12/22/2017 08:00PM ET",24.591,"LAC"
"PG/SG","Austin Rivers",5600,"LAC@HOU 12/22/2017 08:00PM ET",25.964,"LAC"
"SG/SF","Trevor Ariza",5500,"LAC@HOU 12/22/2017 08:00PM ET",25.313,"HOU"
"SG/SF","Nicolas Batum",5500,"CHA@MIL 12/22/2017 08:00PM ET",24.559,"CHA"
"PG/SG","Tyler Johnson",5400,"DAL@MIA 12/22/2017 08:00PM ET",21.362,"MIA"
"C","Dewayne Dedmon",5100,"ATL@OKC 12/22/2017 08:00PM ET",25.038,"ATL"
"PF/C","John Collins",5000,"ATL@OKC 12/22/2017 08:00PM ET",24.5,"ATL"
"PG/SG","J.J. Barea",5000,"DAL@MIA 12/22/2017 08:00PM ET",25.344,"DAL"
"PG/SG","Milos Teodosic",4900,"LAC@HOU 12/22/2017 08:00PM ET",21.214,"LAC"
"SG/SF","Jeremy Lamb",4900,"CHA@MIL 12/22/2017 08:00PM ET",27.033,"CHA"
"SF/PF","Jabari Parker",4900,"CHA@MIL 12/22/2017 08:00PM ET",0,"MIL"
"PG/SG","Yogi Ferrell",4800,"DAL@MIA 12/22/2017 08:00PM ET",19.539,"DAL"
"PG/SG","Dennis Smith Jr.",4800,"DAL@MIA 12/22/2017 08:00PM ET",27.042,"DAL"
"PG/SG","Malcolm Brogdon",4700,"CHA@MIL 12/22/2017 08:00PM ET",24.116,"MIL"
"SF/PF","Ersan Ilyasova",4600,"ATL@OKC 12/22/2017 08:00PM ET",20.175,"ATL"
"SG/SF","Wesley Matthews",4600,"DAL@MIA 12/22/2017 08:00PM ET",22.914,"DAL"
