"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,967047211,"SirFatherTy22",0,358.5,"SF Carmelo Anthony C Bam Adebayo SG Lou Williams PG James Harden G Austin Rivers PF Marvin Williams UTIL Eric Bledsoe F Jeremy Lamb",NA,"James Harden","PG","58.85%",73
2,966848367,"balls666 (1/3)",0,354.25,"UTIL Wayne Ellington SF Trevor Ariza SG Lou Williams PF Ryan Anderson PG James Harden C DeAndre Jordan G Austin Rivers F Marvin Williams",NA,"Eric Gordon","G","37.24%",38
3,966641961,"Braxtonnation",0,352.5,"PF Carmelo Anthony C Steven Adams F Wayne Ellington SG Lou Williams G Austin Rivers UTIL Kemba Walker PG Eric Bledsoe SF Khris Middleton",NA,"Carmelo Anthony","SF","34.06%",33.25
4,967054009,"wax13 (4/5)",0,347.5,"SF Wayne Ellington F Jordan Mickey G Lou Williams PG James Harden C DeAndre Jordan SG Eric Gordon UTIL Austin Rivers PF Marvin Williams",NA,"Kelly Olynyk","PF","31.98%",23.5
5,966958605,"BCBEARCATS1987 (18/20)",0,346.75,"SF Ersan Ilyasova PG Russell Westbrook C Dirk Nowitzki PF Harrison Barnes UTIL Austin Rivers F Marvin Williams G Kemba Walker SG Eric Bledsoe",NA,"Trevor Ariza","UTIL","29.63%",22
6,966672431,"WHFowlkes",0,346.5,"F Wesley Matthews G Yogi Ferrell PG Lou Williams PF Ryan Anderson SG James Harden C DeAndre Jordan UTIL Austin Rivers SF Marvin Williams",NA,"Khris Middleton","SG","26.56%",38.75
7,966965337,"CedaBlocc (2/2)",0,345.25,"SF Ersan Ilyasova C Steven Adams PF John Collins F Wayne Ellington G James Harden SG Eric Gordon PG Austin Rivers UTIL Kemba Walker",NA,"Giannis Antetokounmpo","PF","26.43%",44.75
8,966695183,"KdionAnthony",0,343.75,"PF Ersan Ilyasova SG Wayne Ellington SF Trevor Ariza G Lou Williams PG James Harden C DeAndre Jordan UTIL Austin Rivers F Frank Kaminsky",NA,"Paul George","SF","24.12%",32.75
9,966771156,"Tay1990Patten (2/3)",0,342,"UTIL Marco Belinelli PF Dirk Nowitzki F Wayne Ellington SF Trevor Ariza SG Lou Williams PG James Harden C DeAndre Jordan G Eric Gordon",NA,"P.J. Tucker","PF","23.25%",17.5
10,966703732,"JWALKER598",0,341.5,"PG Russell Westbrook SG Marco Belinelli PF Dirk Nowitzki SF Josh Richardson F P.J. Tucker C Ryan Anderson G James Harden UTIL Marvin Williams",NA,"Russell Westbrook","PG","22.50%",67.75
10,966787663,"UTSA2020 (1/2)",0,341.5,"F Carmelo Anthony UTIL Marco Belinelli SF Trevor Ariza PF Ryan Anderson PG James Harden C DeAndre Jordan SG Eric Gordon G Austin Rivers",NA,"John Collins","F","20.77%",32.25
12,966683176,"txkat",0,341,"G Marco Belinelli UTIL Dirk Nowitzki PF Ryan Anderson PG James Harden F Marvin Williams SG Eric Bledsoe C Frank Kaminsky SF Giannis Antetokounmpo",NA,"Jeremy Lamb","SF","20.37%",21
13,966972186,"yard_backroad",0,340.25,"UTIL Marco Belinelli SF Paul George C Dirk Nowitzki SG Lou Williams PG Austin Rivers G Eric Bledsoe F Frank Kaminsky PF Giannis Antetokounmpo",NA,"Steven Adams","C","18.86%",34.5
14,966841138,"BossinUpBush (12/12)",0,339.5,"PF Dirk Nowitzki SF Wayne Ellington SG Lou Williams PG James Harden C DeAndre Jordan G Eric Gordon UTIL Austin Rivers F Montrezl Harrell",NA,"Dennis Smith Jr.","SG","18.76%",19
15,966547300,"BossinUpBush (4/12)",0,338,"F Wayne Ellington PF Maxi Kleber SG Lou Williams PG James Harden C DeAndre Jordan G Eric Gordon UTIL Austin Rivers SF Marvin Williams",NA,"Tyler Johnson","G","18.54%",33.25
15,966711324,"eclasstinz (1/3)",0,338,"PG Russell Westbrook UTIL Marco Belinelli G Wayne Ellington PF Bam Adebayo F Ryan Anderson SG Eric Bledsoe C Frank Kaminsky SF Giannis Antetokounmpo",NA,"Eric Bledsoe","SG","17.72%",55.25
17,966703502,"Rocky1952",0,336.5,"SF Carmelo Anthony PF John Collins C Kelly Olynyk PG James Harden G Eric Gordon UTIL Austin Rivers SG Eric Bledsoe F Frank Kaminsky",NA,"Kemba Walker","PG","17.37%",47
17,966960436,"aquarius",0,336.5,"PG Russell Westbrook F Andre Roberson C John Collins PF Bam Adebayo UTIL Ryan Anderson SG James Harden G Austin Rivers SF Michael Kidd-Gilchrist",NA,"Nene Hilario","UTIL","17.22%",5.5
19,967069662,"jjax33 (2/5)",0,336,"PF Carmelo Anthony SG Marco Belinelli G Malcolm Delaney SF Paul George UTIL James Harden C DeAndre Jordan PG Kemba Walker F Frank Kaminsky",NA,"Dwight Howard","UTIL","17.20%",5.25
20,966683100,"cpmiller1950 (2/2)",0,334.5,"PF Carmelo Anthony C John Collins SF Trevor Ariza PG James Harden SG Eric Gordon UTIL Austin Rivers F Marvin Williams G Kemba Walker",NA,"Lou Williams","PG","17.09%",54
21,966642666,"Hamilton3650 (8/10)",0,334.25,"SF Paul George C John Collins PF Harrison Barnes F Josh Richardson G Lou Williams UTIL Eric Gordon SG Austin Rivers PG Eric Bledsoe",NA,"Austin Rivers","PG","16.88%",54
21,966807437,"lordmu34",0,334.25,"F Carmelo Anthony PF John Collins C Bam Adebayo SG James Harden G Eric Gordon PG Austin Rivers SF Khris Middleton UTIL Malcolm Brogdon",NA,"Josh Richardson","UTIL","16.65%",42.5
23,966857534,"bigcexpendable26",0,332.5,"PF Ersan Ilyasova G Marco Belinelli SF Paul George UTIL Steven Adams SG Lou Williams C DeAndre Jordan PG Austin Rivers F Khris Middleton",NA,"Harrison Barnes","SF","14.84%",25.5
23,967079446,"JackScharf (12/18)",0,332.5,"PG Russell Westbrook SF Wayne Ellington PF Bam Adebayo G Lou Williams C John Henson SG Eric Bledsoe F Khris Middleton UTIL Malcolm Brogdon",NA,"Ryan Anderson","C","14.55%",33.5
25,967043897,"jdog143",0,332,"SF Paul George C Steven Adams PF Harrison Barnes SG Josh Richardson PG Lou Williams F Ryan Anderson G Austin Rivers UTIL Eric Bledsoe",NA,"DeAndre Jordan","C","14.40%",47
26,966488387,"Gvanyperen (2/4)",0,331.5,"F Carmelo Anthony PG Russell Westbrook G Marco Belinelli SF Paul George PF John Collins C Dirk Nowitzki UTIL Eric Gordon SG Eric Bledsoe",NA,"Jordan Mickey","PF","13.48%",10.75
26,966650431,"alldream34 (3/6)",0,331.5,"PF Ersan Ilyasova PG Russell Westbrook UTIL Marco Belinelli G Tyler Johnson SG James Harden F Marvin Williams SF Nicolas Batum C Frank Kaminsky",NA,"John Henson","C","12.91%",16
28,966821581,"seasidehustle",0,331.25,"PF Carmelo Anthony UTIL Marco Belinelli F Andre Roberson C DeAndre Jordan G Eric Gordon PG Austin Rivers SG Eric Bledsoe SF Giannis Antetokounmpo",NA,"Kent Bazemore","SG","11.92%",27.75
29,966768686,"4dachicken (1/3)",0,330.5,"F Carmelo Anthony PF Harrison Barnes SF Josh Richardson SG Lou Williams C DeAndre Jordan G Eric Gordon UTIL Marvin Williams PG Eric Bledsoe",NA,"Dirk Nowitzki","C","10.74%",31.5
29,966941299,"Soulflyfree8 (12/20)",0,330.5,"SF Carmelo Anthony F Paul George C Kelly Olynyk PF Ryan Anderson SG James Harden G Austin Rivers PG Jawun Evans UTIL Eric Bledsoe",NA,"Frank Kaminsky","PF","10.43%",27.25
31,966632696,"Groundhog2265",0,330,"PF Carmelo Anthony C Steven Adams SF Harrison Barnes F Josh Richardson SG Eric Gordon PG Austin Rivers G Kemba Walker UTIL Eric Bledsoe",NA,"Wayne Ellington","F","10.30%",35.75
32,966761323,"cusenation0215",0,329.75,"F Wayne Ellington PF Kelly Olynyk SF Josh Richardson UTIL James Harden SG Eric Gordon G Austin Rivers PG Kemba Walker C John Henson",NA,"Ersan Ilyasova","UTIL","10.09%",30.75
33,966681131,"jr0bins0n (2/2)",0,329.5,"PF Carmelo Anthony SF Wesley Matthews F Kelly Olynyk PG Lou Williams C DeAndre Jordan UTIL Austin Rivers G Kemba Walker SG Eric Bledsoe",NA,"Montrezl Harrell","PF","8.85%",6.25
34,966520317,"feet69",0,329.25,"UTIL Steven Adams F John Collins PF Dirk Nowitzki G Tyler Johnson PG James Harden C DeAndre Jordan SG Austin Rivers SF Sam Dekker",NA,"Wesley Matthews","F","8.33%",15.5
34,966738254,"thampton45",0,329.25,"PG Russell Westbrook G Marco Belinelli SF Wayne Ellington C Nene Hilario PF P.J. Tucker UTIL Lou Williams SG James Harden F Marvin Williams",NA,"Marco Belinelli","G","8.28%",40.75
36,966763178,"tertullian007 (5/12)",0,329,"C Steven Adams PF Dirk Nowitzki SF Harrison Barnes SG Josh Richardson PG Austin Rivers UTIL Kemba Walker G Eric Bledsoe F Khris Middleton",NA,"Nicolas Batum","F","8.18%",23.75
36,966940030,"Geeographist",0,329,"F John Collins PF Dwight Powell SF Josh Richardson G Lou Williams PG James Harden SG Eric Gordon C John Henson UTIL Eric Bledsoe",NA,"Jamil Wilson","F","7.80%",6
36,966949973,"sonofalion (2/2)",0,329,"SF Paul George PF John Collins F Josh Richardson SG Lou Williams C DeAndre Jordan G Eric Gordon PG Eric Bledsoe UTIL Frank Kaminsky",NA,"Andre Roberson","G","7.76%",18.25
39,966604170,"MillionDollarPoker (14/20)",0,328.75,"SF Carmelo Anthony F Ersan Ilyasova PG Russell Westbrook G Marco Belinelli C Salah Mejri PF Bam Adebayo SG James Harden UTIL Eric Gordon",NA,"Bam Adebayo","F","7.51%",33
39,966892356,"Billdo347",0,328.75,"PF Harrison Barnes F Trevor Ariza G Lou Williams PG James Harden SG Eric Gordon UTIL Austin Rivers SF Marvin Williams C Frank Kaminsky",NA,"J.J. Barea","SG","7.44%",24.75
41,966625444,"TTK59 (4/10)",0,328.5,"UTIL Carmelo Anthony C Steven Adams SF Taurean Prince F Bam Adebayo SG James Harden PG Austin Rivers G Eric Bledsoe PF Frank Kaminsky",NA,"Taurean Prince","F","7.19%",18.25
41,966642353,"mojo20205 (4/10)",0,328.5,"SF Carmelo Anthony PG Russell Westbrook PF Bam Adebayo F Ryan Anderson C DeAndre Jordan UTIL Marvin Williams SG Nicolas Batum G Eric Bledsoe",NA,"Marvin Williams","UTIL","7.00%",35
41,966747397,"cjibar",0,328.5,"SF Carmelo Anthony F Ersan Ilyasova C Steven Adams UTIL Wesley Matthews G Lou Williams PF Ryan Anderson PG James Harden SG Austin Rivers",NA,"Malcolm Brogdon","G","6.83%",32
44,966565509,"solid72768 (5/15)",0,328,"UTIL Dwight Powell F Josh Richardson SF Trevor Ariza PF Ryan Anderson PG James Harden C DeAndre Jordan SG Eric Gordon G Austin Rivers",NA,"Dion Waiters","SF","6.50%",9.75
44,966567757,"Dallas0827 (3/5)",0,328,"G Marco Belinelli SF Wayne Ellington PF P.J. Tucker F Trevor Ariza PG Lou Williams UTIL James Harden C DeAndre Jordan SG Eric Gordon",NA,"Jerami Grant","SF","3.41%",9.5
