"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,966432233,"BlackWaterBrothers (4/10)",0,330,"F Kevin Durant UTIL Julius Randle SF Kyle Kuzma PG Lonzo Ball PF Wilson Chandler C Mason Plumlee G Shabazz Napier SG Gary Harris",NA,"Kevin Durant","SF","59.97%",65.25
2,966559809,"Genghis_Khan1 (16/20)",0,326.75,"SF Kevin Durant UTIL Jordan Bell F Julius Randle PF Kyle Kuzma SG CJ McCollum PG Shabazz Napier G Pat Connaughton C Nikola Jokic",NA,"Kyle Kuzma","SF","59.29%",53.5
3,966812778,"King_Koopa (1/10)",0,325,"F Kevin Durant UTIL Jordan Bell PF Julius Randle SF Wilson Chandler G Will Barton PG Shabazz Napier SG Gary Harris C Nikola Jokic",NA,"CJ McCollum","PG","58.96%",22.75
4,967029868,"ssbritt",0,324.75,"UTIL Kevin Durant SG Kentavious Caldwell-Pope C Jordan Bell PF Kyle Kuzma G Lonzo Ball SF Wilson Chandler F Will Barton PG Shabazz Napier",NA,"Brandon Ingram","SG","43.66%",21.25
5,966731094,"rayray12345 (11/20)",0,320.25,"SF Kevin Durant PF Draymond Green F Jordan Bell UTIL Julius Randle PG Shabazz Napier G Pat Connaughton SG Gary Harris C Nikola Jokic",NA,"Shabazz Napier","G","43.11%",33
5,966755473,"Coljack (1/2)",0,320.25,"SG Klay Thompson PF Draymond Green C Julius Randle SF Kyle Kuzma PG Lonzo Ball F Wilson Chandler G Shabazz Napier UTIL Nikola Jokic",NA,"Klay Thompson","SG","43.10%",24.75
5,967047268,"Dmaggs20166",0,320.25,"SF Kevin Durant SG Klay Thompson C Jordan Bell PF Kyle Kuzma PG Lonzo Ball UTIL Wilson Chandler G Shabazz Napier F Trey Lyles",NA,"Draymond Green","C","42.28%",40.25
8,967339545,"jwright70 (1/2)",0,319.5,"SF Kevin Durant F Omri Casspi C Jordan Bell PF Kyle Kuzma G Lonzo Ball SG Evan Turner PG Shabazz Napier UTIL Nikola Jokic",NA,"Lonzo Ball","PG","41.37%",39.75
8,967386422,"gtkennedy67 (4/4)",0,319.5,"SF Kevin Durant SG Klay Thompson PF Jordan Bell F Kyle Kuzma UTIL Wilson Chandler G Evan Turner PG Shabazz Napier C Nikola Jokic",NA,"Nikola Jokic","C","39.72%",50.25
10,966900374,"djacksosfg",0,317.5,"PF Kevin Durant G Kentavious Caldwell-Pope UTIL Jordan Bell SF Kyle Kuzma F Mason Plumlee PG Shabazz Napier C Nikola Jokic SG Jamal Murray",NA,"Al-Farouq Aminu","F","35.64%",16.5
11,967168901,"harlan53 (1/4)",0,317.25,"G Nick Young SF Kevin Durant C Draymond Green PF Jordan Bell PG Lonzo Ball F Wilson Chandler SG Shabazz Napier UTIL Nikola Jokic",NA,"Jamal Murray","PG","33.80%",14.5
12,966690280,"BizzleB (2/6)",0,316.5,"F Kevin Durant C Jordan Bell PF Julius Randle SF Kyle Kuzma PG Lonzo Ball UTIL Wilson Chandler G Evan Turner SG CJ McCollum",NA,"Evan Turner","SG","33.77%",14.5
12,966690302,"BizzleB (3/6)",0,316.5,"F Kevin Durant C Jordan Bell PF Julius Randle SF Kyle Kuzma PG Lonzo Ball UTIL Wilson Chandler G Evan Turner SG CJ McCollum",NA,"Jusuf Nurkic","C","29.39%",9.25
