"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19","2017-12-20"
"Kevin Durant_GS",0,NA,47.75,NA,45.5,NA,38.25,NA,72.25,NA,NA,65.25,NA,NA,38
"Stephen Curry_GS",0,NA,43.75,NA,52.5,NA,58.75,NA,0,NA,NA,0,NA,NA,0
"Damian Lillard_POR",NA,NA,NA,35.75,NA,50.75,NA,53,NA,NA,30.75,NA,45.75,NA,30.5
"Draymond Green_GS",34,NA,50.25,NA,41.25,NA,53.25,NA,0,NA,NA,0,NA,NA,0
"Nikola Jokic_DEN",NA,27,NA,19,NA,0,0,NA,0,0,0,NA,NA,NA,35.5
"Klay Thompson_GS",36.25,NA,28.75,NA,39.75,NA,31.25,NA,32,NA,NA,31.75,NA,NA,43
"Lonzo Ball_LAL",20.75,NA,36.5,NA,NA,29.75,NA,NA,NA,43,NA,43.5,NA,NA,37.75
"CJ McCollum_POR",NA,NA,NA,31.5,NA,26.5,NA,28,NA,NA,41.25,NA,33,NA,30.25
"Brandon Ingram_LAL",24.75,NA,50.25,NA,NA,24.5,NA,NA,NA,22.75,NA,45,NA,NA,33
"Paul Millsap_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,0
"Jusuf Nurkic_POR",NA,NA,NA,46.75,NA,14,NA,34.25,NA,NA,0,NA,21.25,NA,23.5
"Kyle Kuzma_LAL",22,NA,0,NA,NA,29,NA,NA,NA,33.5,NA,28.75,NA,NA,58.25
"Gary Harris_DEN",NA,26.25,NA,39.25,NA,32,37.75,NA,38.75,36.5,53.25,NA,NA,NA,0
"Will Barton_DEN",NA,14.5,NA,51.5,NA,34.5,46,NA,28.25,30,0,NA,NA,NA,24.25
"Kentavious Caldwell-Pope_LAL",46,NA,31.75,NA,NA,13,NA,NA,NA,41,NA,0,NA,NA,0
"Jamal Murray_DEN",NA,14.75,NA,10.5,NA,44.5,28,NA,27.75,40.5,53.5,NA,NA,NA,45
"Julius Randle_LAL",16.75,NA,29.5,NA,NA,26.5,NA,NA,NA,21.5,NA,23.5,NA,NA,6.25
"Larry Nance_LAL",29,NA,22.5,NA,NA,10.5,NA,NA,NA,17.75,NA,29.5,NA,NA,32.25
"Jordan Clarkson_LAL",34,NA,41,NA,NA,21.75,NA,NA,NA,24,NA,17.75,NA,NA,9.75
"Omri Casspi_GS",16,NA,0,NA,19.5,NA,4.25,NA,13.25,NA,NA,39.75,NA,NA,22
"Al-Farouq Aminu_POR",NA,NA,NA,11.75,NA,13.25,NA,27,NA,NA,34.25,NA,9.25,NA,29.5
"Trey Lyles_DEN",NA,10,NA,22,NA,24.75,22,NA,35.25,26,21.5,NA,NA,NA,18.25
"Wilson Chandler_DEN",NA,0,NA,0,NA,0,16.75,NA,16.5,25,26.75,NA,NA,NA,28.5
"Brook Lopez_LAL",11.75,NA,11.75,NA,NA,27.75,NA,NA,NA,24.5,NA,13.75,NA,NA,0
"Jordan Bell_GS",12.25,NA,15.5,NA,29,NA,6.25,NA,18.25,NA,NA,30.5,NA,NA,18
"Mason Plumlee_DEN",NA,4,NA,19.75,NA,28,18.75,NA,13.75,32.25,28.5,NA,NA,NA,40.5
"Shabazz Napier_POR",NA,NA,NA,10.25,NA,32.75,NA,3,NA,NA,17.75,NA,13,NA,20.25
"Andre Iguodala_GS",19.25,NA,16,NA,0,NA,24,NA,29,NA,NA,20.75,NA,NA,0
"Josh Hart_LAL",10.75,NA,9.25,NA,NA,23.25,NA,NA,NA,3.75,NA,32,NA,NA,27.5
"Evan Turner_POR",NA,NA,NA,19.25,NA,8,NA,5.75,NA,NA,15.5,NA,19.25,NA,18.25
"Ed Davis_POR",NA,NA,NA,3.25,NA,11,NA,1.25,NA,NA,18.25,NA,16.75,NA,23.75
"Emmanuel Mudiay_DEN",NA,15.75,NA,18,NA,17.75,12,NA,26.5,4.5,9.25,NA,NA,NA,0
"Patrick McCaw_GS",40.25,NA,0,NA,18.25,NA,7,NA,0,NA,NA,7.5,NA,NA,24.5
"Torrey Craig_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,20
"Shaun Livingston_GS",14.75,NA,7.25,NA,5,NA,0,NA,7.25,NA,NA,9.75,NA,NA,0
"Corey Brewer_LAL",13.5,NA,3.5,NA,NA,0,NA,NA,NA,0.75,NA,7.5,NA,NA,35.75
"Kenneth Faried_DEN",NA,20,NA,32.75,NA,27.25,31.25,NA,16.25,0,22.5,NA,NA,NA,0
"David West_GS",22.25,NA,0,NA,14.75,NA,21,NA,20.25,NA,NA,22.75,NA,NA,19.5
"Kevon Looney_GS",1,NA,11,NA,2,NA,1.25,NA,5.5,NA,NA,2.25,NA,NA,9.75
"Maurice Harkless_POR",NA,NA,NA,5.5,NA,0,NA,8.5,NA,NA,6.25,NA,0,NA,0
"Zach Collins_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,14.25,NA,15.5,NA,6.5
"Zaza Pachulia_GS",13.75,NA,23,NA,23.5,NA,0,NA,3.25,NA,NA,0,NA,NA,0
"Nick Young_GS",8.75,NA,11.5,NA,3.5,NA,8.25,NA,14.25,NA,NA,0,NA,NA,18.5
"Pat Connaughton_POR",NA,NA,NA,7.25,NA,21,NA,7.75,NA,NA,4.25,NA,8,NA,5.25
"Juancho Hernangomez_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,0
"JaVale McGee_GS",10,NA,0,NA,0,NA,15,NA,9.25,NA,NA,2,NA,NA,13
"Ivica Zubac_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0
"Meyers Leonard_POR",NA,NA,NA,5.75,NA,27,NA,3.25,NA,NA,0,NA,0,NA,4.75
"Noah Vonleh_POR",NA,NA,NA,11,NA,17.75,NA,9.5,NA,NA,0.75,NA,5.5,NA,0
"Malik Beasley_DEN",NA,8.5,NA,0,NA,0,7.25,NA,14.75,12.5,11.25,NA,NA,NA,4.5
"Caleb Swanigan_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0
"Quinn Cook_GS",0,NA,0,NA,0,NA,0,NA,16.75,NA,NA,6,NA,NA,13
"Luol Deng_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0
"Andrew Bogut_LAL",0,NA,6,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,6.75
"Vander Blue_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0
"Alex Caruso_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0
"Damian Jones_GS",0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0
"Tyler Ennis_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0
"Thomas Bryant_LAL",0,NA,0,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,0
"Chris Boucher_GS",0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0
"Richard Jefferson_DEN",NA,0,NA,5,NA,7.75,0,NA,0,0,0,NA,NA,NA,0
"Darrell Arthur_DEN",NA,0,NA,0,NA,0,0,NA,0,7.5,0,NA,NA,NA,0
"CJ Wilcox_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0
"Jake Layman_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0
"Monte Morris_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,0
"Wade Baldwin IV_POR",NA,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0
"Tyler Lydon_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,0
