"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,966794204,"GeneralAladeen (2/11)",0,362.5,"SG James Harden PF Kyle Kuzma F Josh Richardson SF Rondae Hollis-Jefferson G Austin Rivers C Julius Randle UTIL Mike Scott PG Shabazz Napier",NA,"James Harden","PG","49.63%",73
2,966832435,"kevinjrjames (5/12)",0,345.25,"SG Jrue Holiday PG Lou Williams G Eric Bledsoe C Enes Kanter SF Rondae Hollis-Jefferson F Tobias Harris PF Carmelo Anthony UTIL J.J. Barea",NA,"Shabazz Napier","SG","41.57%",33
3,967181382,"magpies15",0,340.75,"SF Paul George PG Kemba Walker G Eric Bledsoe C Steven Adams F Enes Kanter UTIL Rondae Hollis-Jefferson SG Eric Gordon PF DeMarre Carroll",NA,"CJ McCollum","SG","30.67%",22.75
4,966973945,"GeneralAladeen (8/11)",0,339.75,"SG James Harden SF Brandon Ingram F Josh Richardson PF Rondae Hollis-Jefferson G Austin Rivers C Julius Randle PG Shabazz Napier UTIL Frank Kaminsky",NA,"Eric Gordon","SG","26.11%",38
5,966517089,"shooberto (1/4)",0,338.5,"PG Russell Westbrook G Lou Williams C Steven Adams SF Kyle Kuzma PF Enes Kanter UTIL DeMarre Carroll SG Shabazz Napier F Marreese Speights",NA,"Kyle Kuzma","F","25.83%",53.5
5,967178091,"camchapodinero",0,338.5,"PG James Harden SF Kyle Kuzma PF Enes Kanter G Eric Gordon SG Austin Rivers F Michael Beasley UTIL Dennis Smith Jr. C Ryan Anderson",NA,"Evan Turner","UTIL","23.80%",14.5
7,966702156,"jrakestr (6/20)",0,338.25,"G James Harden PF Kyle Kuzma C Enes Kanter SG Eric Gordon PG Austin Rivers SF Carmelo Anthony F Al-Farouq Aminu UTIL Evan Turner",NA,"Marreese Speights","F","21.03%",8.75
8,966488458,"papawii (2/3)",0,338,"PG James Harden SG Lou Williams SF Kyle Kuzma C Enes Kanter UTIL Jeremy Lamb PF DeMarre Carroll G Malcolm Brogdon F P.J. Tucker",NA,"P.J. Tucker","SF","18.79%",17.5
8,966510772,"mvemjs (1/3)",0,338,"SF Giannis Antetokounmpo PG Eric Bledsoe C Enes Kanter PF Rondae Hollis-Jefferson UTIL Will Barton SG Austin Rivers G Yogi Ferrell F David West",NA,"Trevor Ariza","F","18.19%",22
8,966519636,"mvemjs (2/3)",0,338,"SF Giannis Antetokounmpo PG Eric Bledsoe C Enes Kanter PF Rondae Hollis-Jefferson UTIL Will Barton SG Austin Rivers G Yogi Ferrell F David West",NA,"Nene Hilario","C","18.16%",5.5
8,966519671,"mvemjs (3/3)",0,338,"SF Giannis Antetokounmpo PG Eric Bledsoe C Enes Kanter PF Rondae Hollis-Jefferson UTIL Will Barton SG Austin Rivers G Yogi Ferrell F David West",NA,"Kelly Olynyk","F","16.47%",23.5
12,966973966,"GeneralAladeen (9/11)",0,334.75,"SG James Harden C DeAndre Jordan UTIL Lonzo Ball PF Rondae Hollis-Jefferson G Austin Rivers PG Shabazz Napier F Frank Kaminsky SF Evan Turner",NA,"Al-Farouq Aminu","PF","15.18%",16.5
13,966563729,"fatty2142 (2/7)",0,334,"PG James Harden C Nikola Jokic SF Kyle Kuzma F Rondae Hollis-Jefferson G Eric Gordon UTIL Elfrid Payton SG Shabazz Napier PF Marreese Speights",NA,"Anthony Davis","PF","14.34%",39.25
13,966894287,"nelly754 (3/5)",0,334,"G Russell Westbrook PF Kyle Kuzma UTIL Enes Kanter SF Josh Richardson SG Kent Bazemore F Michael Beasley C Jordan Bell PG Shabazz Napier",NA,"Nikola Jokic","C","13.88%",50.25
15,967113979,"Moruyd78",0,333.75,"PG James Harden G CJ McCollum SF Kyle Kuzma C Enes Kanter SG Eric Gordon PF Markieff Morris F Jordan Bell UTIL Shabazz Napier",NA,"Carmelo Anthony","SF","13.77%",33.25
16,966980976,"ryanader86 (17/20)",0,333.5,"PG Russell Westbrook SF Brandon Ingram F Kyle Kuzma G Elfrid Payton SG Austin Rivers C Julius Randle PF Mason Plumlee UTIL Shabazz Napier",NA,"Michael Beasley","F","13.77%",12
17,966843123,"bluester111 (14/20)",0,332.25,"PG James Harden SF Jonathon Simmons PF Kyle Kuzma SG Josh Richardson UTIL Tyler Johnson C Julius Randle F P.J. Tucker G Shabazz Napier",NA,"John Wall","PG","13.28%",19
18,966806397,"satman77",0,330.75,"PG James Harden UTIL Rondae Hollis-Jefferson G Eric Gordon SG Austin Rivers SF Carmelo Anthony F Julius Randle C Marcin Gortat PF DeMarre Carroll",NA,"Elfrid Payton","PG","12.62%",31.25
18,967202874,"Jw4778 (3/4)",0,330.75,"PG James Harden SG Klay Thompson SF Kyle Kuzma UTIL Kentavious Caldwell-Pope G Austin Rivers PF Omri Casspi C Ryan Anderson F Jordan Bell",NA,"Paul George","SF","12.58%",32.75
18,967202896,"Jw4778 (4/4)",0,330.75,"PG James Harden SG Klay Thompson SF Kyle Kuzma UTIL Kentavious Caldwell-Pope G Austin Rivers PF Omri Casspi C Ryan Anderson F Jordan Bell",NA,"Bradley Beal","SG","12.20%",15.5
21,967099314,"jperuski",0,330,"SF Kevin Durant SG Lou Williams PF Kyle Kuzma PG Elfrid Payton G Austin Rivers F Jeremy Lamb UTIL P.J. Tucker C Ryan Anderson",NA,"Brandon Ingram","SG","11.92%",21.25
22,967059188,"aliskillz (2/4)",0,328.25,"PG James Harden SG Spencer Dinwiddie PF Kyle Kuzma G Josh Richardson SF Rondae Hollis-Jefferson C John Collins F Mike Scott UTIL Marvin Williams",NA,"Draymond Green","C","10.80%",40.25
22,967059349,"aliskillz (3/4)",0,328.25,"PG James Harden SG Spencer Dinwiddie PF Kyle Kuzma G Josh Richardson SF Rondae Hollis-Jefferson C John Collins F Mike Scott UTIL Marvin Williams",NA,"Kevin Durant","F","10.69%",65.25
22,967059520,"aliskillz (4/4)",0,328.25,"PG James Harden SG Spencer Dinwiddie PF Kyle Kuzma G Josh Richardson SF Rondae Hollis-Jefferson C John Collins F Mike Scott UTIL Marvin Williams",NA,"Jrue Holiday","SG","10.30%",38
25,966981160,"GeneralAladeen (11/11)",0,326,"SG James Harden SF Brandon Ingram F Josh Richardson PF Rondae Hollis-Jefferson UTIL Kentavious Caldwell-Pope G Austin Rivers PG Shabazz Napier C Frank Kaminsky",NA,"Jordan Mickey","C","10.06%",10.75
26,966993767,"stepponcurrie74 (3/3)",0,325.5,"PG James Harden PF Draymond Green SG Lou Williams SF Kyle Kuzma G Trevor Ariza C Ryan Anderson F Frank Kaminsky UTIL Ish Smith",NA,"Giannis Antetokounmpo","SF","9.46%",44.75
