"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,967002824,"BlackWaterBrothers (3/3)",0,330,"F Kevin Durant UTIL Julius Randle SF Kyle Kuzma PG Lonzo Ball PF Wilson Chandler C Mason Plumlee G Shabazz Napier SG Gary Harris",NA,"Kyle Kuzma","SF","60.28%",53.5
2,966700127,"migvaq",0,321.25,"F Kevin Durant C Jordan Bell SF Kyle Kuzma SG Brandon Ingram PG Lonzo Ball UTIL Wilson Chandler PF Mason Plumlee G Shabazz Napier",NA,"CJ McCollum","SG","59.58%",22.75
3,966629451,"BHAYWOOD08",0,321,"G Nick Young F Kevin Durant PF Draymond Green C Julius Randle SF Kyle Kuzma PG Lonzo Ball UTIL Wilson Chandler SG Shabazz Napier",NA,"Kevin Durant","SF","59.19%",65.25
4,967183042,"JimmyTheFixer (5/12)",0,320.75,"PF Kevin Durant G Kentavious Caldwell-Pope C Jordan Bell UTIL Julius Randle SF Kyle Kuzma F Will Barton PG Shabazz Napier SG Gary Harris",NA,"Shabazz Napier","G","45.82%",33
5,966600977,"ranchhand76",0,320.25,"SF Kevin Durant UTIL Omri Casspi SG Kentavious Caldwell-Pope C Julius Randle F Kyle Kuzma PG Lonzo Ball PF Wilson Chandler G Shabazz Napier",NA,"Brandon Ingram","F","44.74%",21.25
5,967246255,"darren2326",0,320.25,"SF Kevin Durant SG Klay Thompson C Jordan Bell PF Kyle Kuzma PG Lonzo Ball UTIL Wilson Chandler G Shabazz Napier F Trey Lyles",NA,"Draymond Green","F","43.09%",40.25
7,967318521,"AntsTwin",0,318.5,"SF Kevin Durant PF Draymond Green C Jordan Bell UTIL Kyle Kuzma PG Lonzo Ball SG Evan Turner F Mason Plumlee G Shabazz Napier",NA,"Lonzo Ball","PG","41.63%",39.75
8,966730780,"TonyMontana9 (2/2)",0,318,"UTIL Andrew Bogut PF Kevin Durant SG Kentavious Caldwell-Pope SF Kyle Kuzma PG Lonzo Ball F Wilson Chandler G Shabazz Napier C Nikola Jokic",NA,"Nikola Jokic","C","41.07%",50.25
9,966778118,"atl_crush (3/3)",0,317.5,"SF Kevin Durant G Kentavious Caldwell-Pope UTIL Jordan Bell F Kyle Kuzma PF Mason Plumlee SG Shabazz Napier C Nikola Jokic PG Jamal Murray",NA,"Klay Thompson","G","40.93%",24.75
10,966582365,"pinky9292",0,316.5,"C David West F Kevin Durant SG Klay Thompson UTIL Julius Randle PF Kyle Kuzma PG Lonzo Ball SF Wilson Chandler G Shabazz Napier",NA,"Al-Farouq Aminu","PF","36.27%",16.5
10,966589162,"jescol111878",0,316.5,"SF Kevin Durant UTIL Jordan Bell C Julius Randle PF Kyle Kuzma G Lonzo Ball F Wilson Chandler SG Evan Turner PG CJ McCollum",NA,"Jamal Murray","PG","35.90%",14.5
10,967286620,"king_browne (10/12)",0,316.5,"C David West SF Kevin Durant SG Klay Thompson F Julius Randle PF Kyle Kuzma PG Lonzo Ball UTIL Wilson Chandler G Shabazz Napier",NA,"Evan Turner","G","34.92%",14.5
13,967383664,"mbrady31 (2/2)",0,316.25,"SF Kevin Durant C Julius Randle PF Kyle Kuzma PG Lonzo Ball F Wilson Chandler UTIL Al-Farouq Aminu G Shabazz Napier SG Gary Harris",NA,"Jusuf Nurkic","C","30.14%",9.25
14,966621629,"lilo1985 (3/3)",0,315.25,"SF Kevin Durant SG Klay Thompson UTIL Jordan Bell C Julius Randle PF Kyle Kuzma PG Lonzo Ball F Evan Turner G Shabazz Napier",NA,"Will Barton","SG","26.98%",26.25
15,966723588,"dandino25",0,315,"SG Nick Young SF Kevin Durant PF Draymond Green UTIL Julius Randle F Kyle Kuzma PG Lonzo Ball C Mason Plumlee G Shabazz Napier",NA,"Mason Plumlee","UTIL","26.08%",30.25
15,967207778,"jroironman (1/4)",0,315,"F Draymond Green UTIL Julius Randle PF Kyle Kuzma PG Lonzo Ball SF Will Barton G Shabazz Napier SG Gary Harris C Nikola Jokic",NA,"Wilson Chandler","F","20.12%",36.25
15,967394525,"justagoodoldboy19 (2/4)",0,315,"G Andre Iguodala UTIL Kevin Durant F Draymond Green C Jordan Bell SF Kyle Kuzma PG Lonzo Ball PF Wilson Chandler SG Shabazz Napier",NA,"Julius Randle","C","20.06%",42.5
18,966876757,"mpaladini (1/2)",0,314.75,"SF Kevin Durant F Jordan Bell PF Kyle Kuzma G Lonzo Ball SG Evan Turner UTIL Al-Farouq Aminu PG Shabazz Napier C Nikola Jokic",NA,"Kentavious Caldwell-Pope","G","16.57%",28.75
18,966876777,"mpaladini (2/2)",0,314.75,"SF Kevin Durant F Jordan Bell PF Kyle Kuzma G Lonzo Ball SG Evan Turner UTIL Al-Farouq Aminu PG Shabazz Napier C Nikola Jokic",NA,"Larry Nance Jr.","UTIL","11.89%",9.5
18,967349093,"eddiep222 (1/2)",0,314.75,"PF Kevin Durant UTIL Jordan Bell SF Kyle Kuzma PG Lonzo Ball G Evan Turner F Al-Farouq Aminu SG Shabazz Napier C Nikola Jokic",NA,"Omri Casspi","PF","10.68%",21.25
21,966812296,"HeScores",0,314.25,"SF Kevin Durant G Kentavious Caldwell-Pope F Larry Nance Jr. UTIL Jordan Bell C Julius Randle PF Kyle Kuzma PG Lonzo Ball SG Shabazz Napier",NA,"Torrey Craig","UTIL","9.96%",3.75
21,967378347,"killagabe916 (6/6)",0,314.25,"SF Kevin Durant SG Kentavious Caldwell-Pope F Larry Nance Jr. C Jordan Bell UTIL Julius Randle PF Kyle Kuzma G Lonzo Ball PG Shabazz Napier",NA,"Trey Lyles","PF","8.64%",25.75
21,967378746,"restoretheroar74 (3/3)",0,314.25,"SF Kevin Durant SG Klay Thompson C Jordan Bell PF Kyle Kuzma G Lonzo Ball UTIL Mason Plumlee PG Shabazz Napier F Trey Lyles",NA,"David West","UTIL","8.34%",21.5
24,966684300,"Minickhk (3/3)",0,314,"SG Nick Young SF Kevin Durant F Julius Randle PF Kyle Kuzma UTIL Wilson Chandler PG CJ McCollum G Shabazz Napier C Nikola Jokic",NA,"Jordan Clarkson","G","8.18%",13.25
25,967297393,"mas62000",0,313.75,"PF Kevin Durant UTIL Omri Casspi C Jordan Bell SF Kyle Kuzma G Lonzo Ball F Wilson Chandler SG CJ McCollum PG Shabazz Napier",NA,"Jordan Bell","F","7.28%",42
26,967325163,"RedPanda64",0,313.25,"PF Kevin Durant C Jordan Bell F Julius Randle UTIL Kyle Kuzma PG Lonzo Ball SF Evan Turner G CJ McCollum SG Shabazz Napier",NA,"Gary Harris","SG","7.15%",29.5
27,967007479,"hunter1601 (8/20)",0,313,"PF Kevin Durant SG Kentavious Caldwell-Pope C Jordan Bell SF Kyle Kuzma G Lonzo Ball F Wilson Chandler PG Shabazz Napier UTIL Jamal Murray",NA,"Ed Davis","C","6.83%",19
28,966789142,"Paisano",0,312.75,"UTIL David West PF Kevin Durant SG Klay Thompson F Jordan Bell PG Lonzo Ball SF Wilson Chandler G Shabazz Napier C Nikola Jokic",NA,"Patrick McCaw","G","6.57%",10.75
29,966577082,"pops-_-1921 (2/2)",0,312.25,"F Kevin Durant UTIL Jordan Clarkson SG Kentavious Caldwell-Pope C Julius Randle SF Kyle Kuzma PG Lonzo Ball PF Wilson Chandler G Shabazz Napier",NA,"Andre Iguodala","SG","5.09%",5
29,966633772,"Bearsssssss (1/2)",0,312.25,"SF Kevin Durant PF Draymond Green C Jordan Bell UTIL Julius Randle F Kyle Kuzma G Brandon Ingram SG Evan Turner PG Shabazz Napier",NA,"Nick Young","G","4.43%",10.5
29,967388254,"AGMoney23 (12/20)",0,312.25,"SG Klay Thompson PF Draymond Green G Kentavious Caldwell-Pope F Jordan Bell SF Kyle Kuzma PG Lonzo Ball UTIL Shabazz Napier C Nikola Jokic",NA,"Josh Hart","UTIL","4.14%",8.25
32,966737171,"xATARIx",0,312,"SF Kevin Durant UTIL Julius Randle F Kyle Kuzma G Lonzo Ball PF Wilson Chandler C Ed Davis SG CJ McCollum PG Shabazz Napier",NA,"Pat Connaughton","G","2.15%",17.5
32,966989945,"bb2437 (9/15)",0,312,"F Kevin Durant PF Julius Randle SF Kyle Kuzma PG Lonzo Ball UTIL Wilson Chandler C Ed Davis SG CJ McCollum G Shabazz Napier",NA,"Quinn Cook","G","1.99%",0
34,967252651,"MichaelNicolelampart",0,311.75,"SG Nick Young SF Kevin Durant G Klay Thompson C Draymond Green UTIL Jordan Bell F Julius Randle PF Kyle Kuzma PG Shabazz Napier",NA,"Kenneth Faried","UTIL","1.96%",0
