"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19","2017-12-20"
"Kevin Durant_GS",0,NA,47.75,NA,45.5,NA,38.25,NA,72.25,NA,NA,65.25,NA,NA,38
"James Harden_HOU",NA,NA,59,NA,NA,NA,NA,NA,NA,NA,42,NA,48.5,NA,71.25
"Russell Westbrook_OKC",NA,NA,69.75,NA,49.25,NA,NA,77.25,NA,NA,55.75,NA,46.25,NA,56
"Giannis Antetokounmpo_MIL",NA,57.25,NA,50.75,NA,65.25,55.25,NA,49,NA,60.75,NA,53.25,60.5,NA
"DeMarcus Cousins_NO",NA,NA,42.5,NA,49.25,50,58.75,NA,81,NA,52.75,NA,NA,49.25,NA
"Anthony Davis_NO",NA,NA,22.25,NA,39.5,0,0,NA,0,NA,49,NA,NA,51.25,NA
"Chris Paul_HOU",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,62.75,NA,40.75,NA,20.75
"Stephen Curry_GS",0,NA,43.75,NA,52.5,NA,58.75,NA,0,NA,NA,0,NA,NA,0
"Nikola Vucevic_ORL",NA,NA,34.25,NA,17.75,NA,34.5,NA,61.5,NA,46,NA,NA,NA,38.5
"John Wall_WAS",NA,0,0,NA,0,NA,0,0,NA,0,25.75,NA,NA,43.5,NA
"Andre Drummond_DET",NA,NA,35.25,NA,55.75,49.75,41.25,NA,62,23,NA,55.75,NA,NA,31.25
"Kristaps Porzingis_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA
"Damian Lillard_POR",NA,NA,NA,35.75,NA,50.75,NA,53,NA,NA,30.75,NA,45.75,NA,30.5
"DeAndre Jordan_LAC",19.75,NA,NA,31,NA,40.25,NA,NA,47.25,NA,54.5,NA,43.5,NA,39.5
"Dwight Howard_CHA",NA,NA,42,NA,18.75,NA,24.25,NA,26.75,NA,55.5,NA,38.25,NA,26.75
