"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,966595672,"Iceman45 (1/5)",0,350.75,"SF Andre Roberson PF Dirk Nowitzki G Lou Williams UTIL James Harden C DeAndre Jordan SG Eric Gordon PG Austin Rivers F Marvin Williams",NA,"James Harden","PG","65.80%",73
2,967198182,"thecrick",0,349.5,"PF Carmelo Anthony F Wayne Ellington SF P.J. Tucker SG Lou Williams PG James Harden C DeAndre Jordan G Austin Rivers UTIL Marvin Williams",NA,"Eric Gordon","G","40.68%",38
3,966777675,"gmoore3727",0,348,"UTIL Russell Westbrook G Malcolm Delaney SF Wayne Ellington PG Tyler Johnson F Josh Richardson C Ryan Anderson SG James Harden PF Frank Kaminsky",NA,"Kelly Olynyk","PF","34.06%",23.5
3,967009476,"chefcurry68 (4/20)",0,348,"SG Marco Belinelli SF Paul George F Wayne Ellington PF Kelly Olynyk C Bam Adebayo UTIL Lou Williams PG James Harden G Eric Bledsoe",NA,"Carmelo Anthony","SF","31.54%",33.25
5,966847303,"BPalaz (1/3)",0,340.75,"PF Carmelo Anthony SF Josh Richardson C DeAndre Jordan G Eric Gordon UTIL Austin Rivers F Nicolas Batum PG Kemba Walker SG Eric Bledsoe",NA,"Trevor Ariza","F","28.48%",22
6,967028559,"paperchase85",0,337.75,"PG Tyler Johnson F Trevor Ariza SG Lou Williams PF Ryan Anderson C DeAndre Jordan UTIL Austin Rivers G Eric Bledsoe SF Khris Middleton",NA,"Khris Middleton","SG","26.77%",38.75
7,967013927,"ronniefootball",0,337,"C Kelly Olynyk F Bam Adebayo G Lou Williams UTIL Ryan Anderson PG James Harden SG Austin Rivers SF Khris Middleton PF Frank Kaminsky",NA,"Giannis Antetokounmpo","SF","26.18%",44.75
8,966699420,"QuietSauce (3/3)",0,336,"F Ersan Ilyasova PG Russell Westbrook PF Bam Adebayo G Lou Williams C Ryan Anderson SG Eric Gordon SF Nicolas Batum UTIL Eric Bledsoe",NA,"P.J. Tucker","PF","25.93%",17.5
9,967013356,"paulmarks",0,335,"SF Carmelo Anthony PG Russell Westbrook C Steven Adams PF John Collins G Lou Williams SG Austin Rivers UTIL Malcolm Brogdon F Frank Kaminsky",NA,"Paul George","F","23.89%",32.75
10,966706329,"toyatony99 (1/2)",0,333,"PF Ersan Ilyasova F Kent Bazemore SG Josh Richardson SF P.J. Tucker UTIL Lou Williams C Ryan Anderson PG James Harden G Austin Rivers",NA,"John Collins","C","21.81%",32.25
10,966706344,"toyatony99 (2/2)",0,333,"PF Ersan Ilyasova F Kent Bazemore SG Josh Richardson SF P.J. Tucker UTIL Lou Williams C Ryan Anderson PG James Harden G Austin Rivers",NA,"Nene Hilario","C","21.70%",5.5
12,967139994,"Clay51",0,332,"F Carmelo Anthony PF John Collins C Ryan Anderson UTIL James Harden SG Eric Gordon G Austin Rivers PG Kemba Walker SF Jeremy Lamb",NA,"Tyler Johnson","UTIL","20.86%",33.25
13,967136968,"davmic",0,331.5,"G Marco Belinelli UTIL Andre Roberson C John Collins PF Dirk Nowitzki F Wayne Ellington PG James Harden SG Eric Bledsoe SF Giannis Antetokounmpo",NA,"Russell Westbrook","G","20.58%",67.75
14,966633087,"radisrs",0,331,"SF Paul George C Steven Adams G Wayne Ellington UTIL James Harden PG Austin Rivers PF Marvin Williams SG Khris Middleton F Frank Kaminsky",NA,"Dennis Smith Jr.","PG","19.54%",19
15,966737789,"jwtolar (1/2)",0,330.75,"PG Russell Westbrook F Harrison Barnes C Bam Adebayo UTIL Lou Williams PF Ryan Anderson SG Eric Gordon SF Sam Dekker G Eric Bledsoe",NA,"Steven Adams","C","19.06%",34.5
16,967040859,"mikecox87 (5/20)",0,330.5,"PF John Collins F Wayne Ellington UTIL Bam Adebayo SF P.J. Tucker G Lou Williams PG James Harden C DeAndre Jordan SG Eric Gordon",NA,"Jeremy Lamb","SF","17.72%",21
17,966983304,"PalosPosse (1/2)",0,330.25,"F Ersan Ilyasova PG Russell Westbrook UTIL Marco Belinelli SG James Harden G C.J. Williams PF Marvin Williams SF Khris Middleton C Frank Kaminsky",NA,"Lou Williams","G","17.49%",54
18,966632656,"Groundhog2265",0,330,"PF Carmelo Anthony C Steven Adams SF Harrison Barnes F Josh Richardson SG Eric Gordon PG Austin Rivers G Kemba Walker UTIL Eric Bledsoe",NA,"Austin Rivers","PG","17.13%",54
19,966962454,"treayd",0,329.5,"F Ersan Ilyasova SF Wesley Matthews PG Tyler Johnson UTIL Josh Richardson PF Ryan Anderson G James Harden C DeAndre Jordan SG Austin Rivers",NA,"Josh Richardson","G","16.93%",42.5
20,966519732,"smorales559",0,329.25,"SF Paul George G Wayne Ellington C Dwight Powell PF Harrison Barnes UTIL Lou Williams PG James Harden F Marvin Williams SG Eric Bledsoe",NA,"Dwight Howard","UTIL","15.67%",5.25
20,966715204,"gmob469 (2/3)",0,329.25,"PG Russell Westbrook UTIL Marco Belinelli F Andre Roberson C Steven Adams SG James Harden SF Jamil Wilson G Austin Rivers PF Marvin Williams",NA,"DeAndre Jordan","UTIL","15.50%",47
22,967160307,"Abraham200",0,328.5,"F Andre Roberson G Wayne Ellington UTIL Josh Richardson C Bam Adebayo SG James Harden PG Austin Rivers PF Frank Kaminsky SF Giannis Antetokounmpo",NA,"Kemba Walker","PG","15.25%",47
23,966480428,"paycory (5/8)",0,328.25,"UTIL Marco Belinelli G Wayne Ellington C Bam Adebayo PG James Harden F Marvin Williams SG Khris Middleton PF Frank Kaminsky SF Giannis Antetokounmpo",NA,"Jordan Mickey","PF","15.00%",10.75
24,966567777,"Dallas0827 (3/5)",0,328,"G Marco Belinelli SF Wayne Ellington PF P.J. Tucker F Trevor Ariza PG Lou Williams UTIL James Harden C DeAndre Jordan SG Eric Gordon",NA,"Eric Bledsoe","PG","15.00%",55.25
24,966783472,"ManUtd4Life",0,328,"UTIL Marco Belinelli F Kent Bazemore C Steven Adams SF Josh Richardson PF P.J. Tucker G James Harden SG Eric Gordon PG Austin Rivers",NA,"Harrison Barnes","UTIL","14.94%",25.5
24,967014387,"novaunited45 (7/20)",0,328,"SF Carmelo Anthony SG Marco Belinelli F Paul George C Nene Hilario G Lou Williams PF Ryan Anderson UTIL James Harden PG Eric Bledsoe",NA,"Ryan Anderson","PF","13.40%",33.5
24,967082002,"JoeBuffalo",0,328,"F John Collins PG Tyler Johnson PF Bam Adebayo SF P.J. Tucker G James Harden C DeAndre Jordan SG Eric Gordon UTIL Austin Rivers",NA,"John Henson","C","12.14%",16
28,967009481,"chefcurry68 (9/20)",0,327.5,"F Carmelo Anthony G Marco Belinelli SF Paul George PF John Collins C Kelly Olynyk PG James Harden SG Eric Gordon UTIL Austin Rivers",NA,"Kent Bazemore","G","11.49%",27.75
29,967078766,"adamoblinky (17/20)",0,327.25,"G Marco Belinelli PF P.J. Tucker SF Trevor Ariza SG Lou Williams PG James Harden C DeAndre Jordan UTIL Eric Gordon F Marvin Williams",NA,"Wayne Ellington","UTIL","11.47%",35.75
30,966978852,"drive80",0,326.75,"F Wayne Ellington SF Harrison Barnes G Josh Richardson PF Bam Adebayo PG James Harden C DeAndre Jordan SG Austin Rivers UTIL John Henson",NA,"Montrezl Harrell","F","11.30%",6.25
31,966605880,"Iceman45 (3/5)",0,326.25,"F Carmelo Anthony SF Ersan Ilyasova PF Dirk Nowitzki C Kelly Olynyk SG James Harden UTIL Kemba Walker G Eric Bledsoe PG Malcolm Brogdon",NA,"Frank Kaminsky","F","10.93%",27.25
31,966609062,"belusm88 (2/2)",0,326.25,"PF Ersan Ilyasova C John Collins F Trevor Ariza SG James Harden UTIL Eric Gordon G Austin Rivers PG Eric Bledsoe SF Jeremy Lamb",NA,"Marco Belinelli","G","9.48%",40.75
