"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,967491690,"DirtySteve187",0,313.25,"SF Kevin Durant F Jordan Bell C Julius Randle PF Kyle Kuzma PG Lonzo Ball UTIL Evan Turner SG CJ McCollum G Shabazz Napier",NA,"CJ McCollum","PG","65.69%",22.75
2,967383114,"TheMaelstrom",0,310.5,"SF Kevin Durant PF Julius Randle UTIL Kyle Kuzma SG Brandon Ingram G Evan Turner F Mason Plumlee PG Shabazz Napier C Nikola Jokic",NA,"Kevin Durant","PF","60.98%",65.25
3,967485298,"StephenLNichols1 (2/2)",0,307.75,"PF Draymond Green UTIL Jordan Bell SF Kyle Kuzma PG Lonzo Ball SG CJ McCollum F Will Barton G Shabazz Napier C Nikola Jokic",NA,"Kyle Kuzma","SF","58.45%",53.5
4,967144150,"BillyCorp69 (2/3)",0,306.5,"UTIL Kevin Durant PF Kyle Kuzma PG Lonzo Ball F Wilson Chandler C Mason Plumlee SG CJ McCollum G Shabazz Napier SF Trey Lyles",NA,"Shabazz Napier","G","52.06%",33
4,967477337,"Maddog45 (2/2)",0,306.5,"SG Nick Young F Kevin Durant C Julius Randle SF Kyle Kuzma G Brandon Ingram PF Mason Plumlee PG Shabazz Napier UTIL Nikola Jokic",NA,"Draymond Green","PF","48.28%",40.25
6,966733507,"Ferguson7 (1/3)",0,306,"SF Kevin Durant PF Draymond Green SG Kentavious Caldwell-Pope F Jordan Bell C Julius Randle UTIL Lonzo Ball G Evan Turner PG Shabazz Napier",NA,"Nikola Jokic","C","44.66%",50.25
7,967070039,"DoorsFan75",0,304,"SG Klay Thompson UTIL Draymond Green PF Kyle Kuzma PG Lonzo Ball F Wilson Chandler SF Will Barton G Shabazz Napier C Nikola Jokic",NA,"Evan Turner","G","41.72%",14.5
8,966908551,"bartholomew79",0,303.25,"SG Andre Iguodala SF Kevin Durant C Draymond Green PF Kyle Kuzma PG Lonzo Ball F Wilson Chandler UTIL Mason Plumlee G Shabazz Napier",NA,"Brandon Ingram","SF","40.54%",21.25
9,967061146,"gitum4200",0,303,"SF Kevin Durant PF Kyle Kuzma PG Lonzo Ball G Evan Turner F Al-Farouq Aminu UTIL Mason Plumlee SG Shabazz Napier C Nikola Jokic",NA,"Klay Thompson","SG","39.19%",24.75
10,967437696,"thomasteix23 (1/16)",0,302,"PF Draymond Green SF Kyle Kuzma PG Lonzo Ball F Wilson Chandler SG CJ McCollum UTIL Will Barton G Shabazz Napier C Nikola Jokic",NA,"Al-Farouq Aminu","F","39.02%",16.5
11,967479187,"jaybird576 (1/2)",0,299.25,"PF Draymond Green SF Kyle Kuzma UTIL Lonzo Ball F Mason Plumlee PG CJ McCollum G Shabazz Napier SG Gary Harris C Nikola Jokic",NA,"Lonzo Ball","PG","36.16%",39.75
11,967479493,"rkhfl (7/11)",0,299.25,"UTIL Kevin Durant C Julius Randle PF Kyle Kuzma F Wilson Chandler SF Al-Farouq Aminu PG CJ McCollum G Shabazz Napier SG Gary Harris",NA,"Jamal Murray","UTIL","33.47%",14.5
