"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Kevin Durant",11600,"LAL@GS 12/22/2017 10:30PM ET",49.029,"GS","LAL",57.79,56.1,65.25
"PG/SG","Stephen Curry",9100,"LAL@GS 12/22/2017 10:30PM ET",46.924,"GS","LAL",0,0,0
"PG","Damian Lillard",8300,"DEN@POR 12/22/2017 10:00PM ET",44.129,"POR","DEN",0,0,0
"PF/C","Draymond Green",7400,"LAL@GS 12/22/2017 10:30PM ET",35.94,"GS","LAL",38.53,38.8,40.25
"C","Nikola Jokic",7400,"DEN@POR 12/22/2017 10:00PM ET",39.083,"DEN","POR",40.68,40.2,50.25
"SG","Klay Thompson",7200,"LAL@GS 12/22/2017 10:30PM ET",33.71,"GS","LAL",35.85,36.8,24.75
"PG","Lonzo Ball",7000,"LAL@GS 12/22/2017 10:30PM ET",33.414,"LAL","GS",31.23,32.9,39.75
"PG/SG","CJ McCollum",7000,"DEN@POR 12/22/2017 10:00PM ET",33.3,"POR","DEN",40.72,39.5,22.75
"SG/SF","Brandon Ingram",6800,"LAL@GS 12/22/2017 10:30PM ET",30.793,"LAL","GS",32.34,32.4,21.25
"PF/C","Paul Millsap",6500,"DEN@POR 12/22/2017 10:00PM ET",31.828,"DEN","POR",0,0,0
"C","Jusuf Nurkic",6400,"DEN@POR 12/22/2017 10:00PM ET",30.259,"POR","DEN",34.05,33.9,9.25
"SF/PF","Kyle Kuzma",6300,"LAL@GS 12/22/2017 10:30PM ET",29.804,"LAL","GS",31.03,32.8,53.5
"SG","Gary Harris",6200,"DEN@POR 12/22/2017 10:00PM ET",29.357,"DEN","POR",29.42,28.6,29.5
"SG/SF","Will Barton",5900,"DEN@POR 12/22/2017 10:00PM ET",30.567,"DEN","POR",32.67,30.2,26.25
"SG","Kentavious Caldwell-Pope",5800,"LAL@GS 12/22/2017 10:30PM ET",28.29,"LAL","GS",25.25,26.2,28.75
"PG/SG","Jamal Murray",5800,"DEN@POR 12/22/2017 10:00PM ET",25.016,"DEN","POR",27.46,29.4,14.5
"PF/C","Julius Randle",5400,"LAL@GS 12/22/2017 10:30PM ET",24.371,"LAL","GS",25.35,25.4,42.5
"SF/PF","Larry Nance",5200,"LAL@GS 12/22/2017 10:30PM ET",23.75,"LAL","GS",20.33,20.4,9.5
"PG/SG","Jordan Clarkson",5100,"LAL@GS 12/22/2017 10:30PM ET",22.966,"LAL","GS",21.67,19.6,13.25
"SF/PF","Omri Casspi",4800,"LAL@GS 12/22/2017 10:30PM ET",16,"GS","LAL",11.36,10.6,21.25
"SF/PF","Al-Farouq Aminu",4700,"DEN@POR 12/22/2017 10:00PM ET",22.816,"POR","DEN",26.62,28.1,16.5
"SF/PF","Trey Lyles",4600,"DEN@POR 12/22/2017 10:00PM ET",15.894,"DEN","POR",20.55,20.2,25.75
"SF/PF","Wilson Chandler",4500,"DEN@POR 12/22/2017 10:00PM ET",20.981,"DEN","POR",21.84,22.4,36.25
"C","Brook Lopez",4400,"LAL@GS 12/22/2017 10:30PM ET",24.705,"LAL","GS",0,0,0
"PF/C","Jordan Bell",4400,"LAL@GS 12/22/2017 10:30PM ET",13.68,"GS","LAL",13.47,21.1,42
"PF/C","Mason Plumlee",4400,"DEN@POR 12/22/2017 10:00PM ET",19.315,"DEN","POR",20.86,25,30.25
"PG/SG","Shabazz Napier",4300,"DEN@POR 12/22/2017 10:00PM ET",14.279,"POR","DEN",28.7,21.4,33
"SG/SF","Andre Iguodala",4200,"LAL@GS 12/22/2017 10:30PM ET",18.644,"GS","LAL",22.06,21.5,5
"PG/SG","Josh Hart",3900,"LAL@GS 12/22/2017 10:30PM ET",9.979,"LAL","GS",8.66,8.6,8.25
"SG/SF","Evan Turner",3800,"DEN@POR 12/22/2017 10:00PM ET",17.669,"POR","DEN",22.39,23.8,14.5
"PF/C","Ed Davis",3800,"DEN@POR 12/22/2017 10:00PM ET",16.032,"POR","DEN",17.36,17.3,19
"PG","Emmanuel Mudiay",3800,"DEN@POR 12/22/2017 10:00PM ET",18.405,"DEN","POR",0,0,0
"PG/SF","Patrick McCaw",3700,"LAL@GS 12/22/2017 10:30PM ET",9.769,"GS","LAL",15.41,15.8,10.75
"SG/SF","Torrey Craig",3700,"DEN@POR 12/22/2017 10:00PM ET",16.063,"DEN","POR",18.99,17.1,3.75
"PG/SG","Shaun Livingston",3600,"LAL@GS 12/22/2017 10:30PM ET",11.038,"GS","LAL",0.62,0,0
"SG/SF","Corey Brewer",3600,"LAL@GS 12/22/2017 10:30PM ET",7.655,"LAL","GS",5.56,0,0
"PF/C","Kenneth Faried",3600,"DEN@POR 12/22/2017 10:00PM ET",15.59,"DEN","POR",0,0,0
