"Place_lo","Place_hi","Payout"
"1","1","5000"
"2","2","4000"
"3","3","3000"
"4","4","2000"
"5","5","1500"
"6","6","1000"
"7","10","750"
"11","15","500"
"16","20","350"
"21","30","250"
"31","45","200"
"46","60","150"
"61","75","100"
"76","100","80"
"101","125","60"
"126","150","50"
"151","175","40"
"176","225","35"
"226","275","30"
"276","325","25"
"326","425","20"
"426","525","15"
"526","775","12"
"776","1275","10"
"1276","1775","9"
"1776","2775","8"
"2776","4275","7"
"4276","6075","6"
"6076","10365","5"
