"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Kevin Durant",11600,"LAL@GS 12/22/2017 10:30PM ET",49.029,"GS"
"PG/SG","Stephen Curry",9100,"LAL@GS 12/22/2017 10:30PM ET",46.924,"GS"
"PG","Damian Lillard",8300,"DEN@POR 12/22/2017 10:00PM ET",44.129,"POR"
"PF/C","Draymond Green",7400,"LAL@GS 12/22/2017 10:30PM ET",35.94,"GS"
"C","Nikola Jokic",7400,"DEN@POR 12/22/2017 10:00PM ET",39.083,"DEN"
"SG","Klay Thompson",7200,"LAL@GS 12/22/2017 10:30PM ET",33.71,"GS"
"PG","Lonzo Ball",7000,"LAL@GS 12/22/2017 10:30PM ET",33.414,"LAL"
"PG/SG","CJ McCollum",7000,"DEN@POR 12/22/2017 10:00PM ET",33.3,"POR"
"SG/SF","Brandon Ingram",6800,"LAL@GS 12/22/2017 10:30PM ET",30.793,"LAL"
"PF/C","Paul Millsap",6500,"DEN@POR 12/22/2017 10:00PM ET",31.828,"DEN"
"C","Jusuf Nurkic",6400,"DEN@POR 12/22/2017 10:00PM ET",30.259,"POR"
"SF/PF","Kyle Kuzma",6300,"LAL@GS 12/22/2017 10:30PM ET",29.804,"LAL"
"SG","Gary Harris",6200,"DEN@POR 12/22/2017 10:00PM ET",29.357,"DEN"
"SG/SF","Will Barton",5900,"DEN@POR 12/22/2017 10:00PM ET",30.567,"DEN"
"SG","Kentavious Caldwell-Pope",5800,"LAL@GS 12/22/2017 10:30PM ET",28.29,"LAL"
"PG/SG","Jamal Murray",5800,"DEN@POR 12/22/2017 10:00PM ET",25.016,"DEN"
"PF/C","Julius Randle",5400,"LAL@GS 12/22/2017 10:30PM ET",24.371,"LAL"
"SF/PF","Larry Nance Jr.",5200,"LAL@GS 12/22/2017 10:30PM ET",23.75,"LAL"
"PG/SG","Jordan Clarkson",5100,"LAL@GS 12/22/2017 10:30PM ET",22.966,"LAL"
"SF/PF","Omri Casspi",4800,"LAL@GS 12/22/2017 10:30PM ET",16,"GS"
"SF/PF","Al-Farouq Aminu",4700,"DEN@POR 12/22/2017 10:00PM ET",22.816,"POR"
"SF/PF","Trey Lyles",4600,"DEN@POR 12/22/2017 10:00PM ET",15.894,"DEN"
