"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,966896180,"thiznutz",0,346.5,"SF Wesley Matthews UTIL Yogi Ferrell G Lou Williams PF Ryan Anderson SG James Harden C DeAndre Jordan PG Austin Rivers F Marvin Williams",NA,"James Harden","PG","67.96%",73
2,966789874,"denismmm",0,339.25,"G Wayne Ellington UTIL Yogi Ferrell PF Bam Adebayo PG Lou Williams C DeAndre Jordan F Marvin Williams SG Eric Bledsoe SF Giannis Antetokounmpo",NA,"Eric Gordon","SG","39.61%",38
3,966573834,"Albatross75",0,337.75,"PG Russell Westbrook C Dirk Nowitzki PF P.J. Tucker SG Eric Gordon UTIL Austin Rivers SF Marvin Williams G Eric Bledsoe F Khris Middleton",NA,"Carmelo Anthony","UTIL","34.57%",33.25
3,966970990,"cowboy35222",0,337.75,"PF Carmelo Anthony G Marco Belinelli C Steven Adams F Bam Adebayo UTIL James Harden PG Kemba Walker SG Eric Bledsoe SF Jeremy Lamb",NA,"Kelly Olynyk","PF","32.63%",23.5
5,966637951,"richie99",0,334.75,"PF Ersan Ilyasova UTIL Marco Belinelli F Paul George C Steven Adams SF Wayne Ellington SG Tyler Johnson PG Lou Williams G James Harden",NA,"Trevor Ariza","F","32.46%",22
6,967009501,"chefcurry68 (9/20)",0,334.5,"G Marco Belinelli C Kelly Olynyk F Bam Adebayo UTIL Lou Williams PF Ryan Anderson PG James Harden SG Eric Gordon SF Khris Middleton",NA,"Paul George","F","29.35%",32.75
7,967059276,"qbasic7777 (13/20)",0,333.75,"F Carmelo Anthony PF Ersan Ilyasova SF P.J. Tucker PG Lou Williams SG James Harden G Austin Rivers C John Henson UTIL Eric Bledsoe",NA,"Nene Hilario","C","29.35%",5.5
8,967009508,"chefcurry68 (16/20)",0,332.25,"PF Carmelo Anthony G Marco Belinelli SF Paul George F Wayne Ellington C Kelly Olynyk PG James Harden SG Eric Gordon UTIL Eric Bledsoe",NA,"P.J. Tucker","SF","29.02%",17.5
9,966734787,"rbrownstable",0,332,"SF Wayne Ellington C Kelly Olynyk PF Harrison Barnes G Tyler Johnson F Bam Adebayo UTIL Lou Williams PG James Harden SG Austin Rivers",NA,"Giannis Antetokounmpo","SF","25.90%",44.75
10,967070924,"cdenman41",0,331.75,"UTIL Marco Belinelli C John Collins G J.J. Barea PG James Harden SG Austin Rivers PF Marvin Williams F Frank Kaminsky SF Giannis Antetokounmpo",NA,"Tyler Johnson","G","24.31%",33.25
