"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,966820265,"getsome1932 (2/2)",0,322.75,"SF Kevin Durant F Kyle Kuzma G Lonzo Ball PF Wilson Chandler SG Evan Turner UTIL Mason Plumlee PG Shabazz Napier C Nikola Jokic",NA,"CJ McCollum","PG","63.73%",22.75
2,967432778,"louiedog01 (15/20)",0,316,"SF Kevin Durant UTIL Kentavious Caldwell-Pope PF Jordan Bell F Julius Randle PG Lonzo Ball G Evan Turner SG Shabazz Napier C Nikola Jokic",NA,"Kevin Durant","PF","59.52%",65.25
3,966876722,"mpaladini",0,314.75,"SF Kevin Durant F Jordan Bell PF Kyle Kuzma G Lonzo Ball SG Evan Turner UTIL Al-Farouq Aminu PG Shabazz Napier C Nikola Jokic",NA,"Kyle Kuzma","SF","58.75%",53.5
4,967426547,"Mytimez",0,314.25,"SF Kevin Durant C Jordan Bell PF Kyle Kuzma G Evan Turner F Will Barton PG Shabazz Napier SG Gary Harris UTIL Nikola Jokic",NA,"Shabazz Napier","G","51.65%",33
5,967293309,"RedPanda64",0,313.25,"PF Kevin Durant C Jordan Bell F Julius Randle UTIL Kyle Kuzma PG Lonzo Ball SF Evan Turner G CJ McCollum SG Shabazz Napier",NA,"Draymond Green","UTIL","46.33%",40.25
5,967432764,"louiedog01 (1/20)",0,313.25,"PF Kevin Durant UTIL Jordan Bell C Julius Randle F Kyle Kuzma PG Lonzo Ball SF Evan Turner SG CJ McCollum G Shabazz Napier",NA,"Nikola Jokic","C","44.62%",50.25
7,967062962,"bruinsfan79 (1/2)",0,311.75,"PF Kevin Durant F Jordan Bell C Julius Randle SF Kyle Kuzma SG Brandon Ingram G Lonzo Ball UTIL Evan Turner PG Shabazz Napier",NA,"Brandon Ingram","G","44.52%",21.25
8,966591100,"johnnycrow (1/2)",0,310.5,"SF Kevin Durant PF Julius Randle F Kyle Kuzma SG Brandon Ingram G Evan Turner UTIL Mason Plumlee PG Shabazz Napier C Nikola Jokic",NA,"Lonzo Ball","UTIL","39.00%",39.75
9,967432777,"louiedog01 (14/20)",0,310.25,"F Draymond Green SG Kentavious Caldwell-Pope PF Jordan Bell SF Kyle Kuzma UTIL Lonzo Ball G CJ McCollum PG Shabazz Napier C Nikola Jokic",NA,"Evan Turner","G","38.73%",14.5
10,967170664,"SIR_REDINGTON (6/20)",0,309,"PF Kevin Durant UTIL Kyle Kuzma G Lonzo Ball SF Wilson Chandler SG Evan Turner F Al-Farouq Aminu PG Shabazz Napier C Nikola Jokic",NA,"Al-Farouq Aminu","F","38.59%",16.5
11,966878763,"Carpy21 (2/2)",0,308.5,"SF Kevin Durant SG Klay Thompson PF Kyle Kuzma PG Lonzo Ball UTIL Wilson Chandler C Mason Plumlee G Shabazz Napier F Trey Lyles",NA,"Klay Thompson","SG","35.26%",24.75
12,967404543,"camarojoe369",0,308,"SG Klay Thompson F Draymond Green PF Kyle Kuzma G Lonzo Ball SF Wilson Chandler C Mason Plumlee PG Shabazz Napier UTIL Nikola Jokic",NA,"Jamal Murray","UTIL","32.81%",14.5
13,967227512,"Drizzle_123",0,307.5,"F Kevin Durant PF Draymond Green G Kentavious Caldwell-Pope C Jordan Bell SF Kyle Kuzma UTIL Mason Plumlee SG Shabazz Napier PG Jamal Murray",NA,"Jusuf Nurkic","C","32.40%",9.25
13,967443579,"acer1215forever",0,307.5,"SF Kevin Durant C Julius Randle PF Kyle Kuzma PG Lonzo Ball UTIL Wilson Chandler F Evan Turner G CJ McCollum SG Shabazz Napier",NA,"Mason Plumlee","UTIL","25.74%",30.25
15,967401158,"oohhitzstatic (3/3)",0,306.5,"SG Klay Thompson PF Draymond Green UTIL Kentavious Caldwell-Pope SF Kyle Kuzma G Lonzo Ball F Wilson Chandler PG Shabazz Napier C Nikola Jokic",NA,"Will Barton","SG","24.09%",26.25
