"Kevin Durant_GS","Stephen Curry_GS","Damian Lillard_POR","Draymond Green_GS","Nikola Jokic_DEN","Klay Thompson_GS","Lonzo Ball_LAL","CJ McCollum_POR","Brandon Ingram_LAL","Paul Millsap_DEN","Jusuf Nurkic_POR","Kyle Kuzma_LAL","Gary Harris_DEN","Will Barton_DEN","Kentavious Caldwell-Pope_LAL","Jamal Murray_DEN","Julius Randle_LAL","Larry Nance_LAL","Jordan Clarkson_LAL","Omri Casspi_GS","Al-Farouq Aminu_POR","Trey Lyles_DEN","Wilson Chandler_DEN","Brook Lopez_LAL","Jordan Bell_GS","Mason Plumlee_DEN","Shabazz Napier_POR","Andre Iguodala_GS","Josh Hart_LAL","Evan Turner_POR","Ed Davis_POR","Emmanuel Mudiay_DEN","Patrick McCaw_GS","Torrey Craig_DEN","Shaun Livingston_GS","Corey Brewer_LAL","Kenneth Faried_DEN","David West_GS","Kevon Looney_GS","Maurice Harkless_POR","Zach Collins_POR","Zaza Pachulia_GS","Nick Young_GS","Pat Connaughton_POR","Juancho Hernangomez_DEN","JaVale McGee_GS","Ivica Zubac_LAL","Meyers Leonard_POR","Noah Vonleh_POR","Malik Beasley_DEN","Caleb Swanigan_POR","Quinn Cook_GS","Luol Deng_LAL","Andrew Bogut_LAL","Vander Blue_LAL","Alex Caruso_LAL","Damian Jones_GS","Tyler Ennis_LAL","Thomas Bryant_LAL","Chris Boucher_GS","Richard Jefferson_DEN","Darrell Arthur_DEN","CJ Wilcox_POR","Jake Layman_POR","Monte Morris_DEN","Wade Baldwin IV_POR","Tyler Lydon_DEN"
545.142857142857,-12.1428571428571,0,-254.389880952381,0,-41.9806547619048,0,0,0,0,0,0,0,0,0,0,0,0,0,67.3675595238095,0,0,0,0,100.151785714286,0,0,58.4598214285714,0,0,0,0,-292.928571428571,0,-32.6711309523809,0,0,-20.3184523809524,23.7380952380952,0,0,-63.7693452380952,-13.875,0,0,-48.9002976190476,0,0,0,0,0,87.9657738095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-12.1428571428571,781.622023809524,0,589.077380952381,0,-32.4255952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,-211.24255952381,0,0,0,0,-50.8705357142857,0,0,-50.5952380952381,0,0,0,0,-131.592261904762,0,-65.7663690476191,0,0,-110.014880952381,-10.9151785714286,0,0,138.988095238095,-43.6979166666667,0,0,-34.8809523809524,0,0,0,0,0,-131.934523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,100.891666666667,0,0,0,0,-34.1125,0,0,28.9208333333333,0,0,0,0,0,0,0,0,0,-47.1583333333333,0,0,0,0,0,-7.87916666666667,0,0,-44.0583333333333,-51.575,0,0,0,0,0,0,0,0,1.475,-28.7416666666667,0,0,38.9083333333333,0,0,0,43.7583333333333,48.8083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-254.389880952381,589.077380952381,0,608.946428571429,0,-36.3095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,-225.922619047619,0,0,0,0,-98.1369047619048,0,0,-7.81547619047619,0,0,0,0,0.72172619047619,0,-8.58482142857143,0,0,-98.9776785714286,-16.7470238095238,0,0,161.85119047619,-32.3958333333333,0,0,-19.8139880952381,0,0,0,0,0,-152.150297619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,217.138392857143,0,0,0,0,0,0,0,-176.064732142857,-14.5803571428571,0,-71.3348214285714,0,0,0,0,0,-70.7611607142857,-20.6473214285714,0,0,4.45982142857143,0,0,0,0,0,-41.3861607142857,0,72.3214285714286,0,0,-52.2678571428571,0,0,0,0,0,0,0,0,0,0,0,0,-29.8950892857143,0,0,0,0,0,0,0,0,0,0,-4.984375,-10.9151785714286,0,0,0,0,0
-41.9806547619048,-32.4255952380952,0,-36.3095238095238,0,26.6815476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4389880952381,0,0,0,0,10.7633928571429,0,0,-47.5565476190476,0,0,0,0,52.2857142857143,0,-7.06994047619048,0,0,13.1949404761905,0.337797619047619,0,0,-0.712797619047619,8.46875,0,0,6.97172619047619,0,0,0,0,0,7.62351190476191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,75.2854166666667,0,41.51875,0,0,34.2166666666667,0,0,-75.1145833333333,0,5.90833333333333,3.46666666666667,-39.6770833333333,0,0,0,0,-0.254166666666667,0,0,0,0,18.8125,0,0,0,0,0,0,-6.35416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98125,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-34.1125,0,0,0,0,27.15,0,0,-44.4625,0,0,0,0,0,0,0,0,0,23.7875,0,0,0,0,0,-6.25,0,0,15.1125,19.0875,0,0,0,0,0,0,0,0,5.225,29,0,0,-19.725,0,0,0,-32.5,-23.5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,41.51875,0,137.21875,0,0,-98.1375,0,0,-82.39375,0,32.1125,35.725,30.65625,0,0,0,0,-49.9625,0,0,0,0,35.775,0,0,0,0,0,0,1.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.74375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
