"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,967277142,"ericsun",0,336.5,"PF John Collins F Wesley Matthews SF Josh Richardson PG Lou Williams G James Harden SG Eric Gordon UTIL Austin Rivers C Frank Kaminsky",NA,"James Harden","PG","74.69%",73
2,967322511,"rjratway (2/4)",0,336.25,"C Steven Adams PF John Collins UTIL Tyler Johnson F Josh Richardson PG Lou Williams SG Austin Rivers G Kemba Walker SF Khris Middleton",NA,"Eric Gordon","SG","45.65%",38
3,967237527,"mgcorbin91",0,334,"PG Russell Westbrook F Wayne Ellington G Dennis Smith Jr. PF Ryan Anderson SG James Harden UTIL Austin Rivers SF Marvin Williams C John Henson",NA,"Kelly Olynyk","PF","40.48%",23.5
4,967063179,"n4no413",0,332.5,"F Paul George SG Wayne Ellington C Kelly Olynyk SF Josh Richardson PF Bam Adebayo UTIL James Harden G Eric Gordon PG Austin Rivers",NA,"Trevor Ariza","G","34.35%",22
4,967171213,"giggem54",0,332.5,"F Carmelo Anthony PF Ersan Ilyasova PG Russell Westbrook C Steven Adams SG Trevor Ariza UTIL Austin Rivers SF Marvin Williams G Eric Bledsoe",NA,"Carmelo Anthony","PF","33.74%",33.25
6,967017540,"youdacao (34/44)",0,332.25,"PF Carmelo Anthony SF Paul George C John Collins F Wayne Ellington UTIL Tyler Johnson PG James Harden SG Eric Gordon G Austin Rivers",NA,"Nene Hilario","C","32.45%",5.5
7,967291489,"tater32588",0,331.75,"PF Carmelo Anthony F Ersan Ilyasova C Dirk Nowitzki G Tyler Johnson SF Trevor Ariza UTIL Lou Williams PG James Harden SG Austin Rivers",NA,"P.J. Tucker","UTIL","31.84%",17.5
8,967235406,"NullNullSem (3/3)",0,328.75,"PF Ersan Ilyasova SF Kent Bazemore UTIL Wayne Ellington G Yogi Ferrell PG James Harden C DeAndre Jordan SG Eric Bledsoe F Michael Kidd-Gilchrist",NA,"Paul George","SF","28.44%",32.75
9,966813106,"mazwa (37/44)",0,328.25,"PF Carmelo Anthony UTIL Russell Westbrook SG Marco Belinelli SF Wayne Ellington C Ryan Anderson PG James Harden G Eric Gordon F Montrezl Harrell",NA,"Tyler Johnson","G","27.89%",33.25
10,966827791,"jshippey",0,327.5,"F Carmelo Anthony C Miles Plumlee SF Paul George PG James Harden SG Eric Gordon UTIL Austin Rivers PF Marvin Williams G Eric Bledsoe",NA,"Khris Middleton","UTIL","23.88%",38.75
11,967192784,"Rubaseball24",0,326.75,"F Paul George SF Andre Roberson PF John Collins C Dirk Nowitzki PG James Harden UTIL Eric Gordon SG Austin Rivers G Kemba Walker",NA,"Russell Westbrook","G","21.90%",67.75
12,967309692,"franky1f",0,326,"PF Carmelo Anthony F Ersan Ilyasova SF Paul George C John Collins PG James Harden G Eric Gordon SG Austin Rivers UTIL Malcolm Brogdon",NA,"Giannis Antetokounmpo","F","21.43%",44.75
