Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,968091894,loosehead,0,340.25,SG Victor Oladipo PF Draymond Green PG Kemba Walker UTIL Elfrid Payton G Austin Rivers C Willie Cauley-Stein F Lauri Markkanen SF DeMarre Carroll,,Eric Bledsoe,G,36.32%,32.75
2,968697425,jdg711 (1/7),0,334.5,F Khris Middleton PG Lonzo Ball PF Kyle Kuzma SF T.J. Warren C Myles Turner UTIL Jayson Tatum SG Austin Rivers G Buddy Hield,,Kyle Kuzma,PF,32.52%,32.75
3,968698798,colts1957,0,331.5,PG Russell Westbrook SF Kyle Kuzma F T.J. Warren PF John Collins SG Austin Rivers UTIL DeMarre Carroll G J.J. Barea C Dirk Nowitzki,,Khris Middleton,SF,30.63%,47.75
3,968723689,benclow2000 (2/2),0,331.5,PG Tyreke Evans PF LaMarcus Aldridge SF Khris Middleton F Carmelo Anthony C Derrick Favors G Austin Rivers UTIL Shabazz Napier SG Isaiah Canaan,,Brandan Wright,PF,25.96%,10.5
5,968762166,matticito,0,327.5,PG Victor Oladipo SG Tyreke Evans PF Draymond Green SF Kyle Kuzma C Willie Cauley-Stein UTIL DeMarre Carroll G Bojan Bogdanovic F Allen Crabbe,,Nikola Jokic,C,20.81%,38.25
6,967721378,tommyq236 (1/4),0,326.75,SG Tyreke Evans F Khris Middleton SF Kyle Kuzma C Myles Turner PG Eric Bledsoe UTIL Spencer Dinwiddie G Austin Rivers PF Brandan Wright,,Shabazz Napier,UTIL,20.15%,39.75
6,968333363,tommyq236 (3/4),0,326.75,SG Tyreke Evans F Khris Middleton SF Kyle Kuzma C Myles Turner PG Eric Bledsoe UTIL Spencer Dinwiddie G Austin Rivers PF Brandan Wright,,Austin Rivers,PG,14.86%,48.75
8,968709090,pyro2312000,0,325.25,UTIL Tyreke Evans C Myles Turner SG Eric Bledsoe SF Josh Richardson PF Rondae Hollis-Jefferson PG Elfrid Payton F John Collins G Shabazz Napier,,Victor Oladipo,SG,14.26%,57
9,968204033,FordLakers,0,324.25,PG Tyreke Evans PF LaMarcus Aldridge C Jusuf Nurkic SF T.J. Warren SG Spencer Dinwiddie G Austin Rivers UTIL Bobby Portis F Dirk Nowitzki,,Wayne Ellington,UTIL,14.13%,19.75
10,967746140,miltiades (2/4),0,322.5,SG Tyreke Evans C Myles Turner PG Eric Bledsoe G Spencer Dinwiddie SF Josh Richardson UTIL Elfrid Payton PF Kelly Olynyk F Bam Adebayo,,Josh Richardson,F,13.37%,22
11,968750799,bgabala22 (2/2),0,321,PG Tyreke Evans F Draymond Green SF Paul George G Lou Williams UTIL Spencer Dinwiddie SG Jamal Murray PF Bobby Portis C Frank Kaminsky,,Karl-Anthony Towns,C,13.18%,41.5
11,968781691,bashbros (4/4),0,321,UTIL Tyreke Evans PG Lonzo Ball SF Kyle Kuzma C Myles Turner PF Rondae Hollis-Jefferson SG Tyler Johnson F Julius Randle G Shabazz Napier,,Tyreke Evans,UTIL,13.10%,64.75
13,967704750,fredy88 (1/2),0,320.5,PG Russell Westbrook G Klay Thompson F Rondae Hollis-Jefferson UTIL Jayson Tatum C Domantas Sabonis SG Austin Rivers SF Buddy Hield PF Dirk Nowitzki,,John Wall,PG,12.76%,36.75
13,968778373,swimbait,0,320.5,PG Tyreke Evans PF LaMarcus Aldridge UTIL Khris Middleton C Nikola Mirotic SF Marcus Smart SG Shabazz Napier F DeMarre Carroll G Isaiah Canaan,,Tyler Johnson,UTIL,12.71%,29.25
15,968020247,bigmac70 (1/2),0,320,UTIL Tyreke Evans F Kent Bazemore C Myles Turner SF Josh Richardson PF Carmelo Anthony PG Elfrid Payton G Darren Collison SG Nicolas Batum,,Russell Westbrook,PG,12.54%,63
16,968575548,jgAllDay (15/20),0,319.75,SG Tyreke Evans F Khris Middleton PF T.J. Warren C Myles Turner PG Eric Bledsoe UTIL Andrew Wiggins G Shabazz Napier SF Wayne Ellington,,CJ McCollum,PG,12.33%,33.25
17,967658463,csmaniac (13/20),0,319.25,G Tyreke Evans C Nikola Jokic SF Khris Middleton F Draymond Green PG Lonzo Ball UTIL Shabazz Napier SG J.J. Barea PF Brandan Wright,,Kevin Durant,SF,11.77%,33.5
