"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19","2017-12-20","2017-12-22"
"Kevin Durant_GS",0,NA,47.75,NA,45.5,NA,38.25,NA,72.25,NA,NA,65.25,NA,NA,38,65.25
"Russell Westbrook_OKC",NA,NA,69.75,NA,49.25,NA,NA,77.25,NA,NA,55.75,NA,46.25,NA,56,67.75
"Giannis Antetokounmpo_MIL",NA,57.25,NA,50.75,NA,65.25,55.25,NA,49,NA,60.75,NA,53.25,60.5,NA,44.75
"DeMarcus Cousins_NO",NA,NA,42.5,NA,49.25,50,58.75,NA,81,NA,52.75,NA,NA,49.25,NA,54.25
"Anthony Davis_NO",NA,NA,22.25,NA,39.5,0,0,NA,0,NA,49,NA,NA,51.25,NA,39.25
"Victor Oladipo_IND",NA,NA,43.75,NA,65.75,NA,33.75,NA,45.5,NA,36.75,NA,NA,NA,34.75,NA
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA,53.5,57,NA,69.5,56.75,NA,48.5,NA
"Stephen Curry_GS",0,NA,43.75,NA,52.5,NA,58.75,NA,0,NA,NA,0,NA,NA,0,0
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA,40.5,53,NA,51.25,26,NA,36.5,NA
"Kyrie Irving_BOS",NA,NA,NA,47,NA,30,42,NA,35.5,NA,51.25,NA,32,NA,49.5,NA
"John Wall_WAS",NA,0,0,NA,0,NA,0,0,NA,0,25.75,NA,NA,43.5,NA,19
"Nikola Vucevic_ORL",NA,NA,34.25,NA,17.75,NA,34.5,NA,61.5,NA,46,NA,NA,NA,38.5,36.5
"Damian Lillard_POR",NA,NA,NA,35.75,NA,50.75,NA,53,NA,NA,30.75,NA,45.75,NA,30.5,0
"Marc Gasol_MEM",NA,NA,27,NA,45.25,49.5,38.75,NA,34.5,NA,32,NA,54,NA,43.25,NA
"Devin Booker_PHO",NA,54,26.5,NA,NA,50.5,64.5,43.25,NA,0,0,NA,0,NA,0,NA
"Tyreke Evans_MEM",NA,NA,32.75,NA,14.25,63.25,43.25,NA,22.25,NA,0,NA,41.75,NA,30,NA
"Bradley Beal_WAS",NA,21,31.5,NA,18,NA,13.25,59.25,NA,39.5,36.5,NA,NA,44.25,NA,15.5
"CJ McCollum_POR",NA,NA,NA,31.5,NA,26.5,NA,28,NA,NA,41.25,NA,33,NA,30.25,22.75
"LaMarcus Aldridge_SA",NA,NA,53,NA,32,NA,37.5,NA,24.5,42.25,NA,NA,43.5,NA,37,NA
"Khris Middleton_MIL",NA,22,NA,43.75,NA,30.5,42.5,NA,36.75,NA,38.25,NA,38,37,NA,38.75
"Nikola Jokic_DEN",NA,27,NA,19,NA,0,0,NA,0,0,0,NA,NA,NA,35.5,50.25
"Aaron Gordon_ORL",NA,NA,78.75,NA,46.25,NA,30,NA,48.25,NA,0,NA,NA,NA,0,0
"Blake Griffin_LAC",50.25,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0
"Jrue Holiday_NO",NA,NA,42.75,NA,24.5,33.75,50,NA,40.25,NA,36.5,NA,NA,33,NA,38
"DeAndre Jordan_LAC",19.75,NA,NA,31,NA,40.25,NA,NA,47.25,NA,54.5,NA,43.5,NA,39.5,47
"Dwight Howard_CHA",NA,NA,42,NA,18.75,NA,24.25,NA,26.75,NA,55.5,NA,38.25,NA,26.75,5.25
"Al Horford_BOS",NA,NA,NA,42.5,NA,40.75,44.75,NA,50.5,NA,0,NA,33.75,NA,18.5,NA
"Draymond Green_GS",34,NA,50.25,NA,41.25,NA,53.25,NA,0,NA,NA,0,NA,NA,0,40.25
"Paul George_OKC",NA,NA,37.75,NA,62,NA,NA,28.25,NA,NA,27,NA,42.25,NA,35,32.75
"Klay Thompson_GS",36.25,NA,28.75,NA,39.75,NA,31.25,NA,32,NA,NA,31.75,NA,NA,43,24.75
"Lou Williams_LAC",0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0
"Hassan Whiteside_MIA",NA,35.5,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0
"Dennis Schroder_ATL",NA,NA,NA,36.5,NA,38.75,31.25,NA,46.25,23.75,NA,29.25,NA,NA,27.25,0
"Kris Dunn_CHI",NA,48.5,NA,34.75,26,NA,31.5,NA,37,NA,40.75,NA,NA,NA,40,NA
"Lonzo Ball_LAL",20.75,NA,36.5,NA,NA,29.75,NA,NA,NA,43,NA,43.5,NA,NA,37.75,39.75
"Donovan Mitchell_UTA",NA,26.75,NA,36.5,53.5,NA,27.75,48.25,NA,NA,49.75,NA,31.5,NA,0,NA
"D'Angelo Russell_BKN",NA,NA,0,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,0,0
"Kemba Walker_CHA",NA,NA,0,NA,0,NA,50.5,NA,44,NA,27.75,NA,33.5,NA,28.5,47
"Brandon Ingram_LAL",24.75,NA,50.25,NA,NA,24.5,NA,NA,NA,22.75,NA,45,NA,NA,33,21.25
"Jusuf Nurkic_POR",NA,NA,NA,46.75,NA,14,NA,34.25,NA,NA,0,NA,21.25,NA,23.5,9.25
"Kyle Kuzma_LAL",22,NA,0,NA,NA,29,NA,NA,NA,33.5,NA,28.75,NA,NA,58.25,53.5
"Kent Bazemore_ATL",NA,NA,NA,23,NA,22,21.25,NA,23,47,NA,26.25,NA,NA,26.25,27.75
"Rudy Gobert_UTA",NA,0,NA,0,0,NA,26,16,NA,NA,31.25,NA,0,NA,0,NA
"TJ Warren_PHO",NA,38.75,11,NA,NA,37.25,43,10.75,NA,27.75,21.75,NA,25.75,NA,45.5,NA
"Paul Millsap_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,0,0
"Harrison Barnes_DAL",NA,NA,39.5,NA,NA,23.5,40.5,NA,32.25,30.5,NA,29.25,21.25,NA,39.25,25.5
