"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Kevin Durant","SF/PFSFPF","GSW","vs DEN","4th",111.5,11500,26.7,66.7,49.6,1.45,31.4,19,34.3,34.45,43.85,43.85,"%",77,3.8,34,33.5,2.9
"Russell Westbrook","PG","OKC","@ UTA","9th",97.75,11200,36.9,78,55.2,1.55,33.8,20.4,35.7,36.11,54.49,54.49,"%",79,4.9,38,63,5.6
"DeMarcus Cousins","PF/CPFC","NOP","@ MIA","17th",106,10800,31.2,73.8,54.8,1.57,34.3,18.9,34.9,34.4,49.43,49.43,"%",78,4.6,28,44.75,4.1
"Anthony Davis","PF/CPFC","NOP","@ MIA","1st",106,10400,18.5,71.3,48.4,1.39,27.1,16.3,34.8,37,41.14,41.14,"%",69,4,31,39,3.8
"Victor Oladipo","PG/SGPGSG","IND","vs BKN","26th",112,9600,32.4,73.4,42.9,1.26,31.2,18.5,34,35.5,49.95,49.95,"%",73,5.2,42,57,5.9
"Karl-Anthony Towns","C","MIN","@ PHX","29th",112.25,9500,30.3,71.4,43.5,1.23,23.8,14.6,35.3,36.82,47.9,47.9,"%",73,5,38,41.5,4.4
"Jimmy Butler","SG","MIN","@ PHX","24th",112.25,8900,29.6,66.3,38.4,1.05,23.6,15.6,36.7,37.81,45.3,45.3,"%",73,5.1,37,45.5,5.1
"Kyrie Irving","PG","BOS","vs CHI","26th",105.75,8800,28.3,66.1,39.2,1.23,33,18.6,31.8,33.71,44.53,44.53,"%",72,5.1,27,45.25,5.1
"John Wall","PG","WAS","vs ORL","29th",111,8700,27.9,62.6,40.2,1.24,28.7,15.8,32.4,31.3,42.76,42.76,"%",75,4.9,30,36.75,4.2
"Nikola Vucevic","C","ORL","@ WAS","16th",100,8600,26,73.2,40,1.33,25.9,15.3,30.1,33,46.23,46.23,"%",66,5.4,5,2,0.2
"Marc Gasol","C","MEM","vs LAC","26th",98,8200,29.5,64.2,39.9,1.16,28.4,15.6,34.5,36.38,44.38,44.38,"%",75,5.4,34,47.25,5.8
