"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11100,"HOU@OKC 12/25/2017 08:00PM ET",57.589,"HOU"
"SF/PF","LeBron James",11000,"CLE@GS 12/25/2017 03:00PM ET",58.197,"CLE"
"PG","Russell Westbrook",10900,"HOU@OKC 12/25/2017 08:00PM ET",55.409,"OKC"
"SF/PF","Kevin Durant",10500,"CLE@GS 12/25/2017 03:00PM ET",49.054,"GS"
"C","Joel Embiid",9500,"PHI@NY 12/25/2017 12:00PM ET",46.865,"PHI"
"PG/SF","Ben Simmons",9300,"PHI@NY 12/25/2017 12:00PM ET",44.524,"PHI"
"PG/SG","Stephen Curry",9100,"CLE@GS 12/25/2017 03:00PM ET",46.924,"GS"
"PG/SG","Chris Paul",9000,"HOU@OKC 12/25/2017 08:00PM ET",42.953,"HOU"
"C","Karl-Anthony Towns",8900,"MIN@LAL 12/25/2017 10:30PM ET",43.455,"MIN"
"PF/C","Kristaps Porzingis",8600,"PHI@NY 12/25/2017 12:00PM ET",39.99,"NY"
"SG","Jimmy Butler",8400,"MIN@LAL 12/25/2017 10:30PM ET",38.661,"MIN"
"PG","Kyrie Irving",8300,"WAS@BOS 12/25/2017 05:30PM ET",39.397,"BOS"
"PG","John Wall",8000,"WAS@BOS 12/25/2017 05:30PM ET",40.068,"WAS"
"PF/C","Kevin Love",7500,"CLE@GS 12/25/2017 03:00PM ET",38.563,"CLE"
"SF/PF","Kyle Kuzma",7300,"MIN@LAL 12/25/2017 10:30PM ET",30.692,"LAL"
"PF/C","Draymond Green",7200,"CLE@GS 12/25/2017 03:00PM ET",35.981,"GS"
"SG","Bradley Beal",7000,"WAS@BOS 12/25/2017 05:30PM ET",36.682,"WAS"
"PG","Lonzo Ball",6900,"MIN@LAL 12/25/2017 10:30PM ET",33.911,"LAL"
"SF","Paul George",6800,"HOU@OKC 12/25/2017 08:00PM ET",38.226,"OKC"
"PF/C","Al Horford",6700,"WAS@BOS 12/25/2017 05:30PM ET",34.773,"BOS"
"C","Clint Capela",6600,"HOU@OKC 12/25/2017 08:00PM ET",35.134,"HOU"
"SG","Klay Thompson",6400,"CLE@GS 12/25/2017 03:00PM ET",33.394,"GS"
"SG/SF","Brandon Ingram",6300,"MIN@LAL 12/25/2017 10:30PM ET",30.475,"LAL"
"PF/C","Dario Saric",6200,"PHI@NY 12/25/2017 12:00PM ET",27.468,"PHI"
"SF/PF","Robert Covington",6100,"PHI@NY 12/25/2017 12:00PM ET",31.492,"PHI"
"PF/C","Enes Kanter",6100,"PHI@NY 12/25/2017 12:00PM ET",30.44,"NY"
"PG","Jeff Teague",6000,"MIN@LAL 12/25/2017 10:30PM ET",31.138,"MIN"
"PG","Isaiah Thomas",6000,"CLE@GS 12/25/2017 03:00PM ET",0,"CLE"
"SG/SF","Tim Hardaway Jr.",5900,"PHI@NY 12/25/2017 12:00PM ET",31.238,"NY"
"PF/C","Taj Gibson",5800,"MIN@LAL 12/25/2017 10:30PM ET",26.53,"MIN"
"SG/SF","Andrew Wiggins",5700,"MIN@LAL 12/25/2017 10:30PM ET",28.538,"MIN"
"SG","Eric Gordon",5600,"HOU@OKC 12/25/2017 08:00PM ET",27.741,"HOU"
"SF/PF","Carmelo Anthony",5600,"HOU@OKC 12/25/2017 08:00PM ET",30.82,"OKC"
"C","Steven Adams",5500,"HOU@OKC 12/25/2017 08:00PM ET",29.964,"OKC"
"SF/PF","Jayson Tatum",5400,"WAS@BOS 12/25/2017 05:30PM ET",26.806,"BOS"
"SF/PF","Otto Porter Jr.",5300,"WAS@BOS 12/25/2017 05:30PM ET",30.033,"WAS"
"SG/SF","Jaylen Brown",5200,"WAS@BOS 12/25/2017 05:30PM ET",26.848,"BOS"
"SG","Kentavious Caldwell-Pope",5100,"MIN@LAL 12/25/2017 10:30PM ET",28.306,"LAL"
"PF/C","Julius Randle",5000,"MIN@LAL 12/25/2017 10:30PM ET",25.081,"LAL"
"SG/SF","JJ Redick",5000,"PHI@NY 12/25/2017 12:00PM ET",26.911,"PHI"
"SF/PF","Michael Beasley",5000,"PHI@NY 12/25/2017 12:00PM ET",17.99,"NY"
"SG/SF","Trevor Ariza",5000,"HOU@OKC 12/25/2017 08:00PM ET",25.198,"HOU"
"PG/SG","Dwyane Wade",5000,"CLE@GS 12/25/2017 03:00PM ET",24.608,"CLE"
"C","Marcin Gortat",4900,"WAS@BOS 12/25/2017 05:30PM ET",24.75,"WAS"
"PF/C","Jordan Bell",4900,"CLE@GS 12/25/2017 03:00PM ET",15.278,"GS"
"SG/SF","Marcus Smart",4800,"WAS@BOS 12/25/2017 05:30PM ET",24.529,"BOS"
"SG/SF","Courtney Lee",4800,"PHI@NY 12/25/2017 12:00PM ET",24.945,"NY"
"PG/SG","Jordan Clarkson",4700,"MIN@LAL 12/25/2017 10:30PM ET",22.742,"LAL"
"SF/PF","P.J. Tucker",4700,"HOU@OKC 12/25/2017 08:00PM ET",18.298,"HOU"
"SF/PF","Marcus Morris",4600,"WAS@BOS 12/25/2017 05:30PM ET",23.281,"BOS"
"PG","Jarrett Jack",4600,"PHI@NY 12/25/2017 12:00PM ET",20.742,"NY"
"PF/C","Ryan Anderson",4600,"HOU@OKC 12/25/2017 08:00PM ET",21.325,"HOU"
"PF","Mike Scott",4500,"WAS@BOS 12/25/2017 05:30PM ET",16.548,"WAS"
"SG/SF","Kelly Oubre Jr.",4500,"WAS@BOS 12/25/2017 05:30PM ET",22.523,"WAS"
"SF/PF","Larry Nance Jr.",4500,"MIN@LAL 12/25/2017 10:30PM ET",22.313,"LAL"
"PF/C","Richaun Holmes",4500,"PHI@NY 12/25/2017 12:00PM ET",16.861,"PHI"
"SF/PF","Markieff Morris",4400,"WAS@BOS 12/25/2017 05:30PM ET",18.97,"WAS"
"C","Brook Lopez",4400,"MIN@LAL 12/25/2017 10:30PM ET",24.705,"LAL"
"SF/PF","Omri Casspi",4300,"CLE@GS 12/25/2017 03:00PM ET",16.19,"GS"
"PF/C","Trevor Booker",4200,"PHI@NY 12/25/2017 12:00PM ET",21.7,"PHI"
"PG/SG","Terry Rozier",4100,"WAS@BOS 12/25/2017 05:30PM ET",19.347,"BOS"
"SF/PF","Jeff Green",4100,"CLE@GS 12/25/2017 03:00PM ET",19.22,"CLE"
"PG","T.J. McConnell",4000,"PHI@NY 12/25/2017 12:00PM ET",20.074,"PHI"
"SG/SF","J.R. Smith",4000,"CLE@GS 12/25/2017 03:00PM ET",17.766,"CLE"
"SG","Jamal Crawford",3900,"MIN@LAL 12/25/2017 10:30PM ET",15.614,"MIN"
"PF/C","Kyle O'Quinn",3900,"PHI@NY 12/25/2017 12:00PM ET",19.305,"NY"
"PG/SG","Frank Ntilikina",3900,"PHI@NY 12/25/2017 12:00PM ET",15.517,"NY"
"SG/SF","Andre Iguodala",3900,"CLE@GS 12/25/2017 03:00PM ET",18.223,"GS"
"PG/SG","Jerryd Bayless",3800,"PHI@NY 12/25/2017 12:00PM ET",16.442,"PHI"
"PG/SG","Markelle Fultz",3800,"PHI@NY 12/25/2017 12:00PM ET",12.438,"PHI"
"C","Nene Hilario",3800,"HOU@OKC 12/25/2017 08:00PM ET",14.033,"HOU"
"PG","Jose Calderon",3800,"CLE@GS 12/25/2017 03:00PM ET",11.438,"CLE"
"PG/SG","Tomas Satoransky",3700,"WAS@BOS 12/25/2017 05:30PM ET",13.781,"WAS"
"PG","Tim Frazier",3700,"WAS@BOS 12/25/2017 05:30PM ET",12.711,"WAS"
"C","Aron Baynes",3700,"WAS@BOS 12/25/2017 05:30PM ET",14.965,"BOS"
"PG/SG","Josh Hart",3700,"MIN@LAL 12/25/2017 10:30PM ET",10.74,"LAL"
"PF/C","Amir Johnson",3700,"PHI@NY 12/25/2017 12:00PM ET",15.433,"PHI"
"SF/PF","Doug McDermott",3700,"PHI@NY 12/25/2017 12:00PM ET",14.898,"NY"
"SF/PF","Jerami Grant",3700,"HOU@OKC 12/25/2017 08:00PM ET",16.289,"OKC"
"PG/SF","Patrick McCaw",3700,"CLE@GS 12/25/2017 03:00PM ET",9.92,"GS"
"PG/SG","Shaun Livingston",3600,"CLE@GS 12/25/2017 03:00PM ET",11.038,"GS"
"SG/SF","Kyle Korver",3600,"CLE@GS 12/25/2017 03:00PM ET",17.242,"CLE"
"SG/SF","Corey Brewer",3500,"MIN@LAL 12/25/2017 10:30PM ET",7.234,"LAL"
"PF/C","Guillermo Hernangomez",3500,"PHI@NY 12/25/2017 12:00PM ET",11.817,"NY"
"PF/C","David West",3500,"CLE@GS 12/25/2017 03:00PM ET",16.806,"GS"
"SF/PF","Jae Crowder",3500,"CLE@GS 12/25/2017 03:00PM ET",15.75,"CLE"
"PF/C","Tristan Thompson",3500,"CLE@GS 12/25/2017 03:00PM ET",11.981,"CLE"
"C","Ian Mahinmi",3400,"WAS@BOS 12/25/2017 05:30PM ET",10.919,"WAS"
"PF/C","Daniel Theis",3400,"WAS@BOS 12/25/2017 05:30PM ET",12.61,"BOS"
"PG/SG","Tyus Jones",3400,"MIN@LAL 12/25/2017 10:30PM ET",12.333,"MIN"
"PF/C","Gorgui Dieng",3400,"MIN@LAL 12/25/2017 10:30PM ET",16.167,"MIN"
"SG/SF","Damyean Dotson",3400,"PHI@NY 12/25/2017 12:00PM ET",6.056,"NY"
"SG/SF","Andre Roberson",3400,"HOU@OKC 12/25/2017 08:00PM ET",15.411,"OKC"
"SF/PF","Kevon Looney",3400,"CLE@GS 12/25/2017 03:00PM ET",8.298,"GS"
"PG/SG","Iman Shumpert",3400,"CLE@GS 12/25/2017 03:00PM ET",12.192,"CLE"
"PG","Derrick Rose",3400,"CLE@GS 12/25/2017 03:00PM ET",19.786,"CLE"
"PG","Shane Larkin",3300,"WAS@BOS 12/25/2017 05:30PM ET",7.84,"BOS"
"SF/PF","Nemanja Bjelica",3300,"MIN@LAL 12/25/2017 10:30PM ET",13.514,"MIN"
"SG/SF","Shabazz Muhammad",3300,"MIN@LAL 12/25/2017 10:30PM ET",7.25,"MIN"
"SF/PF","Lance Thomas",3300,"PHI@NY 12/25/2017 12:00PM ET",9.284,"NY"
"SG/SF","Timothe Luwawu-Cabarrot",3300,"PHI@NY 12/25/2017 12:00PM ET",10.942,"PHI"
"PG/SG","Ron Baker",3300,"PHI@NY 12/25/2017 12:00PM ET",11,"NY"
"SG/SF","Alex Abrines",3300,"HOU@OKC 12/25/2017 08:00PM ET",9.508,"OKC"
"PF/C","Channing Frye",3300,"CLE@GS 12/25/2017 03:00PM ET",9.4,"CLE"
"C","Zaza Pachulia",3300,"CLE@GS 12/25/2017 03:00PM ET",14.6,"GS"
"SG","Nick Young",3300,"CLE@GS 12/25/2017 03:00PM ET",10.976,"GS"
"SG/SF","Semi Ojeleye",3200,"WAS@BOS 12/25/2017 05:30PM ET",6.279,"BOS"
"C","Ivica Zubac",3200,"MIN@LAL 12/25/2017 10:30PM ET",1.333,"LAL"
"PF/C","Patrick Patterson",3200,"HOU@OKC 12/25/2017 08:00PM ET",8.265,"OKC"
"SF/PF","Luc Richard Mbah a Moute",3200,"HOU@OKC 12/25/2017 08:00PM ET",15.948,"HOU"
"C","JaVale McGee",3200,"CLE@GS 12/25/2017 03:00PM ET",8.732,"GS"
"SG","Jodie Meeks",3100,"WAS@BOS 12/25/2017 05:30PM ET",11.242,"WAS"
"PG","Ramon Sessions",3100,"PHI@NY 12/25/2017 12:00PM ET",10.545,"NY"
"PG/SG","Raymond Felton",3100,"HOU@OKC 12/25/2017 08:00PM ET",13.886,"OKC"
"PG","Quinn Cook",3100,"CLE@GS 12/25/2017 03:00PM ET",7.075,"GS"
"SG","Sheldon Mac",3000,"WAS@BOS 12/25/2017 05:30PM ET",0,"WAS"
"PF/C","Chris McCullough",3000,"WAS@BOS 12/25/2017 05:30PM ET",6.05,"WAS"
"SG","Devin Robinson",3000,"WAS@BOS 12/25/2017 05:30PM ET",0,"WAS"
"PF/C","Jason Smith",3000,"WAS@BOS 12/25/2017 05:30PM ET",6.933,"WAS"
"PF","Mike Young",3000,"WAS@BOS 12/25/2017 05:30PM ET",0,"WAS"
"SG","Jabari Bird",3000,"WAS@BOS 12/25/2017 05:30PM ET",3.667,"BOS"
"PF/C","Guerschon Yabusele",3000,"WAS@BOS 12/25/2017 05:30PM ET",4.654,"BOS"
"SG","Kadeem Allen",3000,"WAS@BOS 12/25/2017 05:30PM ET",2.5,"BOS"
"PF","Abdel Nader",3000,"WAS@BOS 12/25/2017 05:30PM ET",4.547,"BOS"
"SG/SF","Gordon Hayward",3000,"WAS@BOS 12/25/2017 05:30PM ET",3.25,"BOS"
"SG/SF","Anthony Brown",3000,"MIN@LAL 12/25/2017 10:30PM ET",0,"MIN"
"C","Cole Aldrich",3000,"MIN@LAL 12/25/2017 10:30PM ET",1.625,"MIN"
"SG/SF","Marcus Georges-Hunt",3000,"MIN@LAL 12/25/2017 10:30PM ET",1.75,"MIN"
"PG/SG","Aaron Brooks",3000,"MIN@LAL 12/25/2017 10:30PM ET",4.25,"MIN"
