"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,969583381,"Hooligans (12/20)",0,353.75,"PG James Harden C Kevin Love UTIL Klay Thompson PF Enes Kanter SG Eric Gordon F Julius Randle G Jordan Clarkson SF Andre Roberson",NA,"Jordan Clarkson","G","47.50%",42.5
2,971304850,"mamandus (9/20)",0,346,"G James Harden PF Kevin Love C Draymond Green F Paul George UTIL Carmelo Anthony PG Jordan Clarkson SG Josh Hart SF Andre Roberson",NA,"James Harden","PG","37.52%",68.5
3,969343469,"cashakacashtro",0,344.25,"PG Russell Westbrook PF Kevin Love C Al Horford UTIL Enes Kanter SF Carmelo Anthony SG Dwyane Wade G Jordan Clarkson F Jae Crowder",NA,"Eric Gordon","UTIL","35.84%",25.75
4,971380221,"mjchan89",0,341.75,"PG James Harden PF Kevin Love SF Kyle Kuzma C Enes Kanter G Eric Gordon F Courtney Lee UTIL Jamal Crawford SG Josh Hart",NA,"Paul George","UTIL","33.71%",37.75
5,971304849,"mamandus (8/20)",0,338.5,"G James Harden PF Kevin Love C Draymond Green F Paul George UTIL Jayson Tatum PG Jordan Clarkson SG Jamal Crawford SF Andre Roberson",NA,"Steven Adams","C","29.95%",37
6,971304842,"mamandus (1/20)",0,336,"G James Harden PF Kevin Love C Draymond Green F Paul George UTIL Jayson Tatum PG Jordan Clarkson SG Andre Iguodala SF Andre Roberson",NA,"Carmelo Anthony","SF","28.49%",27.25
7,970980021,"scjeez (16/20)",0,335.25,"PF Kevin Durant SF Paul George SG Klay Thompson C Enes Kanter UTIL Steven Adams G JJ Redick F Trevor Ariza PG Jordan Clarkson",NA,"LeBron James","SF","27.03%",34
7,971083192,"NotoriousAD (2/4)",0,335.25,"PG Russell Westbrook F Kevin Love SF Paul George C Enes Kanter UTIL Dwyane Wade PF Julius Randle G Jordan Clarkson SG Jerryd Bayless",NA,"Klay Thompson","SG","26.19%",37.75
9,971304845,"mamandus (4/20)",0,334.5,"G Russell Westbrook PF Kevin Love C Draymond Green F Paul George UTIL Carmelo Anthony PG Jordan Clarkson SG Jamal Crawford SF Andre Roberson",NA,"Josh Hart","PG","22.49%",25
10,970980016,"scjeez (11/20)",0,333.75,"UTIL Kevin Durant F Draymond Green SF Paul George PF Enes Kanter SG JJ Redick G Trevor Ariza PG Jordan Clarkson C Ryan Anderson",NA,"Trevor Ariza","SG","22.21%",28.5
11,968308929,"Fatat01951 (1/2)",0,333.5,"PF Kristaps Porzingis C Kevin Love SF Kyle Kuzma SG Klay Thompson UTIL Enes Kanter F Carmelo Anthony G Jordan Clarkson PG Jerryd Bayless",NA,"Kentavious Caldwell-Pope","G","21.59%",17.25
12,971520300,"jacten12",0,333.25,"PG Russell Westbrook C Kevin Love PF Kyle Kuzma SF Paul George F Carmelo Anthony G Jordan Clarkson UTIL Josh Hart SG Andre Roberson",NA,"Andre Iguodala","G","21.59%",19.5
13,971642910,"rey99",0,333,"PG Russell Westbrook F Kevin Love SG Klay Thompson C Enes Kanter SF Jayson Tatum G Jordan Clarkson PF Ryan Anderson UTIL Markieff Morris",NA,"Russell Westbrook","PG","20.92%",60
14,969477653,"keonip11 (18/20)",0,332.25,"PG Russell Westbrook C Kevin Love SG Klay Thompson PF Enes Kanter UTIL Jeff Teague F Trevor Ariza SF Markieff Morris G Josh Hart",NA,"Julius Randle","F","20.64%",26.75
15,970963466,"nolefan31 (18/20)",0,332,"PG James Harden PF Draymond Green SF Paul George C Taj Gibson UTIL Andrew Wiggins F Otto Porter Jr. G Jordan Clarkson SG Andre Roberson",NA,"Jeff Teague","G","19.35%",31.25
15,971304844,"mamandus (3/20)",0,332,"G Russell Westbrook PF Kevin Love C Draymond Green F Paul George UTIL Carmelo Anthony PG Jordan Clarkson SG Andre Iguodala SF Andre Roberson",NA,"Karl-Anthony Towns","C","17.89%",47.5
17,971690066,"sasmallen (4/8)",0,330.75,"PG James Harden UTIL Clint Capela PF Enes Kanter C Steven Adams SG Eric Gordon F Carmelo Anthony SF Courtney Lee G Jordan Clarkson",NA,"Kyle Kuzma","PF","16.15%",48.75
18,970730407,"Lepitre20",0,329.75,"PG James Harden C Joel Embiid PF Enes Kanter SG Eric Gordon SF Otto Porter Jr. G Jordan Clarkson F Andre Iguodala UTIL Josh Hart",NA,"Courtney Lee","F","15.76%",31.25
19,969477638,"keonip11 (3/20)",0,327.75,"UTIL James Harden F Paul George G Klay Thompson C Enes Kanter SG Eric Gordon PF Otto Porter Jr. SF JJ Redick PG Josh Hart",NA,"Kevin Love","C","15.20%",60
20,969583378,"Hooligans (9/20)",0,326.75,"PG James Harden C Kevin Love PF Enes Kanter SG Eric Gordon SF Carmelo Anthony UTIL Otto Porter Jr. F Julius Randle G Josh Hart",NA,"Gorgui Dieng","PF","14.13%",7.5
21,971490715,"Starlin4MVP (2/3)",0,325.5,"SG James Harden SF Paul George F Enes Kanter C Steven Adams G Eric Gordon PF Otto Porter Jr. UTIL Marcus Smart PG Jordan Clarkson",NA,"Kevin Durant","PF","13.29%",51.75
22,969477637,"keonip11 (2/20)",0,325.25,"UTIL John Wall PF Kevin Love F Paul George C Al Horford G Klay Thompson SG Trevor Ariza SF Courtney Lee PG Jordan Clarkson",NA,"Jayson Tatum","PF","12.00%",22.75
23,971461993,"nymets86 (19/20)",0,325,"C Kevin Love F Kyle Kuzma PF Draymond Green SF Paul George SG Klay Thompson UTIL Steven Adams G Eric Gordon PG Josh Hart",NA,"Jimmy Butler","G","12.00%",44.75
23,971462006,"nymets86 (20/20)",0,325,"C Kevin Love F Kyle Kuzma PF Draymond Green SF Paul George SG Klay Thompson UTIL Steven Adams G Eric Gordon PG Josh Hart",NA,"Kristaps Porzingis","C","11.83%",40.75
