"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,971205855,"RexGrossman (39/150)",0,376.75,"G James Harden C Kevin Love F Draymond Green PF Enes Kanter SF Trevor Ariza UTIL Dwyane Wade PG Jordan Clarkson SG Andre Roberson",NA,"Jordan Clarkson","UTIL","54.69%",42.5
2,971205888,"RexGrossman (72/150)",0,371.75,"G James Harden C Kevin Love F Draymond Green UTIL Enes Kanter SF Trevor Ariza PF Julius Randle PG Jordan Clarkson SG Andre Roberson",NA,"Eric Gordon","SG","43.00%",25.75
3,971205823,"RexGrossman (7/150)",0,369.75,"SG James Harden C Kevin Love F Draymond Green PF Enes Kanter PG Jeff Teague UTIL JJ Redick G Josh Hart SF Andre Roberson",NA,"Paul George","F","36.37%",37.75
4,971205845,"RexGrossman (29/150)",0,369.25,"G James Harden F Kevin Love SG Klay Thompson C Enes Kanter PF Taj Gibson UTIL Dwyane Wade PG Jordan Clarkson SF Andre Roberson",NA,"James Harden","PG","35.96%",68.5
5,971205840,"RexGrossman (24/150)",0,366,"G James Harden C Kevin Love SG Klay Thompson PF Enes Kanter UTIL Taj Gibson F Trevor Ariza PG Jordan Clarkson SF Andre Roberson",NA,"Carmelo Anthony","SF","31.36%",27.25
6,971205854,"RexGrossman (38/150)",0,362,"SG James Harden C Kevin Love F Draymond Green PF Enes Kanter PG Jeff Teague UTIL Dwyane Wade G Josh Hart SF Andre Roberson",NA,"Klay Thompson","G","30.93%",37.75
7,969477533,"keonip11 (122/150)",0,358.75,"SG James Harden C Kevin Love F Draymond Green PF Enes Kanter PG Jeff Teague SF Trevor Ariza G Josh Hart UTIL Andre Roberson",NA,"LeBron James","SF","27.44%",34
7,971205849,"RexGrossman (33/150)",0,358.75,"PG James Harden C Kevin Love F Draymond Green PF Enes Kanter UTIL Jeff Teague SF Trevor Ariza G Josh Hart SG Andre Roberson",NA,"Steven Adams","C","26.74%",37
9,971205886,"RexGrossman (70/150)",0,357,"SG James Harden C Kevin Love F Draymond Green UTIL Enes Kanter PG Jeff Teague PF Julius Randle G Josh Hart SF Andre Roberson",NA,"Josh Hart","SG","25.87%",25
10,969583233,"Hooligans (89/150)",0,353.75,"PG James Harden C Kevin Love UTIL Klay Thompson PF Enes Kanter SG Eric Gordon F Julius Randle G Jordan Clarkson SF Andre Roberson",NA,"Julius Randle","C","24.52%",26.75
11,971471092,"bric75 (27/60)",0,350.5,"G Russell Westbrook PG John Wall PF Enes Kanter C Steven Adams F JJ Redick SG Trevor Ariza SF Courtney Lee UTIL Jordan Clarkson",NA,"Kentavious Caldwell-Pope","G","23.89%",17.25
12,971205819,"RexGrossman (3/150)",0,349.75,"G James Harden PF Kyle Kuzma SG Klay Thompson C Enes Kanter UTIL Jeff Teague F Trevor Ariza PG Jordan Clarkson SF Andre Roberson",NA,"Andre Iguodala","SG","21.93%",19.5
13,970980998,"dodirty13",0,349.5,"PG James Harden F Kevin Love SG Klay Thompson PF Enes Kanter C Steven Adams SF Trevor Ariza G Jordan Clarkson UTIL Patrick McCaw",NA,"Trevor Ariza","SF","21.71%",28.5
14,970881128,"shawnzhan (79/150)",0,349,"F Draymond Green G Bradley Beal SF Paul George C Clint Capela SG Klay Thompson PF Enes Kanter UTIL JJ Redick PG Jordan Clarkson",NA,"Karl-Anthony Towns","C","21.17%",47.5
15,971216855,"pianoclub (115/150)",0,347.25,"UTIL James Harden PF Draymond Green SG Bradley Beal SF Paul George C Enes Kanter G Jordan Clarkson PG Josh Hart F Daniel Theis",NA,"Russell Westbrook","PG","20.86%",60
16,971205829,"RexGrossman (13/150)",0,347,"PG James Harden PF Kevin Love UTIL Kyle Kuzma C Draymond Green SF Trevor Ariza F Courtney Lee G Josh Hart SG Andre Roberson",NA,"Courtney Lee","F","20.28%",31.25
16,971205830,"RexGrossman (14/150)",0,347,"G James Harden PF Kevin Love C Draymond Green UTIL Jeff Teague SF Trevor Ariza F Courtney Lee PG Jordan Clarkson SG Andre Roberson",NA,"Jeff Teague","G","18.90%",31.25
18,971205891,"RexGrossman (75/150)",0,346.75,"PG James Harden F Kevin Love PF Al Horford SG Klay Thompson UTIL Enes Kanter C Julius Randle G Josh Hart SF Andre Roberson",NA,"Kevin Durant","SF","14.26%",51.75
19,971205825,"RexGrossman (9/150)",0,346.5,"G James Harden C Karl-Anthony Towns SG Klay Thompson PF Enes Kanter F Trevor Ariza PG Jordan Clarkson UTIL Markieff Morris SF Andre Roberson",NA,"Kevin Love","PF","13.73%",60
20,971126315,"Awesemo (19/150)",0,345.25,"PG John Wall C Draymond Green SF Paul George SG Klay Thompson PF Enes Kanter G Jeff Teague F Courtney Lee UTIL Jordan Clarkson",NA,"Gorgui Dieng","F","12.54%",7.5
21,969134033,"InflateThis",0,344.75,"G James Harden C Joel Embiid PF Enes Kanter PG Jeff Teague SF Andrew Wiggins SG Jordan Clarkson F Jae Crowder UTIL Andre Roberson",NA,"Otto Porter Jr.","PF","12.30%",33
22,971126398,"Awesemo (102/150)",0,344,"PG John Wall PF Kevin Love F Al Horford SG Klay Thompson C Enes Kanter UTIL Carmelo Anthony SF Trevor Ariza G Jordan Clarkson",NA,"Kristaps Porzingis","C","11.38%",40.75
23,969477545,"keonip11 (134/150)",0,343.25,"SG James Harden PG John Wall C Draymond Green PF Taj Gibson SF Trevor Ariza F Courtney Lee G Jordan Clarkson UTIL Andre Roberson",NA,"Draymond Green","F","11.14%",53
