"James Harden_HOU","LeBron James_CLE","Russell Westbrook_OKC","Kevin Durant_GS","Joel Embiid_PHI","Ben Simmons_PHI","Stephen Curry_GS","Chris Paul_HOU","Karl-Anthony Towns_MIN","Kristaps Porzingis_NY","Jimmy Butler_MIN","Kyrie Irving_BOS","John Wall_WAS","Kevin Love_CLE","Kyle Kuzma_LAL","Draymond Green_GS","Bradley Beal_WAS","Lonzo Ball_LAL","Paul George_OKC","Al Horford_BOS","Clint Capela_HOU","Klay Thompson_GS","Brandon Ingram_LAL","Dario Saric_PHI","Robert Covington_PHI","Enes Kanter_NY","Jeff Teague_MIN","Isaiah Thomas_CLE","Tim Hardaway_NY","Taj Gibson_MIN","Andrew Wiggins_MIN","Eric Gordon_HOU","Carmelo Anthony_OKC","Steven Adams_OKC","Jayson Tatum_BOS","Otto Porter_WAS","Jaylen Brown_BOS","Kentavious Caldwell-Pope_LAL","Julius Randle_LAL","JJ Redick_PHI","Michael Beasley_NY","Trevor Ariza_HOU","Dwyane Wade_CLE","Marcin Gortat_WAS","Jordan Bell_GS","Marcus Smart_BOS","Courtney Lee_NY","Jordan Clarkson_LAL","PJ Tucker_HOU","Marcus Morris_BOS","Jarrett Jack_NY","Ryan Anderson_HOU","Mike Scott_WAS","Kelly Oubre_WAS","Larry Nance_LAL","Richaun Holmes_PHI","Markieff Morris_WAS","Brook Lopez_LAL","Omri Casspi_GS","Trevor Booker_PHI","Terry Rozier_BOS","Jeff Green_CLE","TJ McConnell_PHI","JR Smith_CLE","Jamal Crawford_MIN","Kyle O'Quinn_NY","Frank Ntilikina_NY","Andre Iguodala_GS","Jerryd Bayless_PHI","Markelle Fultz_PHI","Nene Hilario_HOU","Jose Calderon_CLE","Tomas Satoransky_WAS","Tim Frazier_WAS","Aron Baynes_BOS","Josh Hart_LAL","Amir Johnson_PHI","Doug McDermott_NY","Jerami Grant_OKC","Patrick McCaw_GS","Shaun Livingston_GS","Kyle Korver_CLE","Corey Brewer_LAL","Guillermo Hernangomez_NY","David West_GS","Jae Crowder_CLE","Tristan Thompson_CLE","Ian Mahinmi_WAS","Daniel Theis_BOS","Tyus Jones_MIN","Gorgui Dieng_MIN","Damyean Dotson_NY","Andre Roberson_OKC","Kevon Looney_GS","Iman Shumpert_CLE","Derrick Rose_CLE","Shane Larkin_BOS","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Lance Thomas_NY","Timothe Luwawu-Cabarrot_PHI","Ron Baker_NY","Alex Abrines_OKC","Channing Frye_CLE","Zaza Pachulia_GS","Nick Young_GS","Semi Ojeleye_BOS","Ivica Zubac_LAL","Patrick Patterson_OKC","Luc Richard Mbah a Moute_HOU","JaVale McGee_GS","Jodie Meeks_WAS","Ramon Sessions_NY","Raymond Felton_OKC","Quinn Cook_GS","Sheldon Mac_WAS","Chris McCullough_WAS","Devin Robinson_WAS","Jason Smith_WAS","Mike Young_WAS","Jabari Bird_BOS","Guerschon Yabusele_BOS","Kadeem Allen_BOS","Abdel Nader_BOS","Gordon Hayward_BOS","Anthony Brown_MIN","Cole Aldrich_MIN","Marcus Georges-Hunt_MIN","Aaron Brooks_MIN","Justin Patton_MIN","Thomas Bryant_LAL","Vander Blue_LAL","Tyler Ennis_LAL","Luol Deng_LAL","Andrew Bogut_LAL","Alex Caruso_LAL","Jacob Pullen_PHI","Justin Anderson_PHI","James Michael McAdoo_PHI","Furkan Korkmaz_PHI","Luke Kornet_NY","Isaiah Hicks_NY","Joakim Noah_NY","Dakari Johnson_OKC","Daniel Hamilton_OKC","PJ Dozier_OKC","Terrance Ferguson_OKC","Josh Huestis_OKC","Kyle Singler_OKC","Nick Collison_OKC","Briante Weber_HOU","Bobby Brown_HOU","Demetrius Jackson_HOU","Tarik Black_HOU","Troy Williams_HOU","Chinanu Onuaku_HOU","Zhou Qi_HOU","Chris Boucher_GS","Damian Jones_GS","London Perrantes_CLE","John Holland_CLE","Ante Zizic_CLE","Cedi Osman_CLE"
186.25,0,0,0,0,0,0,-300.40625,0,0,0,0,0,0,0,0,0,0,0,0,-130.1875,0,0,0,0,0,0,0,0,0,0,102.53125,0,0,0,0,0,0,0,0,0,69.609375,0,0,0,0,0,0,19.96875,0,0,57.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.78125,0,0,57.5625,0,0,0,0,0,0,0,0,0
0,56.4965277777778,0,0,0,0,0,0,0,0,0,0,0,-6.94010416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.7022569444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.0086805555556,0,3.17274305555556,0,0,0,0,0,0,0,27.6779513888889,0,0,0,0,0,0,0,0,0,12.4600694444444,0,0,0,-6.97743055555556,2.41493055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35590277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.68055555555556,9.51041666666667
0,0,113.892857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62.5848214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6383928571429,41.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.6339285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1160714285714,0,0,0,0,0,0,0,0,0,-13.21875,0,0,0,0,0,-50.6964285714286,0,0,0,0,-24.2544642857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.6116071428571,0,0,-6.14285714285714,-0.147321428571429,0,-17.78125,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,477.78125,0,0,-32.8645833333333,0,0,0,0,0,0,0,0,-164.145833333333,0,0,0,0,0,-52.9973958333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.8359375,0,0,0,0,0,0,0,0,0,0,0,0,0,62.9765625,0,0,0,0,0,0,0,0,10.0598958333333,0,0,0,0,0,0,0,0,0,0,0,-226.364583333333,-31.2473958333333,0,0,0,9.63020833333333,0,0,0,0,0,0,0,0,15.9088541666667,0,0,0,0,0,0,0,0,0,0,-57.5598958333333,-5.80729166666667,0,0,0,0,-49.2916666666667,0,0,0,55.4270833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,748.9,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.075,-65.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76.3,0,0,0,326.25,0,0,34.75,0,0,0,0,0,-81.1,0,0,0,0,0,0,0,-178.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,11.3,259.24375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.61875,65.4625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-136.825,0,0,0,-144.84375,0,0,-28.5875,0,0,0,0,0,55.41875,0,0,0,0,0,0,0,-1.48125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-32.8645833333333,0,0,681.553819444444,0,0,0,0,0,0,0,0,394.600694444444,0,0,0,0,0,2.28298611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110.1171875,0,0,0,0,0,0,0,0,0,0,0,0,0,-168.580729166667,0,0,0,0,0,0,0,0,-25.7986111111111,0,0,0,0,0,0,0,0,0,0,0,-89.8524305555556,-22.2612847222222,0,0,0,-70.8246527777778,0,0,0,0,0,0,0,0,-2.57378472222222,0,0,0,0,0,0,0,0,0,0,143.298611111111,-33.3116319444444,0,0,0,0,-3.40277777777778,0,0,0,-84.4965277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-300.40625,0,0,0,0,0,0,542.29375,0,0,0,0,0,0,0,0,0,0,0,0,251.065625,0,0,0,0,0,0,0,0,0,0,-169.653125,0,0,0,0,0,0,0,0,0,-47.60625,0,0,0,0,0,0,-37.59375,0,0,-130.990625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62.15625,0,0,-121.340625,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,178.583333333333,0,23.9861111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.020833333333,0,0,17.5694444444444,-40.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.15972222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52.2777777777778,-58.2847222222222,0,0,0,0,0,0,0,-0.229166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2222222222222,21.8611111111111,1.71527777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
