"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19","2017-12-20","2017-12-22","2017-12-23"
"James Harden_HOU",NA,NA,59,NA,NA,NA,NA,NA,NA,NA,42,NA,48.5,NA,71.25,73,NA
"LeBron James_CLE",NA,58,NA,59,NA,55.5,44.75,NA,69.75,64.75,NA,68.5,62.25,60.25,NA,NA,NA
"Russell Westbrook_OKC",NA,NA,69.75,NA,49.25,NA,NA,77.25,NA,NA,55.75,NA,46.25,NA,56,67.75,63
"Kevin Durant_GS",0,NA,47.75,NA,45.5,NA,38.25,NA,72.25,NA,NA,65.25,NA,NA,38,65.25,33.5
"Joel Embiid_PHI",NA,NA,58.5,0,NA,38,49.5,NA,NA,58,NA,NA,NA,0,NA,NA,NA
"Ben Simmons_PHI",NA,NA,66,40.5,NA,28.5,51,NA,NA,21.25,NA,NA,NA,47,NA,NA,NA
"Stephen Curry_GS",0,NA,43.75,NA,52.5,NA,58.75,NA,0,NA,NA,0,NA,NA,0,0,0
"Chris Paul_HOU",NA,NA,31,NA,NA,NA,NA,NA,NA,NA,62.75,NA,40.75,NA,20.75,0,NA
"Karl-Anthony Towns_MIN",NA,43.75,27,NA,39.75,NA,27.75,NA,53.5,57,NA,69.5,56.75,NA,48.5,NA,41.5
"Kristaps Porzingis_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Jimmy Butler_MIN",NA,45.25,30,NA,45.25,NA,48,NA,40.5,53,NA,51.25,26,NA,36.5,NA,45.5
"Kyrie Irving_BOS",NA,NA,NA,47,NA,30,42,NA,35.5,NA,51.25,NA,32,NA,49.5,NA,45.25
"John Wall_WAS",NA,0,0,NA,0,NA,0,0,NA,0,25.75,NA,NA,43.5,NA,19,36.75
