"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,972759560,"seminoles23",0,299.5,"G Kyle Lowry SG Devin Booker PG Donovan Mitchell C Pau Gasol PF Harrison Barnes SF Tobias Harris F Wayne Ellington UTIL Bismack Biyombo",NA,"Bismack Biyombo","PF","66.78%",27.5
2,972525155,"Samsonmicah",0,298.5,"SG Tyreke Evans G Kris Dunn SF Josh Richardson F Pau Gasol PF Rondae Hollis-Jefferson PG Tyler Johnson UTIL Willie Cauley-Stein C Bam Adebayo",NA,"Giannis Antetokounmpo","SF","63.00%",45.25
3,972527645,"E-z_PiCK_JETS",0,293.5,"PG Kyle Lowry SG Eric Bledsoe PF Pau Gasol SF Tobias Harris C Derrick Favors F Serge Ibaka UTIL Willie Cauley-Stein G Manu Ginobili",NA,"Nikola Jokic","UTIL","57.56%",31.25
4,972692246,"zanelane (17/20)",0,288,"UTIL Giannis Antetokounmpo C Andre Drummond SF Tobias Harris F Rondae Hollis-Jefferson PG J.J. Barea PF Dirk Nowitzki G Allen Crabbe SG Wayne Ellington",NA,"Andrew Harrison","SG","54.91%",22.5
5,972757165,"SundayFunday (19/20)",0,287.75,"UTIL Giannis Antetokounmpo C Andre Drummond PG Elfrid Payton F Willie Cauley-Stein SG J.J. Barea G George Hill SF Wayne Ellington PF Bismack Biyombo",NA,"Wayne Ellington","F","51.99%",34
6,972692233,"zanelane (4/20)",0,287,"SF Giannis Antetokounmpo C Andre Drummond UTIL Kelly Olynyk F Rondae Hollis-Jefferson PG J.J. Barea PF Dirk Nowitzki G Allen Crabbe SG Wayne Ellington",NA,"George Hill","PG","38.66%",25
7,972260341,"pepethepatriots",0,286,"C Andre Drummond PG Eric Bledsoe G Elfrid Payton PF Nikola Mirotic UTIL Pau Gasol SG Justin Holiday F Bobby Portis SF Wayne Ellington",NA,"Lou Williams","G","31.76%",31.25
8,972375328,"TMontgomery254",0,281.5,"C Nikola Jokic SG Eric Bledsoe G Kris Dunn PG Goran Dragic SF Tobias Harris PF Kelly Olynyk F Wilson Chandler UTIL Bojan Bogdanovic",NA,"Wilson Chandler","PF","29.43%",26.25
9,972305989,"Nortdal",0,280.75,"G Tyreke Evans PF LaMarcus Aldridge UTIL Kyle Lowry F Josh Richardson C Kelly Olynyk PG Garrett Temple SF Wayne Ellington SG Reggie Bullock",NA,"Milos Teodosic","UTIL","27.50%",28.5
9,972511886,"mercedes20 (3/3)",0,280.75,"UTIL Marc Gasol PG Kyle Lowry SF Josh Richardson F Pau Gasol PF Serge Ibaka C Jonas Valanciunas G J.J. Barea SG George Hill",NA,"Andre Drummond","C","24.34%",50
9,972793644,"Peytonmanics (5/5)",0,280.75,"C Andre Drummond SG Tyreke Evans G Eric Bledsoe PG Elfrid Payton UTIL Rondae Hollis-Jefferson F Dirk Nowitzki SF Reggie Bullock PF Bismack Biyombo",NA,"Tyreke Evans","G","23.86%",43.25
12,972764345,"mayor0257 (2/9)",0,280.5,"C Andre Drummond PG Kyle Lowry G Eric Bledsoe PF Pau Gasol UTIL Jonas Valanciunas SG Buddy Hield SF Wilson Chandler F Bam Adebayo",NA,"Marc Gasol","C","21.23%",33.5
12,972772632,"mayor0257 (5/9)",0,280.5,"C Andre Drummond PG Kyle Lowry G Eric Bledsoe PF Pau Gasol UTIL Jonas Valanciunas SG Buddy Hield SF Wilson Chandler F Bam Adebayo",NA,"Zach Randolph","C","20.58%",21.75
12,972772641,"mayor0257 (6/9)",0,280.5,"C Andre Drummond PG Kyle Lowry G Eric Bledsoe PF Pau Gasol UTIL Jonas Valanciunas SG Buddy Hield SF Wilson Chandler F Bam Adebayo",NA,"J.J. Barea","SG","19.95%",29.75
15,972506369,"Malcheesecake",0,279.25,"PG Eric Bledsoe UTIL Donovan Mitchell SG Josh Richardson PF Pau Gasol SF Tobias Harris F Willie Cauley-Stein C Domantas Sabonis G Malcolm Brogdon",NA,"Austin Rivers","PG","17.08%",17.5
16,972783609,"RockyLodema",0,278.5,"C Marc Gasol UTIL Tyreke Evans G Donovan Mitchell SF Josh Richardson PF Willie Cauley-Stein PG J.J. Barea F Dirk Nowitzki SG Wayne Ellington",NA,"Elfrid Payton","PG","15.53%",39
17,972757163,"SundayFunday (17/20)",0,278,"C Andre Drummond UTIL DeAndre Jordan PG Lou Williams SF Harrison Barnes PF Willie Cauley-Stein SG J.J. Barea G Milos Teodosic F Wayne Ellington",NA,"Serge Ibaka","F","11.44%",32.5
18,972757160,"SundayFunday (14/20)",0,277.75,"F Giannis Antetokounmpo C Andre Drummond PG Elfrid Payton SG J.J. Barea UTIL Milos Teodosic PF Wilson Chandler G George Hill SF Wayne Ellington",NA,"DeAndre Jordan","C","11.16%",35.75
19,972587406,"TylerJMusic",0,277.25,"C Andre Drummond SG Tyreke Evans PG Lou Williams UTIL Tobias Harris PF Serge Ibaka SF Wilson Chandler G Andrew Harrison F Bismack Biyombo",NA,"Justin Holiday","SF","9.90%",22.25
19,972765527,"mattwellin",0,277.25,"C Andre Drummond PG Tyreke Evans SF Khris Middleton PF Derrick Favors UTIL Willie Cauley-Stein G Milos Teodosic SG Wayne Ellington F Bismack Biyombo",NA,"Buddy Hield","SF","9.51%",12
21,972674239,"blocks07",0,276.75,"UTIL Andre Drummond PG Tyreke Evans G Elfrid Payton SG Austin Rivers C Pau Gasol F Willie Cauley-Stein PF Bismack Biyombo SF James Ennis III",NA,"Tyler Johnson","SG","9.40%",29
22,972445612,"jfryrapap (1/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Eric Bledsoe","PG","8.31%",39.25
22,972445613,"jfryrapap (2/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Willie Cauley-Stein","F","8.14%",37.25
22,972445614,"jfryrapap (3/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Rondae Hollis-Jefferson","F","7.94%",27
22,972445615,"jfryrapap (4/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Donovan Mitchell","SG","7.81%",27.25
22,972445616,"jfryrapap (5/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Harrison Barnes","SF","7.64%",31.5
22,972445617,"jfryrapap (6/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Victor Oladipo","PG","7.57%",26.75
22,972445618,"jfryrapap (7/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Derrick Favors","C","6.98%",30.5
22,972445619,"jfryrapap (8/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"James Ennis III","G","6.46%",20.75
22,972445620,"jfryrapap (9/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Josh Richardson","SF","6.40%",37.75
22,972445621,"jfryrapap (10/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Spencer Dinwiddie","G","5.24%",23.5
22,972445622,"jfryrapap (11/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Myles Turner","UTIL","5.22%",17.75
22,972445623,"jfryrapap (12/20)",0,276.5,"SF Giannis Antetokounmpo UTIL Tyreke Evans C Nikola Jokic G Kris Dunn PG Andrew Harrison F Wayne Ellington PF Bismack Biyombo SG James Ennis III",NA,"Khris Middleton","G","4.39%",26.25
