"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,972417676,"seekanddestroy6 (1/3)",0,309.75,"C Andre Drummond UTIL Marc Gasol G Kris Dunn PG Elfrid Payton SF Tobias Harris SG J.J. Barea F Wayne Ellington PF Bismack Biyombo",NA,"Bismack Biyombo","C","30.84%",27.5
2,972675143,"trap4 (9/11)",0,307.25,"C Andre Drummond UTIL DeAndre Jordan SG Kris Dunn PG Elfrid Payton PF Tobias Harris G George Hill SF Wayne Ellington F Bismack Biyombo",NA,"Nikola Jokic","C","27.48%",31.25
3,972308030,"snookybiz (1/2)",0,302.75,"SG Devin Booker UTIL Donovan Mitchell PG Kris Dunn SF Josh Richardson F Nikola Mirotic PF Willie Cauley-Stein G Malcolm Brogdon C Bam Adebayo",NA,"Giannis Antetokounmpo","PF","27.06%",45.25
4,972716052,"vpatel22346 (4/4)",0,302.25,"PG Tyreke Evans SG Kris Dunn G Elfrid Payton PF Pau Gasol SF Harrison Barnes F Tobias Harris C Jonas Valanciunas UTIL Bojan Bogdanovic",NA,"Wayne Ellington","F","25.53%",34
5,972653781,"dichiarom2 (2/2)",0,301,"PG Tyreke Evans G Kyle Lowry SG Josh Richardson SF Tobias Harris PF Derrick Favors F Willie Cauley-Stein UTIL Jonas Valanciunas C Bismack Biyombo",NA,"Lou Williams","SG","24.53%",31.25
6,972675141,"trap4 (7/11)",0,300.75,"C Andre Drummond UTIL DeAndre Jordan PG Kris Dunn PF Harrison Barnes SF Tobias Harris G Milos Teodosic SG George Hill F Wayne Ellington",NA,"Tyreke Evans","SG","22.86%",43.25
7,972749774,"JJD1973 (19/20)",0,298.75,"C Andre Drummond UTIL DeAndre Jordan G Elfrid Payton SF Tobias Harris PF Kelly Olynyk PG Reggie Jackson F Allen Crabbe SG Wayne Ellington",NA,"Austin Rivers","PG","22.67%",17.5
8,972381749,"bobbyb28",0,298.5,"PG Kyle Lowry SG Kris Dunn PF Nikola Mirotic F Pau Gasol SF Harrison Barnes UTIL Serge Ibaka G Justin Holiday C Dirk Nowitzki",NA,"Andre Drummond","C","21.93%",50
9,972455333,"simpsonblake28 (1/3)",0,298.25,"UTIL Kris Dunn SF Josh Richardson PG Elfrid Payton G Austin Rivers C Pau Gasol SG Spencer Dinwiddie PF Tobias Harris F Maxi Kleber",NA,"Andrew Harrison","UTIL","21.77%",22.5
9,972741911,"kevin914",0,298.25,"C Andre Drummond PG Eric Bledsoe SG Kris Dunn G Elfrid Payton SF Tobias Harris UTIL Reggie Jackson F Bojan Bogdanovic PF Bismack Biyombo",NA,"Zach Randolph","PF","20.57%",21.75
