"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Joel Embiid",9600,"PHI@POR 12/28/2017 10:30PM ET",47.19,"PHI"
"PG/SF","Ben Simmons",8700,"PHI@POR 12/28/2017 10:30PM ET",43.93,"PHI"
"PG","Damian Lillard",8400,"PHI@POR 12/28/2017 10:30PM ET",44.129,"POR"
"PF/C","Kristaps Porzingis",7900,"NY@SA 12/28/2017 08:30PM ET",40.036,"NY"
"PF/C","LaMarcus Aldridge",7800,"NY@SA 12/28/2017 08:30PM ET",38.801,"SA"
"PG/SG","CJ McCollum",7000,"PHI@POR 12/28/2017 10:30PM ET",32.969,"POR"
"PF/C","Enes Kanter",6900,"NY@SA 12/28/2017 08:30PM ET",31.032,"NY"
"PF/C","Pau Gasol",6700,"NY@SA 12/28/2017 08:30PM ET",28.818,"SA"
"C","Jusuf Nurkic",6300,"PHI@POR 12/28/2017 10:30PM ET",29.058,"POR"
"PF/C","Dario Saric",6000,"PHI@POR 12/28/2017 10:30PM ET",27.148,"PHI"
"SF/PF","Kawhi Leonard",6000,"NY@SA 12/28/2017 08:30PM ET",23.65,"SA"
"SF/PF","Robert Covington",5900,"PHI@POR 12/28/2017 10:30PM ET",31.129,"PHI"
"SG/SF","Tim Hardaway Jr.",5800,"NY@SA 12/28/2017 08:30PM ET",31.238,"NY"
"SG/SF","JJ Redick",5200,"PHI@POR 12/28/2017 10:30PM ET",27.345,"PHI"
"SG/SF","Courtney Lee",4900,"NY@SA 12/28/2017 08:30PM ET",25.257,"NY"
"SF/PF","Al-Farouq Aminu",4800,"PHI@POR 12/28/2017 10:30PM ET",22.5,"POR"
"SF/PF","Rudy Gay",4700,"NY@SA 12/28/2017 08:30PM ET",22.75,"SA"
"SG/SF","Danny Green",4600,"NY@SA 12/28/2017 08:30PM ET",20.871,"SA"
"SF/PF","Michael Beasley",4400,"NY@SA 12/28/2017 08:30PM ET",17.973,"NY"
"PG","Jarrett Jack",4300,"NY@SA 12/28/2017 08:30PM ET",20.758,"NY"
"PG/SF","Kyle Anderson",4300,"NY@SA 12/28/2017 08:30PM ET",23.157,"SA"
"PG","T.J. McConnell",4200,"PHI@POR 12/28/2017 10:30PM ET",20.491,"PHI"
"PG/SG","Shabazz Napier",4200,"PHI@POR 12/28/2017 10:30PM ET",15.857,"POR"
"PF/C","Richaun Holmes",4200,"PHI@POR 12/28/2017 10:30PM ET",16.861,"PHI"
"PG","Tony Parker",4200,"NY@SA 12/28/2017 08:30PM ET",18.771,"SA"
"SG/SF","Manu Ginobili",4100,"NY@SA 12/28/2017 08:30PM ET",16.819,"SA"
"PF/C","Trevor Booker",4000,"PHI@POR 12/28/2017 10:30PM ET",21.202,"PHI"
"PG","Dejounte Murray",4000,"NY@SA 12/28/2017 08:30PM ET",17.985,"SA"
"PG/SG","Jerryd Bayless",3800,"PHI@POR 12/28/2017 10:30PM ET",16.426,"PHI"
"SG/SF","Evan Turner",3800,"PHI@POR 12/28/2017 10:30PM ET",17.417,"POR"
"PG/SG","Markelle Fultz",3800,"PHI@POR 12/28/2017 10:30PM ET",12.438,"PHI"
"PG","Patty Mills",3800,"NY@SA 12/28/2017 08:30PM ET",18.6,"SA"
"PF/C","Kyle O'Quinn",3800,"NY@SA 12/28/2017 08:30PM ET",19.103,"NY"
"PF/C","Amir Johnson",3700,"PHI@POR 12/28/2017 10:30PM ET",15.242,"PHI"
"PG/SG","Frank Ntilikina",3700,"NY@SA 12/28/2017 08:30PM ET",15.556,"NY"
"PF/C","Ed Davis",3600,"PHI@POR 12/28/2017 10:30PM ET",15.962,"POR"
"PF/C","Zach Collins",3600,"PHI@POR 12/28/2017 10:30PM ET",9.632,"POR"
"SF/PF","Maurice Harkless",3500,"PHI@POR 12/28/2017 10:30PM ET",13.657,"POR"
"SF/PF","Doug McDermott",3500,"NY@SA 12/28/2017 08:30PM ET",14.507,"NY"
"SG","Brandon Paul",3400,"NY@SA 12/28/2017 08:30PM ET",8.225,"SA"
"SF/PF","Davis Bertans",3400,"NY@SA 12/28/2017 08:30PM ET",9.008,"SA"
"PG/SG","Bryn Forbes",3400,"NY@SA 12/28/2017 08:30PM ET",11.456,"SA"
"PF/C","Guillermo Hernangomez",3400,"NY@SA 12/28/2017 08:30PM ET",11.817,"NY"
"SG/SF","Timothe Luwawu-Cabarrot",3300,"PHI@POR 12/28/2017 10:30PM ET",10.942,"PHI"
"SF/PF","Lance Thomas",3300,"NY@SA 12/28/2017 08:30PM ET",9.282,"NY"
"PG/SG","Ron Baker",3300,"NY@SA 12/28/2017 08:30PM ET",10.7,"NY"
"SG/SF","Damyean Dotson",3300,"NY@SA 12/28/2017 08:30PM ET",6.056,"NY"
"PF/C","Meyers Leonard",3200,"PHI@POR 12/28/2017 10:30PM ET",10.563,"POR"
"SG/SF","Pat Connaughton",3200,"PHI@POR 12/28/2017 10:30PM ET",11.455,"POR"
"PF/C","Noah Vonleh",3100,"PHI@POR 12/28/2017 10:30PM ET",14.174,"POR"
"PF","Caleb Swanigan",3100,"PHI@POR 12/28/2017 10:30PM ET",7.233,"POR"
"PG","Jacob Pullen",3000,"PHI@POR 12/28/2017 10:30PM ET",0.5,"PHI"
"SG/SF","CJ Wilcox",3000,"PHI@POR 12/28/2017 10:30PM ET",0,"POR"
"PF","James Michael McAdoo",3000,"PHI@POR 12/28/2017 10:30PM ET",3.5,"PHI"
"SG/SF","Justin Anderson",3000,"PHI@POR 12/28/2017 10:30PM ET",9.875,"PHI"
"SF/PF","Jake Layman",3000,"PHI@POR 12/28/2017 10:30PM ET",3.732,"POR"
"PG/SG","Wade Baldwin IV",3000,"PHI@POR 12/28/2017 10:30PM ET",0,"POR"
"SG/SF","Furkan Korkmaz",3000,"PHI@POR 12/28/2017 10:30PM ET",3.583,"PHI"
"C","Joakim Noah",3000,"NY@SA 12/28/2017 08:30PM ET",7.188,"NY"
"PG","Ramon Sessions",3000,"NY@SA 12/28/2017 08:30PM ET",10.545,"NY"
"SG/SF","Darrun Hilliard",3000,"NY@SA 12/28/2017 08:30PM ET",3.3,"SA"
"PF","Matt Costello",3000,"NY@SA 12/28/2017 08:30PM ET",12.25,"SA"
"PF/C","Joffrey Lauvergne",3000,"NY@SA 12/28/2017 08:30PM ET",9.6,"SA"
"PF","Luke Kornet",3000,"NY@SA 12/28/2017 08:30PM ET",0,"NY"
"PF/C","Isaiah Hicks",3000,"NY@SA 12/28/2017 08:30PM ET",0,"NY"
"PG","Derrick White",3000,"NY@SA 12/28/2017 08:30PM ET",6.65,"SA"
