"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11400,"HOU@BOS 12/28/2017 08:00PM ET",57.93,"HOU"
"SF/PF","Giannis Antetokounmpo",10900,"MIN@MIL 12/28/2017 08:00PM ET",55.3,"MIL"
"C","Joel Embiid",9600,"PHI@POR 12/28/2017 10:30PM ET",47.19,"PHI"
"C","Andre Drummond",9400,"DET@ORL 12/28/2017 07:00PM ET",43.189,"DET"
"C","Karl-Anthony Towns",8900,"MIN@MIL 12/28/2017 08:00PM ET",43.707,"MIN"
"PG/SG","Chris Paul",8800,"HOU@BOS 12/28/2017 08:00PM ET",42.953,"HOU"
"PG/SF","Ben Simmons",8700,"PHI@POR 12/28/2017 10:30PM ET",43.93,"PHI"
"PG","Damian Lillard",8400,"PHI@POR 12/28/2017 10:30PM ET",44.129,"POR"
"PG","Kyrie Irving",8000,"HOU@BOS 12/28/2017 08:00PM ET",39.125,"BOS"
"C","Nikola Vucevic",7900,"DET@ORL 12/28/2017 07:00PM ET",38.89,"ORL"
"PF/C","Kristaps Porzingis",7900,"NY@SA 12/28/2017 08:30PM ET",40.036,"NY"
"PF/C","LaMarcus Aldridge",7800,"NY@SA 12/28/2017 08:30PM ET",38.801,"SA"
"SG","Jimmy Butler",7700,"MIN@MIL 12/28/2017 08:00PM ET",39.326,"MIN"
"SF/PF","Aaron Gordon",7600,"DET@ORL 12/28/2017 07:00PM ET",35.904,"ORL"
"SG/SF","Khris Middleton",7500,"MIN@MIL 12/28/2017 08:00PM ET",36.531,"MIL"
"PF/C","Al Horford",7100,"HOU@BOS 12/28/2017 08:00PM ET",35,"BOS"
"PG/SG","Eric Bledsoe",7100,"MIN@MIL 12/28/2017 08:00PM ET",33.77,"MIL"
"PG/SG","CJ McCollum",7000,"PHI@POR 12/28/2017 10:30PM ET",32.969,"POR"
"PF/C","Enes Kanter",6900,"NY@SA 12/28/2017 08:30PM ET",31.032,"NY"
"PG","Elfrid Payton",6800,"DET@ORL 12/28/2017 07:00PM ET",29.394,"ORL"
"PF/C","Pau Gasol",6700,"NY@SA 12/28/2017 08:30PM ET",28.818,"SA"
"SF/PF","Tobias Harris",6600,"DET@ORL 12/28/2017 07:00PM ET",30,"DET"
"C","Clint Capela",6500,"HOU@BOS 12/28/2017 08:00PM ET",35.233,"HOU"
"SG/SF","Jonathon Simmons",6400,"DET@ORL 12/28/2017 07:00PM ET",24.121,"ORL"
"C","Jusuf Nurkic",6300,"PHI@POR 12/28/2017 10:30PM ET",29.058,"POR"
"PG","Jeff Teague",6100,"MIN@MIL 12/28/2017 08:00PM ET",31.371,"MIN"
"PF/C","Dario Saric",6000,"PHI@POR 12/28/2017 10:30PM ET",27.148,"PHI"
"SF/PF","Kawhi Leonard",6000,"NY@SA 12/28/2017 08:30PM ET",23.65,"SA"
"SF/PF","Robert Covington",5900,"PHI@POR 12/28/2017 10:30PM ET",31.129,"PHI"
"SG","Eric Gordon",5800,"HOU@BOS 12/28/2017 08:00PM ET",27.675,"HOU"
"SG/SF","Tim Hardaway Jr.",5800,"NY@SA 12/28/2017 08:30PM ET",31.238,"NY"
"PF/C","Taj Gibson",5700,"MIN@MIL 12/28/2017 08:00PM ET",26.907,"MIN"
"SG/SF","Andrew Wiggins",5600,"MIN@MIL 12/28/2017 08:00PM ET",28.571,"MIN"
"SF/PF","Jayson Tatum",5500,"HOU@BOS 12/28/2017 08:00PM ET",26.816,"BOS"
"PG","Reggie Jackson",5400,"DET@ORL 12/28/2017 07:00PM ET",27.129,"DET"
"SG/SF","Evan Fournier",5400,"DET@ORL 12/28/2017 07:00PM ET",29.361,"ORL"
"SG/SF","Trevor Ariza",5300,"HOU@BOS 12/28/2017 08:00PM ET",25.308,"HOU"
"SG/SF","Jaylen Brown",5200,"HOU@BOS 12/28/2017 08:00PM ET",26.61,"BOS"
"SG/SF","JJ Redick",5200,"PHI@POR 12/28/2017 10:30PM ET",27.345,"PHI"
"SG/SF","Marcus Smart",5100,"HOU@BOS 12/28/2017 08:00PM ET",24.146,"BOS"
"SF/PF","Jabari Parker",5000,"MIN@MIL 12/28/2017 08:00PM ET",0,"MIL"
"PF/C","Ryan Anderson",4900,"HOU@BOS 12/28/2017 08:00PM ET",21.29,"HOU"
"PG","Ish Smith",4900,"DET@ORL 12/28/2017 07:00PM ET",18.28,"DET"
"SG/SF","Courtney Lee",4900,"NY@SA 12/28/2017 08:30PM ET",25.257,"NY"
"SF/PF","Al-Farouq Aminu",4800,"PHI@POR 12/28/2017 10:30PM ET",22.5,"POR"
"PG/SG","Avery Bradley",4800,"DET@ORL 12/28/2017 07:00PM ET",24.268,"DET"
"C","John Henson",4800,"MIN@MIL 12/28/2017 08:00PM ET",21.677,"MIL"
"PG/SG","Malcolm Brogdon",4800,"MIN@MIL 12/28/2017 08:00PM ET",24.395,"MIL"
"SF/PF","P.J. Tucker",4700,"HOU@BOS 12/28/2017 08:00PM ET",18.227,"HOU"
"SF/PF","Rudy Gay",4700,"NY@SA 12/28/2017 08:30PM ET",22.75,"SA"
"SF/PF","Marcus Morris",4600,"HOU@BOS 12/28/2017 08:00PM ET",22.412,"BOS"
"PF/C","Bismack Biyombo",4600,"DET@ORL 12/28/2017 07:00PM ET",12.393,"ORL"
"SG/SF","Danny Green",4600,"NY@SA 12/28/2017 08:30PM ET",20.871,"SA"
"SG","Mario Hezonja",4500,"DET@ORL 12/28/2017 07:00PM ET",12.098,"ORL"
"SF/PF","Michael Beasley",4400,"NY@SA 12/28/2017 08:30PM ET",17.973,"NY"
"PG/SG","Terry Rozier",4300,"HOU@BOS 12/28/2017 08:00PM ET",20.007,"BOS"
"PG/SF","Kyle Anderson",4300,"NY@SA 12/28/2017 08:30PM ET",23.157,"SA"
"PG","Jarrett Jack",4300,"NY@SA 12/28/2017 08:30PM ET",20.758,"NY"
"PG","T.J. McConnell",4200,"PHI@POR 12/28/2017 10:30PM ET",20.491,"PHI"
"PF/C","Richaun Holmes",4200,"PHI@POR 12/28/2017 10:30PM ET",16.861,"PHI"
"PG/SG","Shabazz Napier",4200,"PHI@POR 12/28/2017 10:30PM ET",15.857,"POR"
"PG","Tony Parker",4200,"NY@SA 12/28/2017 08:30PM ET",18.771,"SA"
"SG/SF","Stanley Johnson",4100,"DET@ORL 12/28/2017 07:00PM ET",17.167,"DET"
"SG/SF","Manu Ginobili",4100,"NY@SA 12/28/2017 08:30PM ET",16.819,"SA"
"PF/C","Trevor Booker",4000,"PHI@POR 12/28/2017 10:30PM ET",21.202,"PHI"
"SG/SF","Reggie Bullock",4000,"DET@ORL 12/28/2017 07:00PM ET",11.303,"DET"
"PG","Dejounte Murray",4000,"NY@SA 12/28/2017 08:30PM ET",17.985,"SA"
"C","Nene Hilario",3900,"HOU@BOS 12/28/2017 08:00PM ET",14.042,"HOU"
"PG/SG","Jerryd Bayless",3800,"PHI@POR 12/28/2017 10:30PM ET",16.426,"PHI"
"PG/SG","Markelle Fultz",3800,"PHI@POR 12/28/2017 10:30PM ET",12.438,"PHI"
"SG/SF","Evan Turner",3800,"PHI@POR 12/28/2017 10:30PM ET",17.417,"POR"
"PF/C","Marreese Speights",3800,"DET@ORL 12/28/2017 07:00PM ET",12.22,"ORL"
"PG/SG","Langston Galloway",3800,"DET@ORL 12/28/2017 07:00PM ET",12,"DET"
"SF/PF","Anthony Tolliver",3800,"DET@ORL 12/28/2017 07:00PM ET",14.033,"DET"
"SG","Jamal Crawford",3800,"MIN@MIL 12/28/2017 08:00PM ET",15.9,"MIN"
"PF/C","Kyle O'Quinn",3800,"NY@SA 12/28/2017 08:30PM ET",19.103,"NY"
"PG","Patty Mills",3800,"NY@SA 12/28/2017 08:30PM ET",18.6,"SA"
"PF/C","Daniel Theis",3700,"HOU@BOS 12/28/2017 08:00PM ET",12.625,"BOS"
"PF/C","Amir Johnson",3700,"PHI@POR 12/28/2017 10:30PM ET",15.242,"PHI"
"PG/SG","D.J. Augustin",3700,"DET@ORL 12/28/2017 07:00PM ET",16.964,"ORL"
"SG/SF","Tony Snell",3700,"MIN@MIL 12/28/2017 08:00PM ET",16.019,"MIL"
"PG/SG","Frank Ntilikina",3700,"NY@SA 12/28/2017 08:30PM ET",15.556,"NY"
"PF/C","Zach Collins",3600,"PHI@POR 12/28/2017 10:30PM ET",9.632,"POR"
"PF/C","Ed Davis",3600,"PHI@POR 12/28/2017 10:30PM ET",15.962,"POR"
"SG","Luke Kennard",3600,"DET@ORL 12/28/2017 07:00PM ET",11.205,"DET"
"PF","Adreian Payne",3600,"DET@ORL 12/28/2017 07:00PM ET",6.042,"ORL"
"PF/C","Gorgui Dieng",3600,"MIN@MIL 12/28/2017 08:00PM ET",15.898,"MIN"
"C","Aron Baynes",3500,"HOU@BOS 12/28/2017 08:00PM ET",14.901,"BOS"
"SF/PF","Maurice Harkless",3500,"PHI@POR 12/28/2017 10:30PM ET",13.657,"POR"
"SG/SF","Terrence Ross",3500,"DET@ORL 12/28/2017 07:00PM ET",18.795,"ORL"
"SF/PF","Doug McDermott",3500,"NY@SA 12/28/2017 08:30PM ET",14.507,"NY"
"PF/C","Tarik Black",3400,"HOU@BOS 12/28/2017 08:00PM ET",7.708,"HOU"
"PG/SG","Shelvin Mack",3400,"DET@ORL 12/28/2017 07:00PM ET",13.538,"ORL"
"SG/SF","Arron Afflalo",3400,"DET@ORL 12/28/2017 07:00PM ET",5.471,"ORL"
"PG/SG","Tyus Jones",3400,"MIN@MIL 12/28/2017 08:00PM ET",12.507,"MIN"
"PF/C","Guillermo Hernangomez",3400,"NY@SA 12/28/2017 08:30PM ET",11.817,"NY"
"SF/PF","Davis Bertans",3400,"NY@SA 12/28/2017 08:30PM ET",9.008,"SA"
"SG","Brandon Paul",3400,"NY@SA 12/28/2017 08:30PM ET",8.225,"SA"
"PG/SG","Bryn Forbes",3400,"NY@SA 12/28/2017 08:30PM ET",11.456,"SA"
"PG","Shane Larkin",3300,"HOU@BOS 12/28/2017 08:00PM ET",8.046,"BOS"
"SG/SF","Timothe Luwawu-Cabarrot",3300,"PHI@POR 12/28/2017 10:30PM ET",10.942,"PHI"
"SF/PF","Jonathan Isaac",3300,"DET@ORL 12/28/2017 07:00PM ET",13.9,"ORL"
"C","Boban Marjanovic",3300,"DET@ORL 12/28/2017 07:00PM ET",9.6,"DET"
"SF/PF","Nemanja Bjelica",3300,"MIN@MIL 12/28/2017 08:00PM ET",12.575,"MIN"
"SG/SF","Shabazz Muhammad",3300,"MIN@MIL 12/28/2017 08:00PM ET",7.25,"MIN"
"PG/SG","Ron Baker",3300,"NY@SA 12/28/2017 08:30PM ET",10.7,"NY"
"SF/PF","Lance Thomas",3300,"NY@SA 12/28/2017 08:30PM ET",9.282,"NY"
"SG/SF","Damyean Dotson",3300,"NY@SA 12/28/2017 08:30PM ET",6.056,"NY"
"SF/PF","Luc Richard Mbah a Moute",3200,"HOU@BOS 12/28/2017 08:00PM ET",15.948,"HOU"
"SG/SF","Semi Ojeleye",3200,"HOU@BOS 12/28/2017 08:00PM ET",6.279,"BOS"
"PF/C","Meyers Leonard",3200,"PHI@POR 12/28/2017 10:30PM ET",10.563,"POR"
"SG/SF","Pat Connaughton",3200,"PHI@POR 12/28/2017 10:30PM ET",11.455,"POR"
"SG/SF","Wes Iwundu",3200,"DET@ORL 12/28/2017 07:00PM ET",7.309,"ORL"
"PG/SG","Matthew Dellavedova",3200,"MIN@MIL 12/28/2017 08:00PM ET",12.191,"MIL"
"SG/SF","DeAndre Liggins",3200,"MIN@MIL 12/28/2017 08:00PM ET",7.345,"MIL"
"PF/C","Thon Maker",3200,"MIN@MIL 12/28/2017 08:00PM ET",12.227,"MIL"
"PF/C","Noah Vonleh",3100,"PHI@POR 12/28/2017 10:30PM ET",14.174,"POR"
"PF","Caleb Swanigan",3100,"PHI@POR 12/28/2017 10:30PM ET",7.233,"POR"
"SF/PF","Mirza Teletovic",3100,"MIN@MIL 12/28/2017 08:00PM ET",13.175,"MIL"
"PF/C","Guerschon Yabusele",3000,"HOU@BOS 12/28/2017 08:00PM ET",4.911,"BOS"
"PF","Abdel Nader",3000,"HOU@BOS 12/28/2017 08:00PM ET",4.547,"BOS"
"PG","Bobby Brown",3000,"HOU@BOS 12/28/2017 08:00PM ET",4.292,"HOU"
"PG","Briante Weber",3000,"HOU@BOS 12/28/2017 08:00PM ET",4.167,"HOU"
"PF/C","Zhou Qi",3000,"HOU@BOS 12/28/2017 08:00PM ET",3.731,"HOU"
"SG","Jabari Bird",3000,"HOU@BOS 12/28/2017 08:00PM ET",3.667,"BOS"
"SG","Troy Williams",3000,"HOU@BOS 12/28/2017 08:00PM ET",3.25,"HOU"
"PG","Demetrius Jackson",3000,"HOU@BOS 12/28/2017 08:00PM ET",2.854,"HOU"
"SG","Kadeem Allen",3000,"HOU@BOS 12/28/2017 08:00PM ET",2.5,"BOS"
"PF/C","Chinanu Onuaku",3000,"HOU@BOS 12/28/2017 08:00PM ET",0,"HOU"
"SG/SF","Gordon Hayward",3000,"HOU@BOS 12/28/2017 08:00PM ET",3.25,"BOS"
"SG/SF","Justin Anderson",3000,"PHI@POR 12/28/2017 10:30PM ET",9.875,"PHI"
"SF/PF","Jake Layman",3000,"PHI@POR 12/28/2017 10:30PM ET",3.732,"POR"
"SG/SF","Furkan Korkmaz",3000,"PHI@POR 12/28/2017 10:30PM ET",3.583,"PHI"
"PF","James Michael McAdoo",3000,"PHI@POR 12/28/2017 10:30PM ET",3.5,"PHI"
"PG","Jacob Pullen",3000,"PHI@POR 12/28/2017 10:30PM ET",0.5,"PHI"
"PG/SG","Wade Baldwin IV",3000,"PHI@POR 12/28/2017 10:30PM ET",0,"POR"
"SG/SF","CJ Wilcox",3000,"PHI@POR 12/28/2017 10:30PM ET",0,"POR"
"PF/C","Jon Leuer",3000,"DET@ORL 12/28/2017 07:00PM ET",11.813,"DET"
"PF/C","Eric Moreland",3000,"DET@ORL 12/28/2017 07:00PM ET",9.026,"DET"
"PF/C","Henry Ellenson",3000,"DET@ORL 12/28/2017 07:00PM ET",8.146,"DET"
"SG/SF","Jamel Artis",3000,"DET@ORL 12/28/2017 07:00PM ET",3.958,"ORL"
"PF/C","Khem Birch",3000,"DET@ORL 12/28/2017 07:00PM ET",1.6,"ORL"
"PG","Dwight Buycks",3000,"DET@ORL 12/28/2017 07:00PM ET",0,"DET"
"SF","Luis Montero",3000,"DET@ORL 12/28/2017 07:00PM ET",0,"DET"
"SG/SF","Rashad Vaughn",3000,"MIN@MIL 12/28/2017 08:00PM ET",7.433,"MIL"
"PG/SG","Jason Terry",3000,"MIN@MIL 12/28/2017 08:00PM ET",5.972,"MIL"
"SG","Sterling Brown",3000,"MIN@MIL 12/28/2017 08:00PM ET",5.275,"MIL"
"PG/SG","Aaron Brooks",3000,"MIN@MIL 12/28/2017 08:00PM ET",4.25,"MIN"
"PF","Joel Bolomboy",3000,"MIN@MIL 12/28/2017 08:00PM ET",3.5,"MIL"
"SG/SF","Marcus Georges-Hunt",3000,"MIN@MIL 12/28/2017 08:00PM ET",1.531,"MIN"
"C","Cole Aldrich",3000,"MIN@MIL 12/28/2017 08:00PM ET",1.625,"MIN"
"PF/C","D.J. Wilson",3000,"MIN@MIL 12/28/2017 08:00PM ET",1.591,"MIL"
"SG/SF","Anthony Brown",3000,"MIN@MIL 12/28/2017 08:00PM ET",0,"MIN"
"C","Justin Patton",3000,"MIN@MIL 12/28/2017 08:00PM ET",0,"MIN"
"PG/SG","Sean Kilpatrick",3000,"MIN@MIL 12/28/2017 08:00PM ET",10.028,"MIL"
"PF","Matt Costello",3000,"NY@SA 12/28/2017 08:30PM ET",12.25,"SA"
"PF/C","Joffrey Lauvergne",3000,"NY@SA 12/28/2017 08:30PM ET",9.6,"SA"
"C","Joakim Noah",3000,"NY@SA 12/28/2017 08:30PM ET",7.188,"NY"
"PG","Derrick White",3000,"NY@SA 12/28/2017 08:30PM ET",6.65,"SA"
"SG/SF","Darrun Hilliard",3000,"NY@SA 12/28/2017 08:30PM ET",3.3,"SA"
"PF","Luke Kornet",3000,"NY@SA 12/28/2017 08:30PM ET",0,"NY"
"PF/C","Isaiah Hicks",3000,"NY@SA 12/28/2017 08:30PM ET",0,"NY"
"PG","Ramon Sessions",3000,"NY@SA 12/28/2017 08:30PM ET",10.545,"NY"
