Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,974684776,aatoma,0,344,PG James Harden C Andre Drummond PF Pau Gasol SF Jayson Tatum G Ish Smith F Michael Beasley UTIL Shabazz Napier SG Tyus Jones,,Tyus Jones,G,84.62%,28
2,974391958,breadline (2/3),0,338.25,C Andre Drummond SG Eric Bledsoe G CJ McCollum PG Elfrid Payton F Dario Saric SF Courtney Lee PF Michael Beasley UTIL Jarrett Jack,,Ish Smith,PG,64.94%,37.75
3,974616874,chess_is_ok (119/150),0,330.5,SG James Harden C Andre Drummond F Tobias Harris SF Jayson Tatum UTIL Ish Smith PF Michael Beasley G Shabazz Napier PG Tyus Jones,,James Harden,UTIL,58.45%,60.5
4,974529148,papagates (45/150),0,325.5,C Andre Drummond PF Kristaps Porzingis PG Eric Bledsoe UTIL CJ McCollum SG Eric Gordon F Marcus Smart SF Reggie Bullock G Frank Ntilikina,,Karl-Anthony Towns,C,44.26%,39.25
5,974633235,kirbypuckett,0,323.5,G James Harden C Karl-Anthony Towns UTIL Jusuf Nurkic F Dario Saric SF Marcus Smart PF Bismack Biyombo PG Shabazz Napier SG Tyus Jones,,Bismack Biyombo,PF,40.09%,32.75
6,974146177,TheAndster,0,323.25,PG James Harden C Joel Embiid PF Pau Gasol SF Marcus Smart UTIL Ish Smith F Bismack Biyombo G Shabazz Napier SG Tyus Jones,,Jimmy Butler,SG,36.02%,39.25
7,974522630,Gaetano777 (4/4),0,323,C Karl-Anthony Towns SG Jimmy Butler UTIL Eric Bledsoe G Elfrid Payton PF Jayson Tatum PG Ish Smith F Bismack Biyombo SF Michael Beasley,,Jayson Tatum,SF,30.83%,32.75
8,974529131,papagates (28/150),0,322,C Andre Drummond G Eric Bledsoe UTIL CJ McCollum SG Eric Gordon PF Jayson Tatum F JJ Redick SF Marcus Smart PG Ish Smith,,Tobias Harris,F,26.47%,29.75
9,974134816,GreyPoupon (16/30),0,321.5,G James Harden UTIL Kyrie Irving C Jusuf Nurkic F Dario Saric SF Evan Fournier PG Ish Smith PF Bismack Biyombo SG Tyus Jones,,Marcus Smart,F,26.32%,37.5
10,974535603,kdwillwin (4/6),0,320,C Andre Drummond UTIL Karl-Anthony Towns G Elfrid Payton PF Dario Saric F Jayson Tatum SF Marcus Smart PG Ish Smith SG Tyus Jones,,Al Horford,PF,25.53%,26
11,974474878,slippman (2/2),0,319.75,SG James Harden PF Kristaps Porzingis C Dario Saric UTIL Eric Gordon SF Jayson Tatum F Marcus Smart PG Ish Smith G Tyus Jones,,Eric Gordon,G,22.21%,35.75
11,974688088,The_Maharishi (1/3),0,319.75,PG James Harden C Kristaps Porzingis PF Dario Saric G Eric Gordon SF Jayson Tatum F Marcus Smart UTIL Ish Smith SG Tyus Jones,,Trevor Ariza,SF,21.26%,22
13,974430595,mazwa (40/100),0,319.5,PG James Harden C Andre Drummond SG Eric Gordon SF Evan Fournier F Marcus Smart UTIL Ish Smith PF Bismack Biyombo G Tyus Jones,,Kyrie Irving,G,19.04%,40.5
14,974679581,showtime918 (1/2),0,319.25,UTIL Ben Simmons F Kristaps Porzingis SG Eric Bledsoe PG Elfrid Payton SF Jayson Tatum G Ish Smith C Bismack Biyombo PF Michael Beasley,,Andre Drummond,C,17.21%,55
15,974157552,fclark76 (5/10),0,318.5,G James Harden PF Giannis Antetokounmpo C Pau Gasol PG Ish Smith F Michael Beasley SG Shabazz Napier SF Reggie Bullock UTIL Tyus Jones,,Reggie Bullock,F,17.15%,23.75
15,974529119,papagates (16/150),0,318.5,C Andre Drummond UTIL Karl-Anthony Towns G CJ McCollum SG Eric Gordon F Jayson Tatum SF Marcus Smart PF Bismack Biyombo PG Frank Ntilikina,,Ryan Anderson,F,15.02%,24.5
17,974124840,EmileHeskey (59/150),0,318,SG James Harden C Andre Drummond UTIL Jusuf Nurkic SF Marcus Smart PG Ish Smith F Courtney Lee PF Bismack Biyombo G Tyus Jones,,Giannis Antetokounmpo,UTIL,14.57%,38.5
