Contest_Date,Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
2017-11-27,James Harden,15.0,,PG/SG,11800,HOU,BKN,1,,37.0,30.0,107,108,9%,22,22,21,34,36,36,57.8,57.0,44.6,69.4,34.5,59.5,5.0,35.8,73.0,6.2
2017-11-27,LeBron James,20.0,,SF/PF,11400,CLE,@PHI,2,109.0,30.0,31.0,105,102,3%,19,20,19,37,38,38,62.5,57.0,41.7,72.3,37.0,55.7,4.9,31.0,58.0,5.1
2017-11-27,Joel Embiid,14.0,,C,10400,PHI,CLE,1,109.0,33.0,24.0,101,109,-3%,18,18,16,29,31,29,51.3,45.6,31.1,60.2,32.0,52.0,5.0,32.8,44.8,4.3
2017-11-27,Ben Simmons,14.0,,PG/SF,10000,PHI,CLE,1,109.0,26.0,21.0,101,109,11%,22,17,16,37,38,36,51.0,47.7,40.3,55.0,36.0,50.2,5.0,35.1,29.0,2.9
2017-11-27,Stephen Curry,,O,PG/SG,9800,GSW,SAC,1,,30.0,28.0,97,108,-1%,22,21,17,32,32,32,51.5,46.4,37.7,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Kevin Durant,,O,SF/PF,9500,GSW,SAC,1,,27.0,25.0,97,108,1%,19,18,17,33,32,34,41.0,45.7,38.3,53.1,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Blake Griffin,19.0,,PF/C,9000,LAC,LAL,1,102.0,30.0,21.0,106,101,2%,22,21,19,38,37,36,46.5,43.1,34.8,51.3,36.0,47.4,5.3,36.2,50.3,5.6
2017-11-27,Damian Lillard,14.0,,PG,8800,POR,@NYK,1,108.0,31.0,24.0,99,106,9%,18,19,19,39,36,37,42.5,44.2,33.6,54.8,36.5,44.2,5.0,37.9,41.8,4.8
2017-11-27,Andre Drummond,8.0,,C,8400,DET,@BOS,2,104.0,21.0,21.0,99,97,-7%,11,11,11,31,32,34,39.9,42.8,34.2,51.5,34.0,42.7,5.1,39.8,70.5,8.4
2017-11-27,Kristaps Porzingis,10.0,,PF/C,8300,NYK,POR,1,,33.0,25.0,99,100,-10%,20,18,21,36,34,33,38.8,43.6,32.0,55.3,34.0,42.9,5.2,33.0,35.8,4.3
