Contest_Date,Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,FPPM,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exposure,Con.,Value,Mins,Score,Val
20171127,James Harden,PG/SGPGSG,HOU,vs BKN,28th,121.5,11800,39.4,81.8,57.0,1.61,37.0,21.1,35.4,34.1,57.59,57.59,%,79,4.9,35.0,73.0,6.2
20171127,LeBron James,SF/PFSFPF,CLE,@ PHI,24th,111.0,11400,31.3,84.1,56.0,1.5,30.0,19.1,37.3,35.8,53.95,53.95,%,73,4.7,31.0,58.0,5.1
20171127,Joel Embiid,C,PHI,vs CLE,19th,113.0,10400,27.2,76.5,45.6,1.59,34.3,16.3,28.7,29.46,48.34,48.34,%,69,4.6,32.0,44.75,4.3
20171127,Ben Simmons,PG/SFPGSF,PHI,vs CLE,18th,113.0,10000,32.0,59.6,46.7,1.35,25.5,15.4,34.6,33.5,43.85,43.85,%,83,4.4,35.0,29.0,2.9
20171127,Blake Griffin,PF/CPFC,LAC,vs LAL,16th,110.25,9000,30.4,58.0,43.4,1.23,30.4,18.4,35.3,36.63,42.2,42.2,%,82,4.7,36.0,50.25,5.6
20171127,Damian Lillard,PG,POR,@ NYK,15th,103.0,8800,29.6,65.0,44.5,1.25,30.9,19.1,35.7,36.02,44.77,44.77,%,77,5.1,37.0,41.75,4.7
20171127,Andre Drummond,C,DET,@ BOS,12th,96.5,8400,30.2,59.2,42.5,1.3,21.8,10.4,32.6,32.1,42.6,42.6,%,80,5.1,39.0,70.5,8.4
20171127,Kristaps Porzingis,PF/CPFC,NYK,vs POR,1st,101.0,8300,22.3,62.0,43.6,1.34,35.1,20.5,32.6,34.0,39.34,39.34,%,74,4.7,33.0,35.75,4.3
20171127,Kyrie Irving,PG,BOS,vs DET,13th,102.5,8200,22.1,65.0,38.7,1.25,31.7,17.6,30.9,31.68,40.46,40.46,%,68,4.9,35.0,34.0,4.1
20171127,Victor Oladipo,PG/SGPGSG,IND,vs ORL,15th,110.5,8000,23.6,60.2,39.3,1.21,31.3,17.6,32.6,32.2,39.28,39.28,%,73,4.9,33.0,52.5,6.6
20171127,Chris Paul,PG/SGPGSG,HOU,vs BKN,30th,121.5,7900,43.1,68.6,38.4,1.43,20.2,10.0,26.8,30.3,53.99,53.99,%,81,6.8,30.0,37.0,4.7
20171127,LaMarcus Aldridge,PF/CPFC,SAS,vs DAL,21st,101.75,7700,25.5,55.4,38.9,1.2,28.5,16.8,32.4,32.5,38.35,38.35,%,78,5.0,37.0,61.5,8.0
20171127,Kevin Love,PF/CPFC,CLE,@ PHI,23rd,111.0,7500,18.2,58.9,37.1,1.26,25.3,12.7,29.4,30.83,35.64,35.64,%,69,4.8,24.0,22.25,3.0
20171127,Aaron Gordon,SF/PFSFPF,ORL,@ IND,27th,106.5,7400,23.9,57.9,34.5,1.1,22.1,12.3,31.4,32.04,38.45,38.45,%,72,5.2,39.0,38.0,5.1
20171127,Spencer Dinwiddie,PG/SGPGSG,BKN,@ HOU,3rd,103.5,7300,16.9,57.4,27.5,1.11,20.1,9.8,24.8,31.4,34.23,34.23,%,58,4.7,31.0,30.5,4.2
20171127,Nikola Vucevic,C,ORL,@ IND,14th,106.5,7300,13.9,52.3,35.6,1.24,25.3,14.2,28.8,27.79,30.35,30.35,%,69,4.2,36.0,42.5,5.8
20171127,Draymond Green,PF/CPFC,GSW,vs SAC,28th,109.0,7100,30.9,57.7,33.8,1.11,15.8,7.2,30.4,35.35,42.42,42.42,%,77,6.0,38.0,34.0,4.8
20171127,Lonzo Ball,PG,LAL,@ LAC,6th,106.25,7100,9.3,60.0,33.5,1.02,18.4,11.4,32.8,34.62,31.02,31.02,%,57,4.4,26.0,20.75,2.9
20171127,Clint Capela,C,HOU,vs BKN,30th,121.5,7000,28.5,66.4,34.4,1.37,19.7,8.3,25.1,29.3,44.71,44.71,%,68,6.4,27.0,35.0,5.0
20171127,Klay Thompson,SG,GSW,vs SAC,9th,109.0,7000,24.5,52.3,33.3,1.03,24.6,16.3,32.4,36.46,36.42,36.42,%,76,5.2,32.0,36.25,5.2
20171127,C.J. McCollum,PG/SGPGSG,POR,@ NYK,24th,103.0,6900,22.4,50.1,34.3,0.96,25.7,17.4,35.7,35.64,34.25,34.25,%,77,5.0,39.0,25.75,3.7
20171127,Al Horford,PF/CPFC,BOS,vs DET,23rd,102.5,6900,25.8,47.9,34.5,1.08,18.7,9.9,31.9,31.82,35.26,35.26,%,82,5.1,33.0,27.75,4.0
20171127,Jusuf Nurkic,C,POR,@ NYK,7th,103.0,6800,15.2,58.3,30.6,1.12,29.6,13.7,27.4,33.0,33.69,33.69,%,60,5.0,30.0,31.25,4.6
20171127,Kyle Kuzma,SF/PFSFPF,LAL,@ LAC,6th,106.25,6800,11.2,39.8,28.3,0.9,21.6,13.1,31.3,28.8,23.44,23.44,%,71,3.4,19.0,22.0,3.2
20171127,DeAndre Jordan,C,LAC,vs LAL,22nd,110.25,6700,16.1,54.6,32.3,1.01,12.9,6.6,32.1,32.96,32.6,32.6,%,66,4.9,30.0,19.75,2.9
20171127,Tim Hardaway Jr.,SG/SFSGSF,NYK,vs POR,2nd,101.0,6700,13.5,65.6,32.3,0.96,24.0,15.2,33.5,34.89,35.83,35.83,%,54,5.3,38.0,25.5,3.8
20171127,Myles Turner,C,IND,vs ORL,20th,110.5,6600,21.5,56.9,30.8,1.1,21.2,11.0,28.0,32.6,36.64,36.64,%,67,5.6,30.0,27.5,4.2
20171127,Robert Covington,SF/PFSFPF,PHI,vs CLE,28th,113.0,6500,20.4,55.1,31.6,1.02,18.5,11.2,31.1,31.59,35.25,35.25,%,69,5.4,27.0,13.5,2.1
20171127,Louis Williams,PG/SGPGSG,LAC,vs LAL,18th,110.25,6500,19.9,60.7,28.8,1.03,27.8,13.3,27.9,36.44,37.35,37.35,%,60,5.7,37.0,53.5,8.2
20171127,Elfrid Payton,PG,ORL,@ IND,16th,106.5,6400,14.1,56.4,27.5,1.08,22.5,9.2,25.4,30.32,32.26,32.26,%,56,5.0,26.0,26.75,4.2
20171127,Jaylen Brown,SG/SFSGSF,BOS,vs DET,23rd,102.5,6300,16.9,39.7,29.0,0.91,21.8,12.4,31.7,31.48,26.63,26.63,%,78,4.2,32.0,18.5,2.9
20171127,Darren Collison,PG,IND,vs ORL,29th,110.5,6100,12.7,53.7,29.3,0.93,17.1,9.7,31.6,32.78,30.26,30.26,%,60,5.0,27.0,18.5,3.0
20171127,Tobias Harris,SF/PFSFPF,DET,@ BOS,7th,96.5,6100,11.6,46.0,30.4,0.93,22.6,15.3,32.6,31.6,26.35,26.35,%,68,4.3,34.0,43.5,7.1
20171127,Brandon Ingram,SG/SFSGSF,LAL,@ LAC,6th,106.25,6100,12.0,46.3,28.7,0.86,20.7,12.4,33.3,33.58,26.73,26.73,%,66,4.4,22.0,24.75,4.1
