Contest_Date,player,salary,team,pos,opp,ceil,floor,fpts
2017-11-27,Patty Mills,4300,SAS,PG,DAL,28.7868,9.8532,19.32
2017-11-27,J.J. Barea,4000,DAL,PG/SG,SAS,29.448,11.452,20.45
2017-11-27,Tony Parker,3900,SAS,PG,DAL,25.2969,6.5231,15.91
2017-11-27,Manu Ginobili,3700,SAS,SG/SF,DAL,22.494,5.106,13.8
2017-11-27,Dirk Nowitzki,4300,DAL,PF/C,SAS,34.0737,8.7863,21.43
2017-11-27,Yogi Ferrell,3800,DAL,PG/SG,SAS,24.2692,4.9708,14.62
2017-11-27,Kyle Anderson,5100,SAS,PG/SF,DAL,47.2236,6.1364,26.68
2017-11-27,Dennis Smith Jr.,5000,DAL,PG/SG,SAS,38.6496,15.0304,26.84
2017-11-27,Danny Green,4400,SAS,SG/SF,DAL,37.1124,10.4676,23.79
2017-11-27,Pau Gasol,6000,SAS,PF/C,DAL,45.1406,11.9994,28.57
2017-11-27,Dwight Powell,3300,DAL,PF/C,SAS,23.9232,4.5568,14.24
2017-11-27,Devin Harris,3500,DAL,PG/SG,SAS,20.5076,4.0524,12.28
2017-11-27,Nerlens Noel,3400,DAL,C,SAS,7.9632,1.5168,4.74
2017-11-27,Davis Bertans,3000,SAS,SF/PF,DAL,8.8677,1.1523,5.01
2017-11-27,Brandon Paul,3600,SAS,SG,DAL,8.8416,3.4384,6.14
2017-11-27,Klay Thompson,7000,GSW,SG,SAC,53.958,24.241999999999997,39.1
2017-11-27,Bryn Forbes,3700,SAS,PG/SG,DAL,14.6556,1.9044,8.28
2017-11-27,Salah Mejri,3100,DAL,C,SAS,22.5852,2.9348,12.76
2017-11-27,Dejounte Murray,4100,SAS,PG,DAL,21.1024,2.8776,11.99
2017-11-27,Joffrey Lauvergne,3000,SAS,PF/C,DAL,21.1692,2.7508,11.96
2017-11-27,Maxi Kleber,3000,DAL,PF,SAS,10.2528,3.9872,7.12
2017-11-27,Wesley Matthews,4000,DAL,SG/SF,SAS,32.973,12.507,22.74
2017-11-27,LaMarcus Aldridge,7700,SAS,PF/C,DAL,61.0638,22.0162,41.54
2017-11-27,P.J. Tucker,3700,HOU,SF/PF,BKN,26.4418,7.8982,17.17
2017-11-27,Caris LeVert,4300,BKN,SG/SF,HOU,51.54600000000001,10.934000000000001,31.24
2017-11-27,Joe Harris,3600,BKN,SG/SF,HOU,45.7413,9.0387,27.39
2017-11-27,Trevor Booker,4600,BKN,PF/C,HOU,48.653999999999996,14.946,31.8
2017-11-27,Ryan Anderson,4700,HOU,PF/C,BKN,29.8462,7.9338,18.89
2017-11-27,Eric Gordon,5200,HOU,SG,BKN,37.7234,15.0366,26.38
2017-11-27,James Harden,11800,HOU,PG/SG,BKN,72.6138,42.6462,57.63
2017-11-27,Trevor Ariza,5200,HOU,SG/SF,BKN,34.479,16.601,25.54
2017-11-27,Chris Paul,7900,HOU,PG/SG,BKN,63.2086,20.5114,41.86
2017-11-27,Clint Capela,7000,HOU,C,BKN,61.4688,19.4112,40.44
2017-11-27,Luc Richard Mbah a Moute,3600,HOU,SF/PF,BKN,19.0656,7.4144,13.24
2017-11-27,Tyler Zeller,3400,BKN,C,HOU,30.9573,4.0227,17.49
2017-11-27,Quincy Acy,3300,BKN,PF/C,HOU,19.2222,2.4978,10.86
2017-11-27,Spencer Dinwiddie,7300,BKN,PG/SG,HOU,59.43600000000001,16.764,38.1
2017-11-27,Isaiah Whitehead,3500,BKN,PG/SG,HOU,18.875999999999998,5.324,12.1
2017-11-27,Harrison Barnes,5500,DAL,SF/PF,SAS,40.9374,20.6226,30.78
2017-11-27,Timofey Mozgov,3200,BKN,C,HOU,16.643,2.937,9.79
2017-11-27,Bobby Brown,3100,HOU,PG,BKN,4.1571,1.4229,2.79
2017-11-27,Jarrett Allen,3400,BKN,PF/C,HOU,21.7008,8.4392,15.07
2017-11-27,Tarik Black,3500,HOU,PF/C,BKN,18.6816,3.5584,11.12
2017-11-27,Sean Kilpatrick,3300,BKN,PG/SG,HOU,38.8429,8.8171,23.83
2017-11-27,Draymond Green,7100,GSW,PF/C,SAC,54.8355,24.0645,39.45
2017-11-27,De'Aaron Fox,4600,SAC,PG,GSW,35.3376,13.7424,24.54
2017-11-27,Lonzo Ball,7100,LAL,PG,LAC,47.592,18.508,33.05
2017-11-27,DeAndre Jordan,6700,LAC,C,LAL,45.7776,23.5824,34.68
2017-11-27,Wesley Johnson,4400,LAC,SF/PF,LAL,44.0199,5.7201,24.87
2017-11-27,Kyle Kuzma,6800,LAL,SF/PF,LAC,37.8576,14.7224,26.29
2017-11-27,Kentavious Caldwell-Pope,5300,LAL,SG,LAC,38.4384,10.8416,24.64
2017-11-27,Austin Rivers,4900,LAC,PG/SG,LAL,39.9516,11.2684,25.61
2017-11-27,Quinn Cook,3000,GSW,PG,SAC,6.0048,2.3352,4.17
2017-11-27,Blake Griffin,9000,LAC,PF/C,LAL,69.223,20.677,44.95
2017-11-27,Lou Williams,6500,LAC,PG/SG,LAL,57.1104,22.2096,39.66
2017-11-27,Brandon Ingram,6100,LAL,SG/SF,LAC,43.955,15.045,29.5
2017-11-27,Jordan Clarkson,4800,LAL,PG/SG,LAC,31.9283,14.0117,22.97
2017-11-27,Sindarius Thornwell,3100,LAC,SG,LAL,15.7392,6.1208,10.93
2017-11-27,Willie Reed,3000,LAC,C,LAL,23.2047,3.0153,13.11
2017-11-27,Corey Brewer,3000,LAL,SG/SF,LAC,10.3428,2.9172,6.63
2017-11-27,Montrezl Harrell,3000,LAC,PF/C,LAL,,,0.0
2017-11-27,Ivica Zubac,3400,LAL,C,LAC,,,0.0
2017-11-27,Sam Dekker,3000,LAC,SF/PF,LAL,15.825999999999999,3.4739999999999998,9.65
2017-11-27,Jawun Evans,3000,LAC,PG,LAL,17.3088,6.7312,12.02
2017-11-27,Brook Lopez,5500,LAL,C,LAC,34.8326,14.2274,24.53
2017-11-27,Larry Nance,5400,LAL,SF/PF,LAC,31.464000000000002,12.235999999999999,21.85
2017-11-27,Julius Randle,5300,LAL,PF/C,LAC,34.1109,11.0691,22.59
2017-11-27,Vince Carter,3000,SAC,SG/SF,GSW,,,0.0
2017-11-27,Malachi Richardson,3000,SAC,SG/SF,GSW,,,0.0
2017-11-27,Omri Casspi,3800,GSW,SF/PF,SAC,43.6221,7.3979,25.51
2017-11-27,Bogdan Bogdanovic,3700,SAC,SG/SF,GSW,23.4,9.1,16.25
2017-11-27,Kosta Koufos,3400,SAC,C,GSW,26.2269,6.3531,16.29
2017-11-27,Shaun Livingston,3500,GSW,PG/SG,SAC,31.3565,9.1035,20.23
2017-11-27,Buddy Hield,4500,SAC,SG/SF,GSW,34.4292,9.7108,22.07
2017-11-27,George Hill,4200,SAC,PG/SG,GSW,30.051,7.0489999999999995,18.55
2017-11-27,Garrett Temple,3500,SAC,PG/SG,GSW,30.2484,8.5316,19.39
2017-11-27,Zach Randolph,5400,SAC,PF/C,GSW,39.5446,13.5354,26.54
2017-11-27,Willie Cauley-Stein,5100,SAC,PF/C,GSW,46.6749,6.0651,26.37
2017-11-27,Skal Labissiere,3400,SAC,PF/C,GSW,19.836,2.964,11.4
2017-11-27,Frank Mason,3000,SAC,PG/SG,GSW,17.64,6.86,12.25
2017-11-27,Patrick McCaw,3200,GSW,SG/SF,SAC,25.8774,3.3626,14.62
2017-11-27,Jordan Bell,3200,GSW,PF/C,SAC,19.6704,7.6496,13.66
2017-11-27,Georgios Papagiannis,3000,SAC,C,GSW,,,0.0
2017-11-27,Justin Jackson,3300,SAC,SG/SF,GSW,,,0.0
2017-11-27,Kevon Looney,3000,GSW,SF/PF,SAC,15.5229,2.0171,8.77
2017-11-27,JaVale McGee,3000,GSW,C,SAC,17.085,3.015,10.05
2017-11-27,Nick Young,3300,GSW,SG,SAC,33.971,8.229,21.1
2017-11-27,Zaza Pachulia,3100,GSW,C,SAC,32.562,7.638,20.1
2017-11-27,David West,3500,GSW,PF/C,SAC,26.2752,6.3648,16.32
2017-11-27,Henry Ellenson,3000,DET,PF/C,BOS,,,0.0
2017-11-27,Guerschon Yabusele,3000,BOS,PF/C,DET,,,0.0
2017-11-27,Kevin Love,7500,CLE,PF/C,PHI,54.8558,15.0242,34.94
2017-11-27,Dario Saric,5200,PHI,PF/C,CLE,27.7944,9.7656,18.78
2017-11-27,T.J. McConnell,4700,PHI,PG,CLE,34.9349,13.9251,24.43
2017-11-27,Jae Crowder,3900,CLE,SF/PF,PHI,24.9952,9.2448,17.12
2017-11-27,J.R. Smith,4100,CLE,SG/SF,PHI,30.6768,6.2832,18.48
2017-11-27,Robert Covington,6500,PHI,SF/PF,CLE,49.2509,13.4891,31.37
2017-11-27,LeBron James,11400,CLE,SF/PF,PHI,78.8535,37.9665,58.41
2017-11-27,Ben Simmons,10000,PHI,PG/SF,CLE,72.2736,28.1064,50.19
